repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
2dust/v2rayN,CLOSED,30.425555555555555,5,185,64,83,5,26,5
2dust/v2rayN,CLOSED,10.438055555555556,4,176,203,598,3,9,1
2dust/v2rayN,MERGED,577.5227777777778,43,2748,404,83,2,30,4
2dust/v2rayN,MERGED,74.22638888888889,15,163,30,33,2,0,2
2dust/v2rayN,MERGED,22.657222222222224,22,1217,33,5,2,4,4
2dust/v2rayN,MERGED,42.72388888888889,2,3,13,2075,2,1,1
2dust/v2rayN,MERGED,92.79444444444445,1,188,188,970,3,0,9
2dust/v2rayN,MERGED,148.72166666666666,1,2,2,17,3,0,1
2dust/v2rayN,MERGED,25.000833333333333,1,4,4,542,2,0,8
2dust/v2rayN,MERGED,14.858888888888888,3,28,6,1883,2,0,2
2dust/v2rayN,CLOSED,31.0025,10,522,455,1555,2,2,4
2dust/v2rayN,MERGED,6.071111111111111,1,52,2,31,2,6,5
2dust/v2rayN,MERGED,11.560555555555556,3,3,0,0,2,0,1
2dust/v2rayN,MERGED,1.0144444444444445,3,44,23,1681,3,2,2
2dust/v2rayN,MERGED,32.65027777777778,1,18,13,191,2,0,2
2dust/v2rayN,MERGED,10.573888888888888,4,2,14,31,3,1,1
2dust/v2rayN,MERGED,12.448333333333334,1,173,173,94,2,2,1
2dust/v2rayN,CLOSED,1.738611111111111,0,0,0,39,2,0,1
