repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
3b1b/manim,MERGED,292.8313888888889,5,28,14,618,4,4,7
3b1b/manim,MERGED,2.3119444444444444,2,7,4,341,2,2,1
3b1b/manim,CLOSED,4340.056111111111,1,2,2,54,4,0,2
3b1b/manim,MERGED,9033.530555555555,2,9,0,619,2,0,1
3b1b/manim,MERGED,9035.396666666667,3,27,6,444,3,0,1
3b1b/manim,MERGED,16678.361666666668,1,6,1,192,3,0,1
3b1b/manim,MERGED,5289.953333333333,1,26,0,378,3,8,2
3b1b/manim,MERGED,7.0761111111111115,1,1,1,268,2,0,1
3b1b/manim,MERGED,29.054166666666667,3,3,3,388,2,0,1
3b1b/manim,MERGED,21.121944444444445,77,3549,7020,330,3,3,2
3b1b/manim,MERGED,16.253333333333334,1,2,2,123,2,1,1
3b1b/manim,MERGED,519.2886111111111,1,1,1,34,2,0,1
3b1b/manim,MERGED,11.624444444444444,2,2,2,152,2,1,1
3b1b/manim,MERGED,64.45527777777778,2,33,4,708,3,2,1
3b1b/manim,MERGED,1650.4327777777778,1,12,3,2387,3,0,1
3b1b/manim,CLOSED,18180.214444444446,1,4,1,1233,3,1,1
3b1b/manim,MERGED,15.480555555555556,1,2,0,152,2,0,1
3b1b/manim,MERGED,2752.5577777777776,16,1474,709,6404,3,2,1
3b1b/manim,MERGED,529.1408333333334,4,8,2,219,2,2,1
3b1b/manim,MERGED,582.8613888888889,9,919,1231,3192,3,5,1
3b1b/manim,MERGED,40.13611111111111,5,263,288,510,3,0,1
3b1b/manim,MERGED,67.69833333333334,1,12,0,381,3,0,1
3b1b/manim,MERGED,9.1075,3,81,49,287,2,0,1
3b1b/manim,MERGED,1.0986111111111112,5,163,170,497,3,0,3
3b1b/manim,MERGED,121.98638888888888,8,1278,971,3632,4,1,1
3b1b/manim,MERGED,39.78055555555556,1,12,1,3325,3,5,4
3b1b/manim,MERGED,1.8333333333333333,6,54,76,439,2,0,1
3b1b/manim,MERGED,9.843055555555555,1,4,1,239,3,0,1
3b1b/manim,MERGED,11.465277777777779,1,12,6,358,3,0,1
3b1b/manim,MERGED,484.93416666666667,4,424,514,3520,3,0,1
