repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
996icu/996.ICU,MERGED,5059.503333333333,1,1,1,222,4,1,1
996icu/996.ICU,CLOSED,15.365555555555556,1,1,1,840,27,38,1
996icu/996.ICU,CLOSED,4879.205833333333,1,10,0,173,3,0,1
996icu/996.ICU,CLOSED,11145.679444444444,10,70,69,123,9,7,1
996icu/996.ICU,CLOSED,124.20722222222223,1,1,0,321,5,4,3
996icu/996.ICU,CLOSED,11816.224444444444,1,1,0,2,10,8,1
996icu/996.ICU,CLOSED,3631.8191666666667,1,1,0,0,4,1,1
996icu/996.ICU,MERGED,3731.4819444444443,2,1,0,69,3,1,1
996icu/996.ICU,CLOSED,4019.6594444444445,1,1,0,52,3,1,1
996icu/996.ICU,CLOSED,3165.6633333333334,1,5,0,0,2,0,1
996icu/996.ICU,CLOSED,7891.131111111111,1,0,1,0,18,18,1
996icu/996.ICU,MERGED,9257.353055555555,1,1,1,15,6,4,1
996icu/996.ICU,MERGED,9348.8275,1,1,0,120,4,3,1
996icu/996.ICU,MERGED,9547.995,3,1,0,16,5,2,1
996icu/996.ICU,CLOSED,10954.152222222223,1,1,0,0,5,2,1
996icu/996.ICU,CLOSED,3705.674722222222,2,95,0,23,45,413,14
996icu/996.ICU,MERGED,15304.858888888888,1,1,0,0,3,1,1
996icu/996.ICU,CLOSED,130.33,1,1,1,120,18,64,1
996icu/996.ICU,MERGED,171.25833333333333,1,1,0,52,5,3,1
996icu/996.ICU,MERGED,553.1697222222223,1,1,1,24,3,0,1
996icu/996.ICU,CLOSED,309.32472222222225,1,1,0,3,2,0,1
996icu/996.ICU,CLOSED,21.692222222222224,1,6,2,0,1,1,4
996icu/996.ICU,CLOSED,21.698055555555555,1,3,0,0,1,0,3
996icu/996.ICU,MERGED,240.13833333333332,1,1,0,45,3,1,2
996icu/996.ICU,MERGED,102.40055555555556,1,1,1,98,4,0,1
996icu/996.ICU,MERGED,42.07611111111111,2,10,8,2,3,0,1
996icu/996.ICU,MERGED,113.66555555555556,1,1,2,26,3,0,1
996icu/996.ICU,MERGED,119.58222222222223,1,9,1,142,6,4,1
996icu/996.ICU,CLOSED,25.572777777777777,1,1,0,0,7,6,1
996icu/996.ICU,MERGED,87.10916666666667,9,133,133,24,3,0,1
996icu/996.ICU,CLOSED,109.53222222222222,8,0,184,18,3,2,1
996icu/996.ICU,MERGED,17.6375,1,1,1,29,5,0,8
996icu/996.ICU,MERGED,30.976666666666667,1,1,0,9,5,3,1
996icu/996.ICU,MERGED,31.958055555555557,1,8,4,68,3,0,1
996icu/996.ICU,CLOSED,13.763055555555555,2,1,0,62,3,1,1
