repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
AUTOMATIC1111/stable-diffusion-webui,MERGED,24.59611111111111,1,2,1,221,3,0,2
AUTOMATIC1111/stable-diffusion-webui,CLOSED,39.011944444444445,1,2,1,304,2,1,3
AUTOMATIC1111/stable-diffusion-webui,MERGED,4.8675,1,1,1,356,2,1,1
AUTOMATIC1111/stable-diffusion-webui,CLOSED,22.755555555555556,1,2,1,348,2,0,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,52.91027777777778,1,4,3,555,6,6,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,757.4375,1,1,0,476,2,1,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,848.1802777777777,2,9,6,93,2,0,2
AUTOMATIC1111/stable-diffusion-webui,MERGED,77.40055555555556,1,1,1,273,3,0,2
AUTOMATIC1111/stable-diffusion-webui,MERGED,3.895,3,55,0,637,3,3,3
AUTOMATIC1111/stable-diffusion-webui,MERGED,1.7161111111111111,1,1,1,233,2,0,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,340.9863888888889,1,1,0,1131,2,0,1
AUTOMATIC1111/stable-diffusion-webui,CLOSED,3441.9144444444446,1,2,2,1372,4,5,3
AUTOMATIC1111/stable-diffusion-webui,MERGED,60.99722222222222,2,32,18,599,2,0,1
AUTOMATIC1111/stable-diffusion-webui,CLOSED,12.422777777777778,1,4,1,358,2,2,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,7.187222222222222,1,34,1,1448,2,3,1
AUTOMATIC1111/stable-diffusion-webui,CLOSED,4111.858611111111,1,4,1,857,2,5,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,21.854166666666668,1,3,1,216,2,2,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,3.105,2,8,0,140,2,0,2
AUTOMATIC1111/stable-diffusion-webui,MERGED,129.47472222222223,1,55,22,1236,2,8,4
AUTOMATIC1111/stable-diffusion-webui,CLOSED,347.1347222222222,2,51,0,721,2,1,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,29.345833333333335,1,2,2,701,2,7,1
AUTOMATIC1111/stable-diffusion-webui,CLOSED,78.80111111111111,1,16,6,307,2,1,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,2.035833333333333,1,4,4,887,2,0,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,8.447777777777778,1,1,1,2420,2,0,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,3.8713888888888888,1,1,1,170,2,0,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,9.028055555555556,1,2,2,314,2,0,1
AUTOMATIC1111/stable-diffusion-webui,MERGED,1187.786111111111,2,13,5,626,2,1,1
AUTOMATIC1111/stable-diffusion-webui,CLOSED,140.9125,3,539,0,623,2,10,1
