repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
Anduin2017/HowToCook,MERGED,1.198888888888889,1,1,0,328,2,0,1
Anduin2017/HowToCook,MERGED,1.6233333333333333,1,4,0,322,2,3,1
Anduin2017/HowToCook,MERGED,7.682777777777778,2,53,1,409,2,0,1
Anduin2017/HowToCook,CLOSED,2.8894444444444445,2,95,0,322,2,2,1
Anduin2017/HowToCook,MERGED,2.4919444444444445,1,1,1,329,2,0,1
Anduin2017/HowToCook,MERGED,22.54888888888889,3,77,0,5,2,0,1
Anduin2017/HowToCook,MERGED,2.1855555555555557,3,55,0,330,2,1,1
Anduin2017/HowToCook,MERGED,15.356666666666667,1,1,1,328,2,1,1
Anduin2017/HowToCook,MERGED,39.07472222222222,1,43,0,322,2,1,1
Anduin2017/HowToCook,MERGED,13.084444444444445,2,87,0,322,2,0,2
Anduin2017/HowToCook,MERGED,5.097222222222222,1,1,1,322,2,0,1
Anduin2017/HowToCook,MERGED,9.265833333333333,1,4,4,322,2,1,1
Anduin2017/HowToCook,MERGED,578.3761111111111,1,68,0,341,3,2,1
Anduin2017/HowToCook,MERGED,8.077222222222222,1,5,2,343,2,0,1
Anduin2017/HowToCook,MERGED,9.112777777777778,2,42,0,322,2,0,1
Anduin2017/HowToCook,MERGED,10.591944444444444,1,9,41,509,2,0,1
Anduin2017/HowToCook,MERGED,667.2972222222222,1,1,1,322,2,0,1
Anduin2017/HowToCook,MERGED,1.2922222222222222,1,2,2,322,2,1,1
Anduin2017/HowToCook,MERGED,4.533611111111111,3,136,0,322,2,0,1
Anduin2017/HowToCook,MERGED,4.607777777777778,1,176,138,322,2,2,1
Anduin2017/HowToCook,MERGED,3.8297222222222222,1,55,0,322,2,0,1
Anduin2017/HowToCook,MERGED,1.1522222222222223,3,15,7,322,2,0,2
Anduin2017/HowToCook,MERGED,16.07472222222222,3,151,0,330,2,2,1
Anduin2017/HowToCook,MERGED,3.180833333333333,6,59,1,322,2,1,1
Anduin2017/HowToCook,MERGED,24.68777777777778,2,46,0,322,2,1,3
Anduin2017/HowToCook,MERGED,3.305,3,37,1,322,2,0,1
Anduin2017/HowToCook,MERGED,45.74527777777778,1,1,0,322,2,0,1
Anduin2017/HowToCook,MERGED,1.3819444444444444,1,6,19,322,2,0,1
Anduin2017/HowToCook,MERGED,2.2266666666666666,1,1,1,322,2,2,1
Anduin2017/HowToCook,MERGED,1.4691666666666667,1,36,0,330,3,2,1
Anduin2017/HowToCook,MERGED,6.002777777777778,7,61,0,322,2,1,1
Anduin2017/HowToCook,MERGED,1.12,2,8,8,332,2,2,1
Anduin2017/HowToCook,MERGED,1.5466666666666666,4,51,1,322,2,2,1
Anduin2017/HowToCook,MERGED,4.0175,1,59,0,328,2,0,1
Anduin2017/HowToCook,MERGED,15.836944444444445,1,61,0,322,2,1,1
Anduin2017/HowToCook,MERGED,48.44305555555555,2,105,0,331,2,1,1
Anduin2017/HowToCook,MERGED,3.7377777777777776,1,53,0,322,2,1,1
Anduin2017/HowToCook,MERGED,2.3925,3,64,0,330,2,2,1
Anduin2017/HowToCook,MERGED,106.48638888888888,1,5,4,322,3,1,1
Anduin2017/HowToCook,MERGED,4.7125,1,1,1,325,2,0,1
Anduin2017/HowToCook,MERGED,8.846111111111112,1,2,2,425,3,2,1
Anduin2017/HowToCook,CLOSED,689.01,1,17,5,322,67,0,1
Anduin2017/HowToCook,MERGED,51.67388888888889,2,66,0,322,2,0,1
Anduin2017/HowToCook,MERGED,12.27,3,51,4,322,2,1,1
Anduin2017/HowToCook,MERGED,3.4530555555555558,2,49,0,322,2,1,1
Anduin2017/HowToCook,MERGED,2.3330555555555557,2,81,0,322,2,1,1
Anduin2017/HowToCook,MERGED,15.602222222222222,1,64,0,330,2,1,1
Anduin2017/HowToCook,MERGED,15.959166666666667,1,51,0,330,2,1,1
Anduin2017/HowToCook,MERGED,22.307777777777776,1,53,0,331,2,4,1
Anduin2017/HowToCook,CLOSED,2464.7322222222224,1,53,0,326,72,2,1
Anduin2017/HowToCook,MERGED,47.02333333333333,1,2,2,322,2,1,1
