repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
Chalarangelo/30-seconds-of-code,MERGED,501.59833333333336,1,45,11,5290,2,1,1
Chalarangelo/30-seconds-of-code,CLOSED,2.0991666666666666,1,1,1,17,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,11.155555555555555,2,547,408,7562,1,0,1
Chalarangelo/30-seconds-of-code,MERGED,1433.3547222222223,1,7,7,2089,1,4,1
Chalarangelo/30-seconds-of-code,MERGED,7.289722222222222,1,1,1,0,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,7.674722222222222,1,6,0,0,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,7.917222222222223,1,1,1,0,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,11.557222222222222,1,1,1,0,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,249.93277777777777,1,57,0,87,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,4.710833333333333,1,5,5,1985,1,0,1
Chalarangelo/30-seconds-of-code,MERGED,3.8219444444444446,1,3,3,443,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,41.20666666666666,1,2,2,62,2,1,1
Chalarangelo/30-seconds-of-code,MERGED,51.86833333333333,1,1,1,54,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,1.1891666666666667,1,1,1,202,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,398.4663888888889,1,38,0,0,3,1,2
Chalarangelo/30-seconds-of-code,CLOSED,573.4144444444445,1859,50516,23,0,12,1,1
Chalarangelo/30-seconds-of-code,MERGED,87.73527777777778,1,1,1,280,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,1878.3077777777778,1,21,0,0,3,3,2
Chalarangelo/30-seconds-of-code,CLOSED,1705.4741666666666,1,36,0,97,3,2,1
Chalarangelo/30-seconds-of-code,MERGED,2.3627777777777776,1,1,1,0,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,7.6925,1,50,0,0,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,26.27111111111111,1,31,0,0,3,0,1
Chalarangelo/30-seconds-of-code,MERGED,4.553888888888889,1,29,0,96,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,1.0352777777777777,1,1,1,0,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,121.57444444444444,542,559,557,0,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,25.53611111111111,1,3,3,0,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,25.56861111111111,1,2,0,0,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,25.74111111111111,1,3,1,97,3,0,1
Chalarangelo/30-seconds-of-code,CLOSED,46.64555555555555,1,49,0,70,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,70.36472222222223,1,18,0,0,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,2.5727777777777776,1,21,0,0,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,4.251111111111111,2,32,0,17,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,2.79,3,47,0,0,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,8.280833333333334,1,21,0,34,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,4319.983055555555,1,39,0,450,4,0,1
Chalarangelo/30-seconds-of-code,CLOSED,9.244444444444444,1,155,0,72,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,70.56277777777778,1,50,0,0,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,95.11666666666666,1,37,0,109,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,24.061666666666667,1,35,0,48,2,0,1
Chalarangelo/30-seconds-of-code,MERGED,45.583888888888886,1,27,0,75,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,41.20583333333333,2,37,1,200,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,9.118055555555555,1,23,0,75,3,0,2
Chalarangelo/30-seconds-of-code,CLOSED,16.7775,1,41,0,55,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,2.408611111111111,1,26,0,72,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,2.9008333333333334,15,145,56,1435,3,0,1
Chalarangelo/30-seconds-of-code,CLOSED,5163.403611111111,2,58,0,82,3,0,1
Chalarangelo/30-seconds-of-code,MERGED,2.0244444444444443,1,1,1,222,2,0,1
Chalarangelo/30-seconds-of-code,CLOSED,5263.555,1,29,0,0,6,0,3
Chalarangelo/30-seconds-of-code,CLOSED,96.20111111111112,2,121,0,39,3,0,1
Chalarangelo/30-seconds-of-code,CLOSED,159.46555555555557,2,61,0,321,2,0,1
