repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
ChatGPTNextWeb/NextChat,MERGED,23.907222222222224,2,17,3,587,3,2,1
ChatGPTNextWeb/NextChat,CLOSED,48.77444444444444,2,7,1,469,3,2,3
ChatGPTNextWeb/NextChat,MERGED,8.722777777777777,2,5,5,163,2,1,1
ChatGPTNextWeb/NextChat,MERGED,21.413055555555555,4,778,14,803,2,1,2
ChatGPTNextWeb/NextChat,MERGED,103.895,1,14,3,559,4,1,2
ChatGPTNextWeb/NextChat,MERGED,3.248611111111111,1,1,0,297,2,1,1
ChatGPTNextWeb/NextChat,MERGED,29.159444444444443,3,54,48,439,2,1,1
ChatGPTNextWeb/NextChat,MERGED,82.53305555555555,33,796,9,845,2,1,2
ChatGPTNextWeb/NextChat,MERGED,64.22055555555555,1,1,0,356,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,286.8644444444444,1,1,1,335,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,675.8863888888889,1,2,0,4326,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,741.9983333333333,1,10,0,464,2,3,2
ChatGPTNextWeb/NextChat,CLOSED,774.1538888888889,1,3,3,423,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,908.0694444444445,1,4,0,399,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,1029.048888888889,35,22325,2786,1366,2,3,1
ChatGPTNextWeb/NextChat,MERGED,1222.0777777777778,1,12,0,318,3,2,1
ChatGPTNextWeb/NextChat,CLOSED,1557.7575,2,10,10,1526,2,2,4
ChatGPTNextWeb/NextChat,CLOSED,1583.9225,19,2095,51,2327,1,2,7
ChatGPTNextWeb/NextChat,CLOSED,16.372222222222224,12,1465,36,1912,1,2,2
ChatGPTNextWeb/NextChat,CLOSED,387.0236111111111,14,17604,8904,1102,2,3,3
ChatGPTNextWeb/NextChat,CLOSED,10.437777777777777,1,2,1,335,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,21.150833333333335,30,897,0,592,1,3,1
ChatGPTNextWeb/NextChat,MERGED,5.849444444444444,1,20,1,472,2,3,1
ChatGPTNextWeb/NextChat,MERGED,38.74138888888889,1,2,0,423,2,2,1
ChatGPTNextWeb/NextChat,MERGED,110.06388888888888,4,61,16,841,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,13.352777777777778,1,54,41,445,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,5338.860555555556,0,0,0,533,1,2,1
ChatGPTNextWeb/NextChat,MERGED,50.96,2,836,0,513,3,2,2
ChatGPTNextWeb/NextChat,MERGED,49.98694444444445,12,318,294,831,5,15,4
ChatGPTNextWeb/NextChat,CLOSED,42.40277777777778,1,14,23,548,1,2,1
ChatGPTNextWeb/NextChat,MERGED,31.500555555555554,2,43,2,408,2,2,1
ChatGPTNextWeb/NextChat,MERGED,47.7825,1,3,3,259,2,2,1
ChatGPTNextWeb/NextChat,MERGED,8.974166666666667,1,4,4,495,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,22.419444444444444,3,31,26,641,3,2,1
ChatGPTNextWeb/NextChat,MERGED,38.41388888888889,1,10,1,328,3,2,1
ChatGPTNextWeb/NextChat,MERGED,42.205,8,52,21,918,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,5.940277777777778,2,4,3,525,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,396.57444444444445,1,10,5,795,2,2,1
ChatGPTNextWeb/NextChat,MERGED,29.4675,17,339,10,730,5,7,1
ChatGPTNextWeb/NextChat,MERGED,4.904722222222222,13,527,1,1371,2,3,1
ChatGPTNextWeb/NextChat,CLOSED,7.647777777777778,13,551,0,2108,2,3,1
ChatGPTNextWeb/NextChat,MERGED,16.258055555555554,1,6,1,704,2,2,1
ChatGPTNextWeb/NextChat,CLOSED,27.97,1,9,7,489,2,3,1
ChatGPTNextWeb/NextChat,MERGED,34.30027777777778,2,3,1,553,2,2,2
ChatGPTNextWeb/NextChat,MERGED,29.866944444444446,1,3,0,453,2,2,1
ChatGPTNextWeb/NextChat,MERGED,5.7252777777777775,1,2,2,404,3,3,1
ChatGPTNextWeb/NextChat,CLOSED,82.82138888888889,0,0,0,373,1,2,1
