repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
CyC2018/CS-Notes,CLOSED,95.37027777777777,1,11,17,0,3,1,2
CyC2018/CS-Notes,MERGED,480.31138888888887,1,1,1,239,3,0,1
CyC2018/CS-Notes,CLOSED,418.4261111111111,1,25,25,258,4,2,1
CyC2018/CS-Notes,MERGED,732.4044444444445,1,1,1,17,3,2,1
CyC2018/CS-Notes,MERGED,752.32,1,1,1,46,3,0,1
CyC2018/CS-Notes,MERGED,1835.5080555555555,1,1,1,20,3,0,1
CyC2018/CS-Notes,MERGED,2018.0883333333334,1,1,1,10,3,0,1
CyC2018/CS-Notes,CLOSED,1787.8922222222222,2,14,30,46,3,1,1
CyC2018/CS-Notes,MERGED,2222.1280555555554,1,3,2,0,3,0,1
CyC2018/CS-Notes,MERGED,207.54944444444445,1,1,1,324,2,3,1
CyC2018/CS-Notes,CLOSED,1562.3338888888889,1,26,6,0,3,0,2
CyC2018/CS-Notes,CLOSED,33.471944444444446,1,2,8,112,3,1,1
