repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
DopplerHQ/awesome-interview-questions,CLOSED,5696.789722222222,1,1,0,383,3,3,1
DopplerHQ/awesome-interview-questions,CLOSED,12730.027222222223,2,3,1,64,3,4,1
DopplerHQ/awesome-interview-questions,MERGED,117.15611111111112,1,1,0,0,2,0,2
DopplerHQ/awesome-interview-questions,MERGED,243.06861111111112,1,1,0,188,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,507.87638888888887,1,5,8,58,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,582.5244444444445,1,1,0,0,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,916.8141666666667,1,1,0,99,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,941.7605555555556,1,1,0,74,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,1399.1791666666666,1,5,5,110,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,2256.4141666666665,1,1,0,0,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,477.9841666666667,1,1,0,48,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,781.7555555555556,1,5,0,199,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,1050.6072222222222,1,1,0,57,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,1355.066111111111,1,4,0,117,2,0,3
DopplerHQ/awesome-interview-questions,MERGED,1554.1897222222221,1,3,0,68,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,1864.0377777777778,1,1,0,97,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,2346.5672222222224,1,2,2,181,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,126.77111111111111,1,3,0,33,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,210.3488888888889,1,1,0,70,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,430.3802777777778,1,5,0,93,2,0,1
DopplerHQ/awesome-interview-questions,MERGED,937.4047222222222,1,1,1,40,2,0,2
DopplerHQ/awesome-interview-questions,MERGED,643.1944444444445,1,2,0,0,2,1,1
DopplerHQ/awesome-interview-questions,MERGED,3588.2761111111113,1,1,1,77,4,1,3
DopplerHQ/awesome-interview-questions,MERGED,3621.724166666667,1,3,0,35,3,2,2
DopplerHQ/awesome-interview-questions,MERGED,4117.2861111111115,1,0,1,60,3,1,2
DopplerHQ/awesome-interview-questions,CLOSED,4645.5986111111115,1,1,0,40,4,2,4
DopplerHQ/awesome-interview-questions,MERGED,4661.933055555555,1,1,0,31,3,0,2
DopplerHQ/awesome-interview-questions,MERGED,4805.5361111111115,1,7,7,0,3,0,3
DopplerHQ/awesome-interview-questions,MERGED,5463.928055555555,1,2,1,369,3,0,2
DopplerHQ/awesome-interview-questions,MERGED,5950.149444444444,1,2,0,77,3,0,3
DopplerHQ/awesome-interview-questions,CLOSED,5997.086666666667,1,4,0,40,3,1,5
DopplerHQ/awesome-interview-questions,MERGED,6278.099166666667,1,2,0,0,5,1,3
DopplerHQ/awesome-interview-questions,MERGED,6450.243611111111,1,1,0,0,4,2,2
DopplerHQ/awesome-interview-questions,MERGED,5507.803611111111,1,1,0,53,3,1,2
DopplerHQ/awesome-interview-questions,CLOSED,6854.205555555555,1,1,0,83,3,1,1
DopplerHQ/awesome-interview-questions,MERGED,6872.133055555556,1,0,4,498,4,3,2
DopplerHQ/awesome-interview-questions,MERGED,8744.528333333334,1,1,0,75,3,1,1
DopplerHQ/awesome-interview-questions,MERGED,263.1066666666667,1,2,0,0,3,1,1
DopplerHQ/awesome-interview-questions,MERGED,1624.9102777777778,1,18,18,0,3,1,1
DopplerHQ/awesome-interview-questions,MERGED,2.971388888888889,1,1,0,0,3,1,1
