repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
EbookFoundation/free-programming-books,CLOSED,39.598055555555554,2,9,0,411,2,0,4
EbookFoundation/free-programming-books,CLOSED,24.5875,1,5,1,427,2,7,2
EbookFoundation/free-programming-books,MERGED,10.91,1,1,1,155,3,0,1
EbookFoundation/free-programming-books,CLOSED,18.54888888888889,2,9,0,1109,2,1,1
EbookFoundation/free-programming-books,MERGED,107.925,1,36,35,1378,2,13,2
EbookFoundation/free-programming-books,MERGED,20.16722222222222,1,0,7,910,2,3,1
EbookFoundation/free-programming-books,MERGED,559.5908333333333,2,378,0,612,4,5,13
EbookFoundation/free-programming-books,MERGED,122.75861111111111,1,1,1,5191,2,1,1
EbookFoundation/free-programming-books,MERGED,122.76777777777778,1,1,1,4854,2,1,1
EbookFoundation/free-programming-books,MERGED,122.7088888888889,1,1,1,4068,2,1,1
EbookFoundation/free-programming-books,MERGED,122.69555555555556,1,1,1,6930,2,1,1
EbookFoundation/free-programming-books,MERGED,62.38861111111111,3,20,15,836,2,3,2
EbookFoundation/free-programming-books,MERGED,626.1291666666667,3,5,5,6032,2,1,1
EbookFoundation/free-programming-books,MERGED,12.184166666666666,1,3,0,1365,2,2,1
EbookFoundation/free-programming-books,MERGED,482.22305555555556,2,2,2,6326,2,2,1
EbookFoundation/free-programming-books,MERGED,109.78027777777778,1,2,0,1684,3,12,3
EbookFoundation/free-programming-books,MERGED,21.98,2,48,1,1002,2,1,1
EbookFoundation/free-programming-books,MERGED,156.44916666666666,1,1,1,4205,2,1,1
EbookFoundation/free-programming-books,CLOSED,31.829444444444444,2,3,2,1871,2,2,1
EbookFoundation/free-programming-books,MERGED,33.910555555555554,1,1,1,2546,2,1,1
EbookFoundation/free-programming-books,MERGED,32.89861111111111,1,1,1,5489,2,1,1
EbookFoundation/free-programming-books,MERGED,58.05861111111111,1,1,1,6674,2,1,1
EbookFoundation/free-programming-books,MERGED,8.391944444444444,2,7,0,1309,2,1,2
EbookFoundation/free-programming-books,MERGED,4.609444444444445,1,1,0,755,2,1,2
EbookFoundation/free-programming-books,MERGED,25.163888888888888,1,6,0,1067,2,0,5
EbookFoundation/free-programming-books,CLOSED,1008.0336111111111,1,1,1,9079,2,2,1
EbookFoundation/free-programming-books,MERGED,43.361666666666665,1,1,0,869,2,0,1
EbookFoundation/free-programming-books,CLOSED,2732.6847222222223,1,4,4,966,3,3,2
EbookFoundation/free-programming-books,MERGED,1738.0283333333334,1,1,1,2348,2,0,1
