repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
Genymobile/scrcpy,CLOSED,49.53055555555556,1,3,2,1256,4,15,2
Genymobile/scrcpy,MERGED,141.1238888888889,5,67,281,243,2,0,2
Genymobile/scrcpy,CLOSED,335.7163888888889,2,19,0,104,2,1,4
Genymobile/scrcpy,CLOSED,316.3288888888889,1,29,29,135,2,2,2
Genymobile/scrcpy,CLOSED,1211.9641666666666,5,78,29,773,3,22,2
Genymobile/scrcpy,CLOSED,1418.4508333333333,15,219,9,80,2,8,6
Genymobile/scrcpy,CLOSED,17.64138888888889,1,14,0,263,2,1,2
Genymobile/scrcpy,CLOSED,185.96555555555557,6,210,39,348,2,10,3
Genymobile/scrcpy,MERGED,4.19,5,76,5,894,5,10,2
Genymobile/scrcpy,MERGED,309.37388888888887,37,1924,587,5792,6,37,4
Genymobile/scrcpy,CLOSED,1188.1358333333333,2,4,4,28,3,1,1
Genymobile/scrcpy,MERGED,213.99416666666667,58,2460,469,1451,6,28,5
Genymobile/scrcpy,CLOSED,1994.806111111111,23,334,62,124,3,1,1
Genymobile/scrcpy,CLOSED,432.1322222222222,16,65,18,1232,3,9,15
Genymobile/scrcpy,CLOSED,283.59166666666664,2,26,2,567,2,0,3
Genymobile/scrcpy,CLOSED,25.41111111111111,6,97,36,178,2,1,1
Genymobile/scrcpy,MERGED,26.840833333333332,15,348,184,521,4,4,3
Genymobile/scrcpy,CLOSED,2246.5002777777777,38,1200,251,1961,5,29,8
Genymobile/scrcpy,CLOSED,8206.458888888888,4,114,36,469,2,15,2
Genymobile/scrcpy,CLOSED,8.050277777777778,5,12,15,128,2,7,2
Genymobile/scrcpy,CLOSED,2171.2894444444446,15,924,274,200,6,38,4
Genymobile/scrcpy,CLOSED,19389.827222222222,3,156,24,363,3,1,1
Genymobile/scrcpy,MERGED,2483.9675,8,127,11,774,2,2,1
Genymobile/scrcpy,CLOSED,30.72277777777778,1,9,1,0,3,2,4
Genymobile/scrcpy,CLOSED,587.0625,4,72,1,515,2,3,1
Genymobile/scrcpy,CLOSED,172.91833333333332,2,24,0,688,2,9,3
Genymobile/scrcpy,CLOSED,14206.02611111111,2,17,0,283,3,4,4
Genymobile/scrcpy,MERGED,21.66,10,112,14,749,2,5,2
Genymobile/scrcpy,CLOSED,201.9975,0,0,0,465,2,1,1
Genymobile/scrcpy,CLOSED,61.748333333333335,1,53,2,242,2,6,2
Genymobile/scrcpy,CLOSED,190.13972222222222,2,6,2,68,2,4,2
Genymobile/scrcpy,CLOSED,1280.1733333333334,10,98,29,284,3,8,11
Genymobile/scrcpy,CLOSED,1789.4072222222221,3,41,3,248,4,15,1
Genymobile/scrcpy,CLOSED,28472.460833333334,27,789,41,676,4,7,8
Genymobile/scrcpy,CLOSED,279.74694444444447,1,71,72,98,3,3,12
Genymobile/scrcpy,CLOSED,113.55305555555556,1,5,5,114,2,3,4
Genymobile/scrcpy,CLOSED,458.8772222222222,1,306,59,84,3,7,2
Genymobile/scrcpy,CLOSED,171.77138888888888,1,3,3,80,4,2,22
Genymobile/scrcpy,CLOSED,4440.234444444444,3,44,65,38,2,0,4
Genymobile/scrcpy,CLOSED,30.0175,2,128,35,33,2,1,1
Genymobile/scrcpy,MERGED,15.027777777777779,6,39,34,432,3,2,1
Genymobile/scrcpy,MERGED,71.04166666666667,12,277,90,850,2,4,1
