repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
Hack-with-Github/Awesome-Hacking,CLOSED,320.7947222222222,2,3,1,52,3,1,3
Hack-with-Github/Awesome-Hacking,MERGED,492.52444444444444,1,1,0,102,13,8,23
Hack-with-Github/Awesome-Hacking,CLOSED,1742.2180555555556,1,1,0,36,13,4,19
Hack-with-Github/Awesome-Hacking,CLOSED,2105.9972222222223,1,1,0,505,12,8,9
Hack-with-Github/Awesome-Hacking,CLOSED,5882.465,1,1,0,0,12,3,13
Hack-with-Github/Awesome-Hacking,CLOSED,6350.946944444445,1,1,0,280,7,3,7
Hack-with-Github/Awesome-Hacking,CLOSED,5977.9075,1,1,0,138,9,3,10
Hack-with-Github/Awesome-Hacking,CLOSED,3161.1694444444443,1,1,0,87,4,4,1
Hack-with-Github/Awesome-Hacking,CLOSED,3473.686388888889,1,12,10,64,5,1,4
Hack-with-Github/Awesome-Hacking,CLOSED,3780.1897222222224,1,2,0,54,9,1,8
Hack-with-Github/Awesome-Hacking,CLOSED,580.48,1,1,0,121,3,2,2
Hack-with-Github/Awesome-Hacking,CLOSED,14183.420277777777,2,93,78,307,20,12,21
Hack-with-Github/Awesome-Hacking,CLOSED,9542.858888888888,1,13,13,100,5,0,3
Hack-with-Github/Awesome-Hacking,CLOSED,40.183055555555555,1,0,0,0,5,3,4
Hack-with-Github/Awesome-Hacking,CLOSED,1394.981388888889,1,3,0,74,9,9,5
Hack-with-Github/Awesome-Hacking,MERGED,12679.413611111111,1,2,2,90,12,2,11
Hack-with-Github/Awesome-Hacking,MERGED,15421.247222222222,1,1,0,0,9,2,7
Hack-with-Github/Awesome-Hacking,CLOSED,4572.866944444444,1,21,0,0,4,2,2
Hack-with-Github/Awesome-Hacking,CLOSED,4666.917222222222,1,1,0,7,4,0,2
Hack-with-Github/Awesome-Hacking,MERGED,4780.549166666667,1,1,0,0,5,3,3
Hack-with-Github/Awesome-Hacking,CLOSED,19151.529444444444,1,2,1,53,16,6,19
Hack-with-Github/Awesome-Hacking,MERGED,6094.944166666667,1,2,1,0,8,4,4
Hack-with-Github/Awesome-Hacking,CLOSED,1704.37,1,21,0,8,4,1,1
Hack-with-Github/Awesome-Hacking,CLOSED,3040.0980555555557,1,1,0,0,4,0,2
Hack-with-Github/Awesome-Hacking,CLOSED,270.37388888888887,1,1,0,22,5,4,2
Hack-with-Github/Awesome-Hacking,MERGED,576.6847222222223,1,1,0,39,4,2,2
Hack-with-Github/Awesome-Hacking,CLOSED,767.02,1,4,0,323,3,0,2
Hack-with-Github/Awesome-Hacking,MERGED,2639.380833333333,1,1,0,31,4,4,2
Hack-with-Github/Awesome-Hacking,MERGED,28.398055555555555,1,0,1,63,4,0,2
Hack-with-Github/Awesome-Hacking,MERGED,28.601944444444445,1,1,0,95,2,0,1
Hack-with-Github/Awesome-Hacking,MERGED,286.84,1,1,1,0,3,1,1
Hack-with-Github/Awesome-Hacking,MERGED,293.66833333333335,1,1,0,0,3,1,1
Hack-with-Github/Awesome-Hacking,MERGED,132.20222222222222,1,1,0,0,2,1,1
Hack-with-Github/Awesome-Hacking,CLOSED,172.8136111111111,1,1,0,46,2,0,1
Hack-with-Github/Awesome-Hacking,MERGED,223.675,1,4,4,37,2,0,1
Hack-with-Github/Awesome-Hacking,CLOSED,24664.23611111111,1,1,0,60,7,2,3
Hack-with-Github/Awesome-Hacking,MERGED,42.15611111111111,1,1,0,90,2,0,1
Hack-with-Github/Awesome-Hacking,CLOSED,1862.5108333333333,1,1,0,48,5,5,1
