repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
MunGell/awesome-for-beginners,CLOSED,124.15055555555556,1,1698,2185,0,2,0,1
MunGell/awesome-for-beginners,CLOSED,201.6013888888889,1,2,63,53,2,0,1
MunGell/awesome-for-beginners,CLOSED,240.71416666666667,1,1,1,29,2,0,1
MunGell/awesome-for-beginners,CLOSED,113.41638888888889,1,29,58,415,2,0,1
MunGell/awesome-for-beginners,CLOSED,121.43638888888889,1,7,0,112,3,1,1
MunGell/awesome-for-beginners,CLOSED,775.2394444444444,1,10,0,0,2,1,1
MunGell/awesome-for-beginners,MERGED,115.63527777777777,1,1,1,0,2,0,1
MunGell/awesome-for-beginners,CLOSED,1356.798888888889,1,9,0,53,2,0,1
MunGell/awesome-for-beginners,CLOSED,285.4558333333333,1,2,0,0,2,0,1
MunGell/awesome-for-beginners,MERGED,361.19166666666666,1,10,0,311,2,0,1
MunGell/awesome-for-beginners,CLOSED,686.9547222222222,1,9,0,0,2,0,1
MunGell/awesome-for-beginners,CLOSED,856.2763888888888,1,1,0,46,2,0,1
MunGell/awesome-for-beginners,CLOSED,180.45361111111112,1,11,1,83,3,1,1
MunGell/awesome-for-beginners,MERGED,220.2697222222222,1,9,0,92,3,5,1
MunGell/awesome-for-beginners,MERGED,60.19583333333333,1,4,4,496,2,1,1
MunGell/awesome-for-beginners,MERGED,358.63305555555553,1,9,0,171,3,1,1
MunGell/awesome-for-beginners,CLOSED,22.64388888888889,1,9,0,294,2,0,1
MunGell/awesome-for-beginners,CLOSED,166.10888888888888,2,67,46,289,2,0,1
MunGell/awesome-for-beginners,MERGED,682.6216666666667,1,7,0,52,3,0,3
MunGell/awesome-for-beginners,CLOSED,181.53916666666666,1,11,0,143,2,0,1
MunGell/awesome-for-beginners,MERGED,6.731388888888889,1,2,1,301,3,1,2
MunGell/awesome-for-beginners,CLOSED,41.518055555555556,1,10,0,38,2,0,1
MunGell/awesome-for-beginners,MERGED,63.72833333333333,1,0,9,74,2,0,1
MunGell/awesome-for-beginners,MERGED,1676.2916666666667,1,10,0,190,3,2,2
MunGell/awesome-for-beginners,MERGED,2.270277777777778,1,1,1,108,2,0,1
MunGell/awesome-for-beginners,MERGED,42.94277777777778,1,0,9,94,2,0,1
MunGell/awesome-for-beginners,MERGED,170.47611111111112,1,64,19,199,1,1,1
MunGell/awesome-for-beginners,MERGED,98.25305555555556,1,3,3,60,3,0,2
MunGell/awesome-for-beginners,CLOSED,21.73,2,3,3,0,2,0,1
MunGell/awesome-for-beginners,CLOSED,35.12638888888889,1,9,0,44,2,0,1
MunGell/awesome-for-beginners,CLOSED,506.80361111111114,1,10,1,479,2,0,3
MunGell/awesome-for-beginners,MERGED,36.57861111111111,1,2,0,91,2,0,4
MunGell/awesome-for-beginners,CLOSED,75.60333333333334,1,9,0,29,3,0,2
MunGell/awesome-for-beginners,CLOSED,144.97277777777776,1,9,0,342,2,0,1
MunGell/awesome-for-beginners,CLOSED,558.5883333333334,1,69,2179,1384,2,0,1
MunGell/awesome-for-beginners,CLOSED,27.464444444444446,1,11,0,42,2,0,1
MunGell/awesome-for-beginners,CLOSED,70.49444444444444,0,0,0,0,3,1,1
MunGell/awesome-for-beginners,MERGED,179.18333333333334,1,0,35,303,2,0,1
MunGell/awesome-for-beginners,CLOSED,7.81,1,1,1,0,2,0,1
MunGell/awesome-for-beginners,CLOSED,9.295833333333333,1,8,0,42,2,0,1
MunGell/awesome-for-beginners,CLOSED,1649.9072222222221,1,36,17,0,4,2,1
MunGell/awesome-for-beginners,CLOSED,5.0,1,1,1,0,2,0,1
MunGell/awesome-for-beginners,CLOSED,24.253333333333334,1,10,0,392,2,0,1
MunGell/awesome-for-beginners,MERGED,50.43472222222222,1,9,0,135,2,0,3
MunGell/awesome-for-beginners,CLOSED,231.05305555555555,4,187,19,325,3,4,5
MunGell/awesome-for-beginners,MERGED,9.63888888888889,1,1,1,98,2,0,1
MunGell/awesome-for-beginners,MERGED,113.42333333333333,1,9,0,314,2,3,4
MunGell/awesome-for-beginners,CLOSED,231.62,3,28,3,250,3,0,2
MunGell/awesome-for-beginners,MERGED,165.6988888888889,1,1,1,95,2,2,1
MunGell/awesome-for-beginners,MERGED,297.71305555555557,1,10,0,98,2,0,2
MunGell/awesome-for-beginners,MERGED,44.10166666666667,1,9,0,217,3,2,1
MunGell/awesome-for-beginners,MERGED,2.911111111111111,2,17,10,0,1,1,1
MunGell/awesome-for-beginners,MERGED,41.6025,1,9,0,12,2,0,1
MunGell/awesome-for-beginners,MERGED,30.878888888888888,1,9,0,77,2,0,1
MunGell/awesome-for-beginners,MERGED,46.57277777777778,1,11,1,134,2,0,1
MunGell/awesome-for-beginners,CLOSED,42.024166666666666,1,9,0,173,2,0,3
MunGell/awesome-for-beginners,CLOSED,288.6686111111111,1,9,0,279,2,0,2
MunGell/awesome-for-beginners,MERGED,160.44333333333333,1,2,2,60,2,6,2
MunGell/awesome-for-beginners,MERGED,94.06555555555556,1,11,0,16,2,2,3
MunGell/awesome-for-beginners,CLOSED,71.55305555555556,1,11,0,46,2,0,1
MunGell/awesome-for-beginners,CLOSED,4136.455833333333,1,10,3,0,4,1,4
MunGell/awesome-for-beginners,MERGED,4.986666666666666,1,9,0,41,2,0,1
MunGell/awesome-for-beginners,MERGED,136.93972222222223,1,4,4,232,2,1,1
