repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
PKUFlyingPig/cs-self-learning,MERGED,1643.6016666666667,2,10,6,90,2,1,2
PKUFlyingPig/cs-self-learning,MERGED,2.6508333333333334,3,49,0,72,2,2,1
PKUFlyingPig/cs-self-learning,MERGED,45.85638888888889,3,50,0,51,2,1,5
PKUFlyingPig/cs-self-learning,MERGED,875.4930555555555,1,2,2,262,2,1,3
PKUFlyingPig/cs-self-learning,MERGED,437.34027777777777,3,45,0,0,2,0,2
PKUFlyingPig/cs-self-learning,MERGED,21.10361111111111,2,26,7,36,2,0,2
PKUFlyingPig/cs-self-learning,MERGED,17.566944444444445,3,49,0,0,2,1,1
PKUFlyingPig/cs-self-learning,MERGED,17.079166666666666,2,2,2,69,2,0,1
PKUFlyingPig/cs-self-learning,MERGED,22.694444444444443,5,77,0,259,2,2,1
PKUFlyingPig/cs-self-learning,MERGED,20.486666666666668,3,73,0,0,2,0,5
PKUFlyingPig/cs-self-learning,MERGED,26.091944444444444,5,45,2,0,2,1,3
PKUFlyingPig/cs-self-learning,MERGED,19.425833333333333,3,48,0,0,2,1,1
PKUFlyingPig/cs-self-learning,MERGED,18.736666666666668,3,93,0,19,2,1,2
PKUFlyingPig/cs-self-learning,MERGED,2.6597222222222223,3,69,0,177,2,3,1
PKUFlyingPig/cs-self-learning,MERGED,344.90722222222223,2,24,0,177,2,1,1
PKUFlyingPig/cs-self-learning,MERGED,21.11,4,111,0,678,2,4,1
PKUFlyingPig/cs-self-learning,MERGED,399.75138888888887,3,35,4,230,3,7,1
PKUFlyingPig/cs-self-learning,MERGED,31.966666666666665,3,51,0,607,2,2,2
PKUFlyingPig/cs-self-learning,CLOSED,42.74888888888889,2,4,1,128,2,2,2
PKUFlyingPig/cs-self-learning,MERGED,1.2191666666666667,1,1,0,0,2,0,1
PKUFlyingPig/cs-self-learning,CLOSED,19.520555555555557,1,30,0,161,2,0,1
PKUFlyingPig/cs-self-learning,MERGED,43.18361111111111,9,133,4,274,2,0,3
PKUFlyingPig/cs-self-learning,MERGED,138.72416666666666,14,43,21,0,2,0,1
PKUFlyingPig/cs-self-learning,MERGED,107.82833333333333,2,39,1,0,2,0,2
PKUFlyingPig/cs-self-learning,MERGED,116.56305555555555,1,9,1,0,2,0,1
PKUFlyingPig/cs-self-learning,MERGED,8.614722222222222,1,1,0,0,2,0,2
PKUFlyingPig/cs-self-learning,MERGED,19.140555555555554,2,39,0,10,2,2,1
