repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
Shubhamsaboo/awesome-llm-apps,MERGED,69.96805555555555,3,270,0,318,2,7,4
Shubhamsaboo/awesome-llm-apps,CLOSED,186.7277777777778,1,3,3,0,3,1,1
Shubhamsaboo/awesome-llm-apps,CLOSED,249.34833333333333,1,1,0,150,3,1,1
Shubhamsaboo/awesome-llm-apps,CLOSED,4.634444444444444,1,34,0,0,2,0,1
Shubhamsaboo/awesome-llm-apps,MERGED,162.46277777777777,1,19,11,555,2,5,2
Shubhamsaboo/awesome-llm-apps,CLOSED,31.23111111111111,4,2,2,265,2,0,1
Shubhamsaboo/awesome-llm-apps,MERGED,7.9191666666666665,29,3336,0,72,2,1,1
Shubhamsaboo/awesome-llm-apps,MERGED,13.950833333333334,186,33718,0,72,2,2,1
Shubhamsaboo/awesome-llm-apps,MERGED,8.469722222222222,94,17030,0,79,2,2,1
Shubhamsaboo/awesome-llm-apps,MERGED,8.719722222222222,19,1128,0,89,2,1,2
Shubhamsaboo/awesome-llm-apps,MERGED,230.39416666666668,5,391,0,91,2,4,3
Shubhamsaboo/awesome-llm-apps,CLOSED,41.009166666666665,2,2,50,0,2,0,1
Shubhamsaboo/awesome-llm-apps,CLOSED,1875.8047222222222,2,112,1,317,2,1,1
Shubhamsaboo/awesome-llm-apps,CLOSED,444.1377777777778,26,1828,0,5369,2,1,1
Shubhamsaboo/awesome-llm-apps,CLOSED,369.13194444444446,8,1623,0,708,3,6,1
Shubhamsaboo/awesome-llm-apps,MERGED,180.75166666666667,3,303,0,0,2,3,1
Shubhamsaboo/awesome-llm-apps,MERGED,218.28166666666667,1,1,1,203,4,0,1
Shubhamsaboo/awesome-llm-apps,MERGED,3.7088888888888887,1,1,1,19,3,0,1
Shubhamsaboo/awesome-llm-apps,MERGED,146.1175,3,228,0,0,3,0,2
