repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
Significant-Gravitas/AutoGPT,MERGED,2.3991666666666664,6,24,18,359,2,5,1
Significant-Gravitas/AutoGPT,MERGED,7.848055555555556,1,0,3,295,2,5,1
Significant-Gravitas/AutoGPT,MERGED,23.22972222222222,1,122,34,330,2,8,6
Significant-Gravitas/AutoGPT,MERGED,14.89,6,723,965,3915,2,8,1
Significant-Gravitas/AutoGPT,CLOSED,1.3511111111111112,2,203,1,1196,1,7,1
Significant-Gravitas/AutoGPT,MERGED,5.679722222222222,4,717,32,2327,4,8,3
Significant-Gravitas/AutoGPT,MERGED,70.95611111111111,27,648,401,4721,3,28,14
Significant-Gravitas/AutoGPT,MERGED,128.44666666666666,2,293,0,6052,4,23,8
Significant-Gravitas/AutoGPT,CLOSED,4.699722222222222,2,94,73,1425,2,10,2
Significant-Gravitas/AutoGPT,MERGED,10.43388888888889,2,13,2,1361,2,4,1
Significant-Gravitas/AutoGPT,MERGED,1.4677777777777778,2,11,0,1657,2,10,1
Significant-Gravitas/AutoGPT,MERGED,26.473055555555554,27,3373,3351,4937,2,7,1
Significant-Gravitas/AutoGPT,MERGED,166.50944444444445,18,498,179,414,4,10,3
Significant-Gravitas/AutoGPT,MERGED,23.860833333333332,2,150,37,2326,4,9,8
Significant-Gravitas/AutoGPT,MERGED,18.648888888888887,4,602,35,2387,3,7,9
Significant-Gravitas/AutoGPT,MERGED,4.192777777777778,1,38,31,488,3,7,4
Significant-Gravitas/AutoGPT,MERGED,18.836944444444445,25,2064,545,5492,3,11,2
Significant-Gravitas/AutoGPT,MERGED,7.178888888888889,3,19,3,3417,3,6,3
Significant-Gravitas/AutoGPT,MERGED,95.9713888888889,4,247,93,1075,5,15,19
Significant-Gravitas/AutoGPT,MERGED,1.7852777777777777,1,2,0,2595,3,5,1
Significant-Gravitas/AutoGPT,MERGED,164.37222222222223,4,15,4,552,2,4,2
Significant-Gravitas/AutoGPT,MERGED,11.036944444444444,219,636,635,633,2,5,1
Significant-Gravitas/AutoGPT,MERGED,14.621666666666666,6,8,10,515,4,5,3
Significant-Gravitas/AutoGPT,MERGED,17.72888888888889,1,72,61,371,2,5,3
Significant-Gravitas/AutoGPT,MERGED,16.467222222222222,87,953,510,515,2,4,1
Significant-Gravitas/AutoGPT,MERGED,109.72083333333333,16,2416,8,5120,3,8,4
Significant-Gravitas/AutoGPT,MERGED,3.790277777777778,36,41,161,397,2,4,1
Significant-Gravitas/AutoGPT,MERGED,9.955,12,833,2,2836,3,14,4
Significant-Gravitas/AutoGPT,MERGED,15.4725,3,52,14,1174,2,4,1
Significant-Gravitas/AutoGPT,MERGED,11.275,2,87,8,1398,3,6,1
Significant-Gravitas/AutoGPT,MERGED,9.2075,1,48,31,699,3,6,2
Significant-Gravitas/AutoGPT,MERGED,14.547777777777778,21,215,1,1659,3,20,3
Significant-Gravitas/AutoGPT,MERGED,13.725277777777778,1,1,1,310,3,5,1
Significant-Gravitas/AutoGPT,MERGED,23.314444444444444,45,568,401,961,2,6,1
Significant-Gravitas/AutoGPT,MERGED,22.545277777777777,7,387,6,2345,3,13,8
Significant-Gravitas/AutoGPT,MERGED,271.60805555555555,58,3729,113,2962,6,32,3
Significant-Gravitas/AutoGPT,MERGED,4.751388888888889,10,108,116,3428,3,9,2
Significant-Gravitas/AutoGPT,MERGED,91.17611111111111,2,16,3,480,3,10,2
Significant-Gravitas/AutoGPT,MERGED,68.3975,14,454,345,436,2,4,1
Significant-Gravitas/AutoGPT,MERGED,69.2125,7,273,180,571,2,4,1
Significant-Gravitas/AutoGPT,MERGED,1.5525,3,326,12,763,3,18,2
Significant-Gravitas/AutoGPT,MERGED,81.86305555555556,1,66,0,377,2,4,1
Significant-Gravitas/AutoGPT,MERGED,2.2466666666666666,3,71,0,616,3,5,1
Significant-Gravitas/AutoGPT,MERGED,19.573888888888888,2,36,8,384,3,5,1
Significant-Gravitas/AutoGPT,MERGED,1.6369444444444445,3,0,3,355,2,4,1
Significant-Gravitas/AutoGPT,MERGED,7.126944444444445,3,326,16,3101,2,4,1
Significant-Gravitas/AutoGPT,MERGED,12.275833333333333,1,238,74,3057,3,19,3
Significant-Gravitas/AutoGPT,MERGED,19.650555555555556,17,844,136,457,2,4,1
Significant-Gravitas/AutoGPT,CLOSED,531.4436111111111,71,3679,710,2894,7,16,2
Significant-Gravitas/AutoGPT,MERGED,3.71,2,9,1,514,2,4,1
Significant-Gravitas/AutoGPT,CLOSED,216.19611111111112,2,31,31,6615,1,7,1
Significant-Gravitas/AutoGPT,MERGED,53.26888888888889,96,1377,164,2775,3,6,2
Significant-Gravitas/AutoGPT,MERGED,173.72861111111112,4,65,23,2746,3,4,12
Significant-Gravitas/AutoGPT,MERGED,561.3288888888889,6,89,5,814,5,11,12
Significant-Gravitas/AutoGPT,MERGED,36.059444444444445,1,1,1,91,3,4,3
Significant-Gravitas/AutoGPT,MERGED,18.645555555555557,5,35,14,2208,3,6,8
Significant-Gravitas/AutoGPT,CLOSED,619.5469444444444,35,893,1909,1836,2,5,5
Significant-Gravitas/AutoGPT,MERGED,24.691666666666666,7,163,20,739,2,4,1
Significant-Gravitas/AutoGPT,MERGED,3.7825,1,154,0,652,5,18,1
Significant-Gravitas/AutoGPT,MERGED,3.689722222222222,5,186,70,1627,3,5,1
Significant-Gravitas/AutoGPT,MERGED,1.1297222222222223,3,756,3,236,5,8,5
Significant-Gravitas/AutoGPT,MERGED,141.60444444444445,2,881,861,23113,2,7,1
Significant-Gravitas/AutoGPT,MERGED,25.718888888888888,46,2407,153,1342,4,6,7
Significant-Gravitas/AutoGPT,MERGED,22.059722222222224,2,26,8,395,2,4,1
Significant-Gravitas/AutoGPT,MERGED,33.05777777777778,2,11,119,879,3,4,2
Significant-Gravitas/AutoGPT,MERGED,665.0211111111112,7,583,0,2330,7,19,13
Significant-Gravitas/AutoGPT,MERGED,332.14972222222224,15,664,2,2565,3,25,34
Significant-Gravitas/AutoGPT,MERGED,78.24138888888889,32,585,82,1128,4,16,3
Significant-Gravitas/AutoGPT,MERGED,8.658611111111112,23,311,119,1150,3,14,1
Significant-Gravitas/AutoGPT,MERGED,2.908611111111111,14,403,105,655,4,7,3
Significant-Gravitas/AutoGPT,MERGED,41.797777777777775,2,65,65,1462,4,7,1
Significant-Gravitas/AutoGPT,MERGED,46.1675,17,2325,37,4432,5,11,4
Significant-Gravitas/AutoGPT,CLOSED,694.9511111111111,8,864,16,910,3,6,1
Significant-Gravitas/AutoGPT,CLOSED,50.66722222222222,1,170,0,406,5,30,1
Significant-Gravitas/AutoGPT,MERGED,55.44916666666666,2,53,43,2988,1,5,1
Significant-Gravitas/AutoGPT,MERGED,56.96055555555556,2,115,74,4264,1,7,2
Significant-Gravitas/AutoGPT,MERGED,687.5619444444444,5,13,12,7060,1,15,1
Significant-Gravitas/AutoGPT,MERGED,56.07972222222222,2,22,22,6283,1,3,1
Significant-Gravitas/AutoGPT,MERGED,683.3822222222223,2,502,479,6608,2,10,2
Significant-Gravitas/AutoGPT,MERGED,39.18944444444445,23,332,347,615,2,4,1
Significant-Gravitas/AutoGPT,MERGED,200.6075,10,202,347,1064,4,11,3
Significant-Gravitas/AutoGPT,MERGED,214.45666666666668,19,465,455,1161,4,15,5
Significant-Gravitas/AutoGPT,MERGED,3.269722222222222,11,361,4,356,3,4,4
Significant-Gravitas/AutoGPT,MERGED,31.89388888888889,6,19,9,436,3,7,4
Significant-Gravitas/AutoGPT,MERGED,22.958333333333332,1,19,3,526,2,5,1
Significant-Gravitas/AutoGPT,CLOSED,163.72333333333333,1,56,7,958,4,11,2
Significant-Gravitas/AutoGPT,MERGED,12.721111111111112,1,43,46,420,3,3,1
Significant-Gravitas/AutoGPT,MERGED,94.1225,2,12,15,396,2,5,1
Significant-Gravitas/AutoGPT,MERGED,82.39444444444445,16,745,19,1344,4,5,7
Significant-Gravitas/AutoGPT,MERGED,135.01361111111112,3,74,3,1528,4,14,2
Significant-Gravitas/AutoGPT,MERGED,427.9261111111111,3,371,27,2147,5,15,1
Significant-Gravitas/AutoGPT,MERGED,22.165,47,1862,1030,1975,3,5,3
Significant-Gravitas/AutoGPT,MERGED,167.9463888888889,3,250,0,1387,2,6,1
