repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
Snailclimb/JavaGuide,CLOSED,1225.9377777777777,10,231,231,52,3,1,1
Snailclimb/JavaGuide,MERGED,8.750555555555556,16,20,20,0,1,0,1
Snailclimb/JavaGuide,MERGED,5.0872222222222225,5,1909,1052,0,3,0,1
Snailclimb/JavaGuide,MERGED,2.6847222222222222,1,19,24,0,2,0,1
Snailclimb/JavaGuide,CLOSED,16.5525,2,2,2,409,2,0,1
Snailclimb/JavaGuide,MERGED,7.91,1,1,1,38,2,0,1
Snailclimb/JavaGuide,CLOSED,5249.770833333333,1,355,0,0,3,2,1
Snailclimb/JavaGuide,MERGED,135.34416666666667,1,6,6,8,2,0,1
Snailclimb/JavaGuide,MERGED,48.180277777777775,3,14,13,10,2,0,2
Snailclimb/JavaGuide,MERGED,23.144166666666667,1,18,7,55,2,0,1
Snailclimb/JavaGuide,MERGED,51.20444444444445,2,121,53,201,2,1,1
Snailclimb/JavaGuide,MERGED,5.243611111111111,1,1,1,0,2,0,1
Snailclimb/JavaGuide,MERGED,59.71388888888889,1,2,2,36,3,0,1
Snailclimb/JavaGuide,MERGED,42.15222222222222,2,271,0,0,2,1,1
Snailclimb/JavaGuide,MERGED,124.07,1,9,1,0,2,2,2
Snailclimb/JavaGuide,MERGED,131.11555555555555,1,84,2,19,2,1,2
Snailclimb/JavaGuide,MERGED,34.23722222222222,1,5,2,25,2,0,1
Snailclimb/JavaGuide,MERGED,52.07694444444444,4,79,86,0,2,0,1
Snailclimb/JavaGuide,MERGED,52.596666666666664,8,308,366,62,2,0,1
Snailclimb/JavaGuide,MERGED,57.63805555555555,1,19,0,90,2,0,1
Snailclimb/JavaGuide,MERGED,46.64555555555555,1,75,0,0,2,0,1
Snailclimb/JavaGuide,MERGED,48.7975,1,1,1,56,3,0,2
Snailclimb/JavaGuide,MERGED,4.390555555555555,1,3,3,16,2,0,1
Snailclimb/JavaGuide,MERGED,68.6661111111111,1,2,1,0,2,0,1
Snailclimb/JavaGuide,MERGED,15.745277777777778,1,6,2,0,2,0,1
