repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
Stirling-Tools/Stirling-PDF,MERGED,19.8775,4,86,35,133,3,1,2
Stirling-Tools/Stirling-PDF,CLOSED,1.5644444444444445,34,73,76,1751,2,2,1
Stirling-Tools/Stirling-PDF,MERGED,45.74111111111111,8,11,11,2133,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,45.74777777777778,1,1,1,3451,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,45.75666666666667,1,1,1,2107,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,45.75333333333333,2,2,2,4082,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,45.757777777777775,1,1,1,5173,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,2.589166666666667,2,71,70,999,2,1,2
Stirling-Tools/Stirling-PDF,CLOSED,1.8327777777777778,41,990,30,885,1,1,1
Stirling-Tools/Stirling-PDF,MERGED,12.939722222222223,2,359,172,1422,2,1,3
Stirling-Tools/Stirling-PDF,MERGED,16.54277777777778,8,148,155,1477,2,0,3
Stirling-Tools/Stirling-PDF,MERGED,2.581111111111111,6,64,66,222,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,73.51583333333333,1,31,19,1762,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,2.5619444444444444,15,394,167,750,2,0,4
Stirling-Tools/Stirling-PDF,MERGED,1.0433333333333332,2,5,2,0,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,92.32277777777777,17,661,104,72,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,20.56277777777778,3,2,4,750,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,46.57944444444445,19,856,18,2809,3,9,7
Stirling-Tools/Stirling-PDF,MERGED,55.99444444444445,1,22,22,27,3,1,1
Stirling-Tools/Stirling-PDF,MERGED,17.494444444444444,11,402,17,750,3,1,4
Stirling-Tools/Stirling-PDF,MERGED,6.384166666666666,28,1301,679,98,3,0,2
Stirling-Tools/Stirling-PDF,MERGED,70.34583333333333,1,35,35,836,3,1,3
Stirling-Tools/Stirling-PDF,MERGED,83.93888888888888,1,1,1,1056,2,0,2
Stirling-Tools/Stirling-PDF,MERGED,87.6288888888889,1,17,17,750,2,1,1
Stirling-Tools/Stirling-PDF,MERGED,135.51055555555556,1,2,2,2085,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,8.02,8,3641,389,750,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,44.56666666666667,14,307,37,750,4,0,7
Stirling-Tools/Stirling-PDF,MERGED,1.3502777777777777,10,7496,941,750,2,0,2
Stirling-Tools/Stirling-PDF,MERGED,7.734166666666667,1,1,1,2131,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,9.207777777777778,3,4,4,2901,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,9.336666666666666,1,1,1,1720,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,9.391111111111112,1,1,1,4061,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,9.398333333333333,1,1,1,2307,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,9.692222222222222,8,11,11,5512,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,9.973333333333333,3,3,3,1973,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,11.9775,1,1,1,4011,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,69.52388888888889,13,562,8,797,3,0,2
Stirling-Tools/Stirling-PDF,CLOSED,23.751944444444444,1,8,8,750,2,1,1
Stirling-Tools/Stirling-PDF,MERGED,24.47,41,869,29,885,1,1,1
Stirling-Tools/Stirling-PDF,MERGED,3.681111111111111,1,1,1,2829,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,3.6844444444444444,2,2,2,3997,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,3.6886111111111113,1,1,1,7239,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,4.151388888888889,19,33,33,2853,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,3.6744444444444446,1,1,1,8583,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,3.6658333333333335,1,1,1,1713,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,79.28694444444444,16,1156,132,750,2,1,3
Stirling-Tools/Stirling-PDF,MERGED,26.629722222222224,44,90,113,1134,3,0,3
Stirling-Tools/Stirling-PDF,CLOSED,13.446666666666667,8,767,14,572,1,1,1
Stirling-Tools/Stirling-PDF,CLOSED,14.578611111111112,6,827,72,564,1,1,1
Stirling-Tools/Stirling-PDF,CLOSED,14.588611111111112,11,721,114,541,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,41.07416666666666,18,33,33,1420,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,45.80361111111111,1,16,13,1243,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,48.18638888888889,2,8,4,1026,3,2,3
Stirling-Tools/Stirling-PDF,MERGED,48.401666666666664,1,0,5,973,3,0,3
Stirling-Tools/Stirling-PDF,CLOSED,48.74,29,49,49,1587,3,1,2
Stirling-Tools/Stirling-PDF,MERGED,50.91694444444445,1,8,7,1211,3,1,3
Stirling-Tools/Stirling-PDF,MERGED,2.6858333333333335,8,286,317,111,2,0,1
Stirling-Tools/Stirling-PDF,CLOSED,9.213888888888889,37,2227,448,2164,1,2,3
Stirling-Tools/Stirling-PDF,CLOSED,82.58611111111111,12,689,2,782,2,1,1
Stirling-Tools/Stirling-PDF,MERGED,13.765277777777778,6,218,2,778,3,0,2
Stirling-Tools/Stirling-PDF,MERGED,11.461388888888889,8,338,6,781,3,0,1
Stirling-Tools/Stirling-PDF,MERGED,13.410277777777777,9,442,15,1179,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,16.630555555555556,7,217,3,1049,2,0,4
Stirling-Tools/Stirling-PDF,MERGED,13.99611111111111,5,109,7,779,3,0,2
Stirling-Tools/Stirling-PDF,MERGED,14.493055555555555,6,305,3,785,3,0,1
Stirling-Tools/Stirling-PDF,MERGED,15.00611111111111,7,194,4,2231,3,1,3
Stirling-Tools/Stirling-PDF,MERGED,134.62055555555557,7,645,7,833,3,0,7
Stirling-Tools/Stirling-PDF,MERGED,16.36861111111111,9,331,29,750,2,1,2
Stirling-Tools/Stirling-PDF,MERGED,70.58472222222223,21,242,123,1553,2,0,2
Stirling-Tools/Stirling-PDF,MERGED,4.773055555555556,32,1845,94,796,4,0,7
Stirling-Tools/Stirling-PDF,MERGED,17.79861111111111,1,13,0,750,4,0,4
Stirling-Tools/Stirling-PDF,MERGED,74.565,8,139,19,2089,2,2,2
Stirling-Tools/Stirling-PDF,CLOSED,23.009722222222223,5,29,11,750,1,1,1
Stirling-Tools/Stirling-PDF,MERGED,3.3825,10,7496,941,750,2,0,2
Stirling-Tools/Stirling-PDF,CLOSED,34.45666666666666,4,418,417,956,2,4,1
Stirling-Tools/Stirling-PDF,MERGED,1.1713888888888888,11,51,18,750,2,0,2
Stirling-Tools/Stirling-PDF,MERGED,40.68666666666667,6,246,126,750,3,1,3
Stirling-Tools/Stirling-PDF,MERGED,51.352222222222224,33,3407,18,750,3,1,9
Stirling-Tools/Stirling-PDF,MERGED,1.1011111111111112,8,255,22,750,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,28.171666666666667,16,584,77,750,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,137.55305555555555,1,1,1,6700,1,0,1
Stirling-Tools/Stirling-PDF,CLOSED,85.2161111111111,228,3678,1595,1967,1,3,2
Stirling-Tools/Stirling-PDF,MERGED,188.85833333333332,1,1,1,3586,2,0,2
Stirling-Tools/Stirling-PDF,MERGED,188.8175,2,2,2,1991,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,199.8022222222222,12,737,2,2415,2,1,6
Stirling-Tools/Stirling-PDF,MERGED,69.61888888888889,13,1108,2,37,3,0,4
Stirling-Tools/Stirling-PDF,MERGED,71.99888888888889,18,181,148,85,3,0,6
Stirling-Tools/Stirling-PDF,MERGED,3.7444444444444445,37,7868,1167,750,3,1,4
Stirling-Tools/Stirling-PDF,MERGED,92.2713888888889,4,50,117,112,3,0,2
Stirling-Tools/Stirling-PDF,MERGED,93.39722222222223,2,218,141,367,3,0,2
Stirling-Tools/Stirling-PDF,MERGED,247.7711111111111,42,256,38,885,2,1,2
Stirling-Tools/Stirling-PDF,MERGED,2.171388888888889,2,142,27,127,3,2,3
Stirling-Tools/Stirling-PDF,MERGED,396.6408333333333,3,167,79,1268,3,1,6
Stirling-Tools/Stirling-PDF,MERGED,119.45472222222222,116,2190,412,2047,3,1,4
Stirling-Tools/Stirling-PDF,MERGED,3.022777777777778,4,15,35,227,3,0,2
Stirling-Tools/Stirling-PDF,MERGED,46.76277777777778,13,595,15,44,5,0,6
Stirling-Tools/Stirling-PDF,MERGED,309.8047222222222,1,1,1,5464,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,19.6375,10,446,91,48,3,0,2
Stirling-Tools/Stirling-PDF,MERGED,68.38333333333334,14,626,20,825,5,2,15
Stirling-Tools/Stirling-PDF,MERGED,385.84805555555556,5,62,6,850,4,5,5
Stirling-Tools/Stirling-PDF,MERGED,260.1358333333333,16,1459,20,789,5,10,5
Stirling-Tools/Stirling-PDF,MERGED,72.59388888888888,8,229,83,0,3,1,2
Stirling-Tools/Stirling-PDF,MERGED,69.95222222222222,1,5,5,214,3,0,2
Stirling-Tools/Stirling-PDF,MERGED,167.2563888888889,27,2730,728,32,4,1,16
Stirling-Tools/Stirling-PDF,MERGED,163.20638888888888,21,1598,21,47,3,3,3
Stirling-Tools/Stirling-PDF,MERGED,1.0902777777777777,2,2,2,36,3,0,2
Stirling-Tools/Stirling-PDF,MERGED,48.52055555555555,9,463,3,55,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,455.9791666666667,1,36,36,27,3,1,1
Stirling-Tools/Stirling-PDF,MERGED,1.4205555555555556,1,5,3,183,3,1,2
Stirling-Tools/Stirling-PDF,MERGED,478.3016666666667,1,1,1,2679,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,659.7308333333333,1,1,1,2918,2,0,1
Stirling-Tools/Stirling-PDF,CLOSED,284.7011111111111,1,1,1,3444,1,1,1
Stirling-Tools/Stirling-PDF,MERGED,44.30222222222222,19,1852,102,222,3,0,5
Stirling-Tools/Stirling-PDF,MERGED,529.7547222222222,15,112,108,100,5,0,6
Stirling-Tools/Stirling-PDF,MERGED,272.9483333333333,28,115,112,1947,3,10,7
Stirling-Tools/Stirling-PDF,MERGED,507.1202777777778,1,114,114,750,3,1,1
Stirling-Tools/Stirling-PDF,MERGED,283.2102777777778,9,237,9,1933,2,1,6
Stirling-Tools/Stirling-PDF,MERGED,12.160555555555556,5,38,27,2419,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,549.7038888888889,1,1,1,810,3,1,3
Stirling-Tools/Stirling-PDF,MERGED,307.00194444444446,1,87,87,364,3,2,3
Stirling-Tools/Stirling-PDF,MERGED,554.6141666666666,10,25,29,1466,3,0,2
Stirling-Tools/Stirling-PDF,MERGED,550.7833333333333,1,1,1,750,2,2,1
Stirling-Tools/Stirling-PDF,MERGED,310.31166666666667,22,2307,425,1223,6,6,6
Stirling-Tools/Stirling-PDF,CLOSED,1.3230555555555557,10,111,16,1764,1,1,2
Stirling-Tools/Stirling-PDF,MERGED,2.9616666666666664,1,8,4,1022,2,0,3
Stirling-Tools/Stirling-PDF,MERGED,3.272777777777778,82,310,164,1320,2,0,2
Stirling-Tools/Stirling-PDF,CLOSED,8.470277777777778,0,0,0,54,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,13.644166666666667,40,42,3,885,2,1,2
Stirling-Tools/Stirling-PDF,MERGED,1.1975,1,1,1,750,3,0,3
Stirling-Tools/Stirling-PDF,MERGED,576.235,1,1,1,5911,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,576.2383333333333,1,1,1,3374,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,576.2438888888889,1,1,1,3662,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,576.2541666666667,3,3,3,4326,2,0,1
Stirling-Tools/Stirling-PDF,MERGED,581.1411111111111,4,10,10,4945,2,0,1
Stirling-Tools/Stirling-PDF,CLOSED,9.667222222222222,41,43,3,885,1,1,1
Stirling-Tools/Stirling-PDF,MERGED,9.802222222222222,11,33,43,54,2,0,1
Stirling-Tools/Stirling-PDF,CLOSED,70.00277777777778,2,51,3,1497,3,2,4
Stirling-Tools/Stirling-PDF,MERGED,468.4222222222222,36,2447,61,750,5,0,9
Stirling-Tools/Stirling-PDF,MERGED,309.2561111111111,61,2220,1186,12,3,0,14
Stirling-Tools/Stirling-PDF,MERGED,43.3175,37,494,340,302,3,2,6
Stirling-Tools/Stirling-PDF,MERGED,48.22277777777778,102,303,825,56,3,1,2
Stirling-Tools/Stirling-PDF,MERGED,24.408055555555556,5,18,2,296,2,2,2
Stirling-Tools/Stirling-PDF,MERGED,48.67027777777778,10,327,71,750,3,0,8
Stirling-Tools/Stirling-PDF,MERGED,30.89611111111111,3,6,4,63,3,1,2
Stirling-Tools/Stirling-PDF,MERGED,512.8530555555556,15,3629,64357,1234,4,3,5
Stirling-Tools/Stirling-PDF,MERGED,125.97027777777778,1,1,0,393,4,0,4
Stirling-Tools/Stirling-PDF,MERGED,60.157222222222224,9,534,2,750,4,0,6
Stirling-Tools/Stirling-PDF,CLOSED,63.4275,13,897,13,750,1,0,1
Stirling-Tools/Stirling-PDF,MERGED,39.346111111111114,1,1,1,3092,1,0,1
