repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
TheAlgorithms/Python,CLOSED,1.2519444444444445,1,183,0,1367,1,0,5
TheAlgorithms/Python,MERGED,2.4925,1,13,0,1370,2,0,1
TheAlgorithms/Python,MERGED,5.987777777777778,1,2,2,119,1,0,1
TheAlgorithms/Python,MERGED,58.3725,1,14,0,1191,3,0,2
TheAlgorithms/Python,CLOSED,185.31416666666667,1,102,6,1962,3,2,3
TheAlgorithms/Python,MERGED,24.00138888888889,1,32,12,1139,3,0,5
TheAlgorithms/Python,MERGED,40.179722222222225,16,33,32,1143,3,0,2
TheAlgorithms/Python,MERGED,9.25611111111111,4,5,5,5191,1,0,1
TheAlgorithms/Python,MERGED,32.35611111111111,1,3,1,409,3,0,2
TheAlgorithms/Python,CLOSED,4.622222222222222,1,1,0,1115,4,1,1
TheAlgorithms/Python,MERGED,18.47222222222222,3,10,8,120,3,1,2
TheAlgorithms/Python,MERGED,7.683055555555556,1,14,7,1548,2,4,2
TheAlgorithms/Python,MERGED,16.328611111111112,1,31,31,1105,2,0,1
TheAlgorithms/Python,MERGED,6.530555555555556,1,1,1,3084,1,0,1
TheAlgorithms/Python,CLOSED,145.48,1,31,0,1320,2,1,2
TheAlgorithms/Python,CLOSED,20.816666666666666,1,58,25,1834,2,3,8
TheAlgorithms/Python,MERGED,18.34027777777778,1,1,1,119,1,1,2
TheAlgorithms/Python,CLOSED,69.82972222222222,1,472,0,417,1,0,1
TheAlgorithms/Python,CLOSED,479.28055555555557,1,6,4,1230,5,1,3
TheAlgorithms/Python,MERGED,168.81083333333333,1,2,2,175,1,0,2
TheAlgorithms/Python,MERGED,472.97527777777776,1,1,6,531,3,0,2
TheAlgorithms/Python,MERGED,657.8013888888889,1,97,0,2030,4,8,2
TheAlgorithms/Python,MERGED,546.7761111111112,1,14,2,1135,3,0,2
TheAlgorithms/Python,CLOSED,473.14694444444444,1,58,0,1332,1,0,1
TheAlgorithms/Python,MERGED,27.4675,2,3,2,119,2,1,2
TheAlgorithms/Python,MERGED,697.0219444444444,1,12,10,1209,4,8,3
TheAlgorithms/Python,MERGED,806.1872222222222,1,52,0,1371,4,3,3
TheAlgorithms/Python,CLOSED,831.9702777777778,1,1,0,1115,4,0,2
TheAlgorithms/Python,CLOSED,2.778611111111111,1,12,0,1388,1,1,1
TheAlgorithms/Python,MERGED,169.56222222222223,1,1,1,119,2,1,3
TheAlgorithms/Python,MERGED,1030.5111111111112,1,2,2,1252,4,1,3
TheAlgorithms/Python,MERGED,12.042777777777777,5,97,6,1128,2,5,3
TheAlgorithms/Python,CLOSED,2012.3083333333334,1,887,716,1181,2,0,6
TheAlgorithms/Python,MERGED,13.489444444444445,25,69,70,1165,4,0,8
TheAlgorithms/Python,MERGED,84.28166666666667,2,38,1,1115,2,2,1
TheAlgorithms/Python,MERGED,1351.5305555555556,1,23,45,470,3,0,1
TheAlgorithms/Python,CLOSED,186.14,1,14,4,1850,2,1,1
TheAlgorithms/Python,CLOSED,168.74277777777777,28,788,720,8082,2,0,1
TheAlgorithms/Python,CLOSED,1400.1075,1,20,77,324,3,1,1
TheAlgorithms/Python,CLOSED,1942.3077777777778,1,111,38,1128,3,1,1
TheAlgorithms/Python,CLOSED,672.8097222222223,1,53,41,2070,2,0,1
TheAlgorithms/Python,MERGED,1970.371388888889,1,7,7,1115,2,0,1
TheAlgorithms/Python,MERGED,939.1627777777778,1,1,1,120,1,0,1
TheAlgorithms/Python,CLOSED,115.42611111111111,2,342,0,1115,1,1,1
TheAlgorithms/Python,MERGED,13.278055555555556,2,6,4,1335,3,1,3
TheAlgorithms/Python,MERGED,2164.302222222222,2,61,0,1197,2,0,4
TheAlgorithms/Python,CLOSED,42.97555555555556,1,23,0,1115,2,0,1
TheAlgorithms/Python,MERGED,167.94972222222222,1,33,16,1115,2,0,1
TheAlgorithms/Python,MERGED,2215.73,1,27,14,1115,2,0,1
TheAlgorithms/Python,MERGED,171.02388888888888,2,3,2,116,1,0,1
TheAlgorithms/Python,MERGED,98.79666666666667,1,23,10,1192,2,0,1
TheAlgorithms/Python,CLOSED,1.565,1,507,0,1115,1,0,1
TheAlgorithms/Python,MERGED,206.61083333333335,1,30,15,1138,2,0,1
TheAlgorithms/Python,MERGED,12.125833333333333,40,971,654,1206,3,1,3
TheAlgorithms/Python,CLOSED,21.365555555555556,2,562,0,1161,1,0,1
TheAlgorithms/Python,MERGED,22.894444444444446,1,73,0,1238,3,0,3
TheAlgorithms/Python,MERGED,1.0522222222222222,18,15,10,1492,2,0,1
TheAlgorithms/Python,MERGED,6.120555555555556,1,67,0,1274,3,0,2
TheAlgorithms/Python,MERGED,20.496666666666666,1,16,4,1115,3,1,2
TheAlgorithms/Python,CLOSED,100.14555555555556,1,86,0,333,2,1,2
TheAlgorithms/Python,CLOSED,71.28861111111111,1,185,0,1115,1,0,9
TheAlgorithms/Python,MERGED,189.10861111111112,1,9,6,1265,3,1,2
TheAlgorithms/Python,MERGED,9.140555555555556,4,6,5,3554,1,0,1
TheAlgorithms/Python,MERGED,801.4875,1,26,4,1365,3,2,5
TheAlgorithms/Python,MERGED,79.20916666666666,1,9,7,1138,2,0,1
TheAlgorithms/Python,MERGED,802.1122222222223,1,22,0,1115,3,0,2
TheAlgorithms/Python,MERGED,574.41,1,54,0,1197,3,0,2
TheAlgorithms/Python,MERGED,655.9316666666666,2,164,0,1115,3,2,13
TheAlgorithms/Python,MERGED,636.5091666666667,2,117,0,1115,2,0,1
TheAlgorithms/Python,MERGED,622.8911111111111,2,48,0,1115,2,0,6
TheAlgorithms/Python,MERGED,647.7858333333334,2,65,0,1115,3,0,2
TheAlgorithms/Python,MERGED,236.8825,1,40,0,1115,2,0,1
TheAlgorithms/Python,MERGED,3.241388888888889,1,1,1,65,1,0,1
TheAlgorithms/Python,MERGED,260.32,2,63,0,1115,3,1,2
TheAlgorithms/Python,MERGED,194.63111111111112,1,36,0,171,2,3,2
TheAlgorithms/Python,MERGED,225.14444444444445,2,89,0,1158,2,0,8
TheAlgorithms/Python,MERGED,225.22555555555556,1,37,0,1374,2,1,1
TheAlgorithms/Python,MERGED,101.72777777777777,1,3,3,1115,3,0,1
TheAlgorithms/Python,MERGED,10.9675,1,21,6,1373,2,2,2
TheAlgorithms/Python,MERGED,1245.5758333333333,1,201,0,2862,2,0,4
TheAlgorithms/Python,MERGED,32.29333333333334,1,29,33,1194,2,1,1
TheAlgorithms/Python,MERGED,10.942777777777778,1,36,3,1225,2,1,1
TheAlgorithms/Python,MERGED,8.521944444444445,1,3,3,1368,2,0,1
TheAlgorithms/Python,CLOSED,4418.963055555556,2,57,0,1115,1,0,5
TheAlgorithms/Python,MERGED,1.1477777777777778,1,2,2,124,1,0,1
TheAlgorithms/Python,MERGED,14.902222222222223,15,26,28,122,1,0,1
TheAlgorithms/Python,CLOSED,100.60027777777778,1,5,0,1115,3,0,1
TheAlgorithms/Python,MERGED,13.903888888888888,2,2,1,64,1,0,1
TheAlgorithms/Python,MERGED,67.93944444444445,1,2,2,1115,2,1,1
TheAlgorithms/Python,MERGED,69.6588888888889,1,14,0,1132,2,0,1
TheAlgorithms/Python,MERGED,5.3525,2,87,0,1474,2,0,1
TheAlgorithms/Python,MERGED,45.696666666666665,1,92,0,1115,2,0,1
TheAlgorithms/Python,MERGED,91.40305555555555,1,13,6,561,4,1,3
TheAlgorithms/Python,CLOSED,1529.1233333333332,1,45,29,1115,3,0,2
TheAlgorithms/Python,CLOSED,1541.39,1,45,29,468,3,0,2
TheAlgorithms/Python,MERGED,85.20277777777778,11,21,17,117,2,2,2
