repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
abi/screenshot-to-code,CLOSED,6929.172777777778,1,1,1,29,2,0,1
abi/screenshot-to-code,CLOSED,1994.5366666666666,48,1395,1869,1311,2,2,1
abi/screenshot-to-code,MERGED,24.3975,1,3,0,0,2,1,1
abi/screenshot-to-code,MERGED,168.02027777777778,5,32,5,0,2,1,2
abi/screenshot-to-code,CLOSED,272.3383333333333,1,13,7,270,2,0,1
abi/screenshot-to-code,MERGED,95.06527777777778,3,19,11,93,3,2,1
abi/screenshot-to-code,MERGED,56.110277777777775,6,124,61,59,2,4,5
abi/screenshot-to-code,MERGED,45.145833333333336,1,51,7,390,2,2,2
abi/screenshot-to-code,MERGED,18.344444444444445,3,21,6,0,3,2,2
abi/screenshot-to-code,MERGED,7.794722222222222,4,45,19,245,3,5,3
abi/screenshot-to-code,MERGED,225.00083333333333,6,57,9,154,5,6,2
abi/screenshot-to-code,MERGED,25.455,5,57,35,506,3,5,1
abi/screenshot-to-code,CLOSED,244.34583333333333,1,3,4,0,4,4,2
abi/screenshot-to-code,MERGED,80.62861111111111,7,84,3,272,5,3,4
