repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
airbnb/javascript,MERGED,1.2902777777777779,1,3,0,293,4,2,1
airbnb/javascript,CLOSED,4.993055555555555,1,1,1,21,3,0,1
airbnb/javascript,CLOSED,22.267222222222223,2,43,155,370,2,2,1
airbnb/javascript,CLOSED,2.181388888888889,1,5,2,69,2,0,1
airbnb/javascript,CLOSED,2.2419444444444445,1,32,0,1437,2,0,6
airbnb/javascript,MERGED,50.82277777777778,1,2,2,191,4,7,3
airbnb/javascript,CLOSED,1260.393611111111,1,4,4,193,2,0,1
airbnb/javascript,CLOSED,29.68111111111111,1,576,393,45,2,0,3
airbnb/javascript,MERGED,33.525555555555556,2,14,2,418,2,0,1
airbnb/javascript,MERGED,8.880833333333333,1,1,0,0,2,0,1
airbnb/javascript,MERGED,91.31972222222223,1,0,4,390,2,3,1
airbnb/javascript,CLOSED,652.6772222222222,1,509,400,0,2,0,1
airbnb/javascript,CLOSED,1.6627777777777777,1,2,2,56,2,0,1
airbnb/javascript,CLOSED,1.3372222222222223,1,2,7,236,2,1,1
airbnb/javascript,CLOSED,2522.1583333333333,1,1,1,325,3,1,2
airbnb/javascript,CLOSED,8.935277777777777,1,1,0,63,2,0,1
airbnb/javascript,CLOSED,23.986944444444443,1,22,0,358,2,0,1
airbnb/javascript,CLOSED,1.3216666666666668,1,2,0,22,3,0,1
airbnb/javascript,CLOSED,7.531944444444444,1,2,0,12,2,0,1
airbnb/javascript,CLOSED,5.712777777777778,1,1,0,71,2,0,1
airbnb/javascript,MERGED,28.954444444444444,1,1,1,88,2,0,2
airbnb/javascript,CLOSED,51.908055555555556,2,235,0,135,2,1,1
airbnb/javascript,MERGED,8.471944444444444,5,17,7,113,2,0,1
airbnb/javascript,CLOSED,3.5005555555555556,3,3,0,0,2,0,1
airbnb/javascript,CLOSED,3.522222222222222,3,6,0,0,2,0,1
airbnb/javascript,CLOSED,7.456388888888889,1,1,1,0,2,0,1
airbnb/javascript,CLOSED,3.11,1,1,0,11,2,0,1
airbnb/javascript,CLOSED,4.266388888888889,1,1,0,84,2,0,1
airbnb/javascript,CLOSED,7.045833333333333,1,1,0,0,2,0,1
airbnb/javascript,CLOSED,1.0997222222222223,1,1,1,0,2,0,1
airbnb/javascript,CLOSED,1.0461111111111112,1,1,1,0,2,0,1
airbnb/javascript,CLOSED,11.353055555555555,1,1,1,3,2,0,1
airbnb/javascript,CLOSED,100.22805555555556,1,16,0,0,2,0,1
airbnb/javascript,MERGED,5149.959444444445,4,23,17,74,3,0,6
airbnb/javascript,CLOSED,21.25777777777778,1,1,1,274,2,0,1
airbnb/javascript,CLOSED,16.609444444444446,1,16,11,762,2,3,4
airbnb/javascript,MERGED,562.0063888888889,7,35,28,1046,4,20,1
airbnb/javascript,CLOSED,4.388888888888889,1,1,1,50,2,2,1
airbnb/javascript,CLOSED,2.6475,1,1,1,0,2,2,1
airbnb/javascript,CLOSED,7.621666666666667,2,1,3,0,2,0,1
airbnb/javascript,CLOSED,122.455,1,1,1,617,2,4,3
airbnb/javascript,CLOSED,14.08388888888889,1,2,2,28,2,0,1
airbnb/javascript,MERGED,8590.67,1,1,1,171,4,7,2
airbnb/javascript,CLOSED,4489.299722222222,1,2,1,68,3,2,5
airbnb/javascript,CLOSED,1.2361111111111112,1,1,1,63,2,0,1
airbnb/javascript,CLOSED,6112.653611111111,1,1,0,742,2,6,1
airbnb/javascript,CLOSED,24.24277777777778,0,0,0,0,2,1,3
airbnb/javascript,CLOSED,1.8208333333333333,1,1,1,172,2,0,6
airbnb/javascript,CLOSED,213.6561111111111,5,109,2,0,3,4,8
airbnb/javascript,MERGED,27.18166666666667,1,4,1,140,2,0,2
airbnb/javascript,MERGED,14.446666666666667,1,6,2,48,2,0,4
airbnb/javascript,MERGED,10.493611111111111,1,1,1,131,2,0,1
airbnb/javascript,MERGED,79.73555555555555,4,14,14,0,2,0,3
airbnb/javascript,MERGED,21.451666666666668,1,27,0,140,2,4,2
airbnb/javascript,MERGED,4.995,1,1,1,182,2,0,1
airbnb/javascript,CLOSED,6.0225,1,1,1,48,2,0,1
airbnb/javascript,CLOSED,10.984444444444444,1,1,1,131,3,0,3
airbnb/javascript,MERGED,249.5702777777778,1,50,0,96,3,1,7
airbnb/javascript,MERGED,12185.166388888889,1,1,0,76,3,0,2
airbnb/javascript,MERGED,1.8497222222222223,1,1,1,111,2,0,1
airbnb/javascript,MERGED,11.836388888888889,1,1,1,88,2,0,1
airbnb/javascript,MERGED,36.125,6,50,12,439,2,4,1
airbnb/javascript,CLOSED,6.020555555555555,2,16,0,16,3,2,1
airbnb/javascript,MERGED,20.498333333333335,1,2,0,348,4,1,10
