repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
angular/angular,CLOSED,13.504722222222222,16,176,175,893,3,1,1
angular/angular,CLOSED,15.445833333333333,2,0,2,41,3,1,1
angular/angular,CLOSED,15.681944444444444,1,7,0,12,3,1,4
angular/angular,CLOSED,19.21611111111111,24,25,25,1186,2,1,1
angular/angular,CLOSED,19.241666666666667,23,24,24,1186,2,1,1
angular/angular,CLOSED,19.840833333333332,7,6,24,903,4,1,2
angular/angular,CLOSED,34.049166666666665,3,44,3,60,4,2,5
angular/angular,CLOSED,36.12111111111111,53,4282,4602,80,3,2,1
angular/angular,CLOSED,10.329722222222221,2,29,46,310,3,1,1
angular/angular,CLOSED,12.1975,23,5570,5383,688,2,2,1
angular/angular,CLOSED,27.191111111111113,2,77,2,18,3,2,1
angular/angular,CLOSED,35.928333333333335,1,1,1,938,2,1,1
angular/angular,CLOSED,40.01,2,41,0,808,5,4,17
angular/angular,CLOSED,40.32416666666666,1,25,0,808,3,2,6
angular/angular,CLOSED,50.76722222222222,2,39,1,941,4,2,20
angular/angular,CLOSED,51.29805555555556,1,5,5,1133,3,1,5
angular/angular,CLOSED,60.17166666666667,2,56,24,269,3,1,1
angular/angular,CLOSED,61.757222222222225,24,25,25,1479,2,1,1
angular/angular,CLOSED,61.77472222222222,23,24,24,1479,2,1,1
angular/angular,CLOSED,61.84111111111111,4,379,143,1223,2,1,1
angular/angular,CLOSED,73.81722222222223,6,161,44,434,4,1,5
angular/angular,CLOSED,3.2583333333333333,11,21,34,65,3,1,1
angular/angular,CLOSED,112.60305555555556,13,85,282,827,5,2,17
angular/angular,CLOSED,84.3725,6,19,9,129,3,1,4
angular/angular,CLOSED,9.709166666666667,4,214,213,2471,3,1,1
angular/angular,CLOSED,17.845833333333335,1,40,0,12,4,2,7
angular/angular,CLOSED,16.364444444444445,15,107,107,404,5,3,3
angular/angular,CLOSED,3.52,47,496,489,80,3,1,2
angular/angular,CLOSED,2.1486111111111112,2,11,16,1003,4,1,2
angular/angular,CLOSED,2.113611111111111,1,2,3,810,3,1,1
angular/angular,CLOSED,8.5725,15,177,183,82,4,2,2
angular/angular,CLOSED,9.734444444444444,4,174,174,753,3,1,1
angular/angular,CLOSED,16.894444444444446,2,16,0,96,3,1,6
angular/angular,CLOSED,1.1777777777777778,3,24,24,1793,3,2,1
angular/angular,CLOSED,23.40111111111111,2,437,3,1204,3,3,1
angular/angular,CLOSED,18.95916666666667,1,1,1,35,4,1,2
angular/angular,CLOSED,2.723888888888889,3,24,24,1255,3,1,1
angular/angular,CLOSED,20.188055555555554,1,2,1,1099,4,1,2
angular/angular,CLOSED,152.8775,4,11,10,808,3,6,6
angular/angular,CLOSED,23.47861111111111,2,4,0,214,4,1,1
angular/angular,CLOSED,2.536111111111111,2,6,1,34,3,1,2
angular/angular,CLOSED,2.6258333333333335,2,37,132,1088,3,1,1
angular/angular,CLOSED,3.285833333333333,2,12,8,2283,3,1,1
angular/angular,CLOSED,2.111111111111111,1,7,9,610,4,1,2
angular/angular,CLOSED,9.544166666666667,1,1,1,1570,3,1,1
angular/angular,CLOSED,10.734444444444444,3,15,6,724,3,1,1
angular/angular,CLOSED,12.654722222222222,1,1,1,1570,5,2,3
angular/angular,CLOSED,37.695,2,69,2,1352,5,1,3
angular/angular,CLOSED,20.055,2,299,54,892,3,1,1
angular/angular,CLOSED,1.1347222222222222,2,5,5,74,4,1,2
angular/angular,CLOSED,1.1725,3,3,1,34,3,1,1
angular/angular,CLOSED,1.6713888888888888,21,11,126,22,4,1,5
angular/angular,CLOSED,27.40361111111111,4,18,48,811,3,2,3
angular/angular,CLOSED,3.468611111111111,9,52,59,319,4,1,2
angular/angular,CLOSED,4.971111111111111,1,6,5,893,3,2,1
angular/angular,CLOSED,12.072222222222223,4,28,28,525,3,2,1
angular/angular,CLOSED,36.49194444444444,2,11,8,2228,4,3,3
angular/angular,CLOSED,36.290277777777774,6,405,127,2024,3,1,2
angular/angular,CLOSED,30.719166666666666,2,12,8,2283,3,1,2
angular/angular,CLOSED,34.614444444444445,1,220,210,85,3,2,4
angular/angular,CLOSED,13.099722222222223,3,53,13,109,3,2,1
angular/angular,CLOSED,14.068888888888889,14,123,9,82,3,1,2
angular/angular,CLOSED,21.38361111111111,2,94,1,1219,3,2,1
angular/angular,CLOSED,67.43944444444445,2,14,7,232,3,5,1
angular/angular,CLOSED,2.1319444444444446,7,10,16,808,4,3,1
angular/angular,CLOSED,50.179722222222225,1,1,2,91,4,2,2
angular/angular,CLOSED,29.913611111111113,13,46,47,808,3,1,8
angular/angular,CLOSED,4.1755555555555555,1,0,11,103,3,1,1
angular/angular,CLOSED,8.75388888888889,20,4663,5641,688,4,3,2
