repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
animate-css/animate.css,MERGED,2967.630833333333,1,1,1,10,2,0,1
animate-css/animate.css,CLOSED,3256.9669444444444,1,3006,1145,189,3,0,1
animate-css/animate.css,MERGED,5929.875,1,1,1,0,3,0,2
animate-css/animate.css,CLOSED,6207.036944444444,1,2,2,183,4,0,1
animate-css/animate.css,CLOSED,74.98472222222222,1,2,0,0,3,0,1
animate-css/animate.css,CLOSED,13663.52638888889,1,1,1,44,4,1,1
animate-css/animate.css,MERGED,6.078611111111111,1,3,3,2399,1,0,1
animate-css/animate.css,MERGED,867.7077777777778,1,3,3,1864,1,0,1
animate-css/animate.css,MERGED,1027.628888888889,2,5,5,2536,1,0,1
animate-css/animate.css,MERGED,1723.6708333333333,2,12,12,3404,1,0,1
