repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
ansible/ansible,MERGED,11.877222222222223,2,4,1,464,3,0,2
ansible/ansible,MERGED,8.093333333333334,1,15,13,323,4,0,2
ansible/ansible,MERGED,91.99277777777777,4,10,8,288,4,0,2
ansible/ansible,MERGED,2.5044444444444443,4,30,127,176,4,0,3
ansible/ansible,MERGED,29.676388888888887,3,24,4,55,6,5,8
ansible/ansible,MERGED,15.573055555555555,3,0,1008,327,3,1,1
ansible/ansible,MERGED,143.8647222222222,1,1,1,140,4,4,1
ansible/ansible,MERGED,145.6063888888889,1,1,1,97,4,0,1
ansible/ansible,MERGED,139.79972222222221,4,83,27,671,3,2,1
ansible/ansible,MERGED,139.80138888888888,4,83,27,671,3,0,1
ansible/ansible,MERGED,139.82083333333333,4,83,27,671,3,2,1
ansible/ansible,MERGED,139.82416666666666,5,83,28,671,3,1,1
ansible/ansible,MERGED,146.55,4,41,3,605,4,0,1
ansible/ansible,MERGED,4.6338888888888885,11,196,184,93,3,0,1
ansible/ansible,MERGED,23.506666666666668,4,41,3,645,3,4,1
ansible/ansible,MERGED,283.79555555555555,9,43,13,95,6,6,3
ansible/ansible,MERGED,328.24888888888887,3,11,1,332,5,4,1
ansible/ansible,MERGED,49.468333333333334,2,3,1,9147,7,4,1
ansible/ansible,CLOSED,185.1613888888889,2,14,0,421,7,10,3
ansible/ansible,MERGED,20.287222222222223,6,5,9,306,5,1,2
ansible/ansible,MERGED,308.5102777777778,1,12,2,215,5,0,3
ansible/ansible,MERGED,167.11166666666668,12,153,336,100,4,0,2
ansible/ansible,MERGED,12.856111111111112,4,48,4,239,4,2,1
ansible/ansible,CLOSED,91.88111111111111,1,1,1,239,6,1,8
ansible/ansible,MERGED,152.78805555555556,2,3,0,946,5,0,7
ansible/ansible,MERGED,91.25111111111111,2,0,3,102,3,2,1
ansible/ansible,MERGED,4.788888888888889,6,4,33,103,4,1,1
ansible/ansible,MERGED,5.186388888888889,5,5,48,128,4,0,1
ansible/ansible,MERGED,94.82055555555556,3,2,40,301,3,0,1
ansible/ansible,MERGED,656.4397222222223,5,23,16,55,6,9,4
ansible/ansible,MERGED,292.4925,9,26,4,347,3,1,1
ansible/ansible,MERGED,3.1286111111111112,2,4,1,258,3,0,1
ansible/ansible,MERGED,195.18444444444444,3,74,6,717,6,4,3
ansible/ansible,MERGED,486.5675,22,439,21,935,5,1,20
ansible/ansible,MERGED,160.25916666666666,4,40,0,369,4,0,2
ansible/ansible,MERGED,220.5847222222222,6,184,45,246,6,2,31
ansible/ansible,MERGED,1.0827777777777778,3,5,28,58,3,0,1
ansible/ansible,MERGED,187.15416666666667,1,18,27,208,3,0,1
ansible/ansible,MERGED,931.5530555555556,3,5,1,2762,3,1,4
ansible/ansible,CLOSED,193.07722222222222,2,2,2,78,5,2,1
ansible/ansible,MERGED,41.28777777777778,7,2,42,60,4,0,1
ansible/ansible,MERGED,341.9527777777778,18,121,320,54,6,4,4
ansible/ansible,MERGED,129.5077777777778,1,1,1,144,5,2,1
ansible/ansible,MERGED,333.0675,3,38,2,286,6,3,9
ansible/ansible,MERGED,340.21444444444444,3,25,1,253,5,2,5
ansible/ansible,MERGED,1.1191666666666666,3,20,2,148,3,0,1
ansible/ansible,MERGED,24.121666666666666,4,21,1,55,3,0,1
ansible/ansible,CLOSED,42.04694444444444,3,156,1,1635,5,4,2
ansible/ansible,MERGED,1.2538888888888888,2,12,2,178,3,0,1
ansible/ansible,CLOSED,17.22,3,66,37,582,4,3,2
ansible/ansible,MERGED,42.88361111111111,1,19,22,157,4,2,2
ansible/ansible,MERGED,45.97277777777778,3,25,2,93,4,2,1
ansible/ansible,MERGED,20.639166666666668,3,25,2,54,3,0,1
ansible/ansible,MERGED,24.925833333333333,7,21,27,335,3,1,1
ansible/ansible,MERGED,373.90444444444444,1,30,27,43,4,1,3
ansible/ansible,MERGED,165.4286111111111,3,17,3,522,3,0,1
ansible/ansible,CLOSED,1056.4552777777778,1,4,1,547,3,3,1
ansible/ansible,MERGED,583.4933333333333,8,149,22,862,6,5,2
ansible/ansible,CLOSED,1100.6652777777779,1,10,0,1902,3,2,1
ansible/ansible,MERGED,358.41777777777776,5,31,6,59,4,0,2
ansible/ansible,MERGED,336.02194444444444,2,11,4,32,5,2,3
ansible/ansible,MERGED,118.09194444444445,4,38,7,305,6,2,10
ansible/ansible,MERGED,11.730277777777777,9,31,3,55,4,1,2
ansible/ansible,MERGED,100.60527777777777,3,36,3,208,4,2,1
ansible/ansible,MERGED,293.90305555555557,3,33,6,136,4,4,1
ansible/ansible,MERGED,216.78944444444446,5,6,0,142,3,2,1
ansible/ansible,MERGED,1.0008333333333332,1,2,2,29,4,2,1
ansible/ansible,MERGED,121.66972222222222,8,31,26,260,3,2,2
ansible/ansible,MERGED,2.877222222222222,9,2,1,188,3,0,1
ansible/ansible,CLOSED,704.3677777777777,3,9,11,50,5,3,1
ansible/ansible,MERGED,981.9447222222223,1,125,0,220,4,0,2
ansible/ansible,MERGED,238.83805555555554,2,9,1,319,4,1,1
ansible/ansible,MERGED,43.3125,3,15,4,31,4,0,12
ansible/ansible,MERGED,34.925555555555555,1,1,1,115,5,5,2
