repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
ant-design/ant-design,MERGED,1.27,1,3,7,1115,2,11,2
ant-design/ant-design,MERGED,4.371666666666667,58,347,314,1171,2,11,2
ant-design/ant-design,CLOSED,11.300833333333333,7,5983,4,793,2,12,4
ant-design/ant-design,MERGED,15.91638888888889,1,5,2,1169,2,11,3
ant-design/ant-design,MERGED,1.3388888888888888,1,1,1,1527,1,12,1
ant-design/ant-design,MERGED,2.0025,1,1,1,6765,1,12,1
ant-design/ant-design,MERGED,46.929722222222225,4,9,12,835,2,11,2
ant-design/ant-design,MERGED,47.48416666666667,1,2,2,807,2,11,2
ant-design/ant-design,MERGED,5.840833333333333,1,1,1,653,2,12,2
ant-design/ant-design,MERGED,10.636944444444444,3,33,22,1141,2,11,2
ant-design/ant-design,MERGED,3.1630555555555557,39,91,93,653,2,11,2
ant-design/ant-design,MERGED,3.0144444444444445,1,1,1,356,2,11,2
ant-design/ant-design,MERGED,1.2833333333333334,1,2,2,554,2,11,2
ant-design/ant-design,MERGED,3.8202777777777777,1,1,1,2949,1,11,2
ant-design/ant-design,MERGED,7.563055555555556,7,41,78,746,2,14,4
ant-design/ant-design,MERGED,2.207222222222222,3,54,74,653,3,12,3
ant-design/ant-design,CLOSED,13.204444444444444,1,8,8,1351,4,13,2
ant-design/ant-design,MERGED,14.2325,8,200,137,480,3,11,3
ant-design/ant-design,MERGED,23.225555555555555,7,41,78,1151,2,12,3
ant-design/ant-design,CLOSED,2.2022222222222223,1,54,13,1142,2,10,2
ant-design/ant-design,MERGED,1.7922222222222222,9,5507,3,1077,2,19,2
ant-design/ant-design,MERGED,2.4611111111111112,1,27,20,1107,2,10,1
ant-design/ant-design,MERGED,1.1194444444444445,13,59,58,653,2,11,2
ant-design/ant-design,CLOSED,2.2958333333333334,3,2,3,653,1,12,4
ant-design/ant-design,MERGED,2.2569444444444446,11,10,16,653,2,11,3
ant-design/ant-design,MERGED,1.0822222222222222,5,5,6,653,2,11,3
ant-design/ant-design,MERGED,8.086666666666666,3,5,7,332,2,11,2
ant-design/ant-design,MERGED,1.5355555555555556,2,6,3,514,2,13,3
ant-design/ant-design,MERGED,72.2311111111111,213,801,992,1135,3,13,5
ant-design/ant-design,CLOSED,11.234166666666667,1,25,0,938,2,8,4
ant-design/ant-design,MERGED,66.14722222222223,10,918,84,1213,8,13,15
ant-design/ant-design,MERGED,89.59138888888889,8,307,16,1020,5,9,2
ant-design/ant-design,MERGED,284.2102777777778,1,1,0,604,2,10,2
ant-design/ant-design,MERGED,2.2930555555555556,3,13,13,300,2,9,2
ant-design/ant-design,MERGED,70.65194444444444,81,26201,25838,884,4,15,23
ant-design/ant-design,MERGED,4.5175,1,4,4,247,4,8,4
ant-design/ant-design,MERGED,5.071111111111111,4,40,19,1091,2,11,4
ant-design/ant-design,MERGED,24.03388888888889,5,41,6,247,4,10,4
ant-design/ant-design,MERGED,1.3180555555555555,1,10,10,1091,2,11,3
ant-design/ant-design,CLOSED,19.447777777777777,2,7,2,247,4,13,2
ant-design/ant-design,MERGED,104.06111111111112,2,5,11,289,2,8,2
ant-design/ant-design,CLOSED,44.72,13,352,39,1020,9,16,5
ant-design/ant-design,CLOSED,11.114722222222222,2,0,2,650,2,10,1
