repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
anuraghazra/github-readme-stats,MERGED,30.704444444444444,2,23,0,0,2,3,3
anuraghazra/github-readme-stats,MERGED,35.285833333333336,2,25,2,226,2,2,3
anuraghazra/github-readme-stats,CLOSED,60.259166666666665,4,46,27,114,2,1,1
anuraghazra/github-readme-stats,MERGED,6.651388888888889,1,5,5,0,2,2,2
anuraghazra/github-readme-stats,MERGED,16.0725,1,6,6,68,2,2,2
anuraghazra/github-readme-stats,MERGED,63.31722222222222,1,3,0,88,1,1,1
anuraghazra/github-readme-stats,CLOSED,2.7416666666666667,5,1099,0,120,2,1,1
anuraghazra/github-readme-stats,MERGED,89.63416666666667,2,166,166,2581,1,1,1
anuraghazra/github-readme-stats,MERGED,89.70277777777778,2,57,33,3160,1,1,1
anuraghazra/github-readme-stats,MERGED,90.94666666666667,2,2,2,1910,1,1,1
anuraghazra/github-readme-stats,MERGED,92.68055555555556,2,24,24,7362,1,1,1
anuraghazra/github-readme-stats,MERGED,65.02194444444444,8,157,303,221,2,3,2
anuraghazra/github-readme-stats,CLOSED,9.405,2,4,3,0,2,1,1
anuraghazra/github-readme-stats,MERGED,300.4452777777778,4,48,17,152,2,2,2
anuraghazra/github-readme-stats,MERGED,93.50611111111111,2,2,2,1802,1,1,1
anuraghazra/github-readme-stats,MERGED,93.48277777777778,2,165,267,7571,1,1,1
anuraghazra/github-readme-stats,MERGED,93.38472222222222,2,10,10,5584,1,1,1
anuraghazra/github-readme-stats,MERGED,93.35861111111112,2,26,8,5192,1,1,1
anuraghazra/github-readme-stats,MERGED,93.46416666666667,2,8,8,3033,1,1,1
anuraghazra/github-readme-stats,MERGED,91.2063888888889,2,45,1,91,2,2,2
anuraghazra/github-readme-stats,MERGED,122.21555555555555,3,33,9,995,3,3,3
anuraghazra/github-readme-stats,MERGED,25.524722222222223,2,40,41,3202,1,1,1
anuraghazra/github-readme-stats,MERGED,25.49222222222222,2,8,8,4726,1,1,1
anuraghazra/github-readme-stats,MERGED,52.24333333333333,2,8,8,4467,1,1,1
anuraghazra/github-readme-stats,MERGED,2.151111111111111,2,30,30,3203,1,1,1
anuraghazra/github-readme-stats,MERGED,2.0469444444444442,2,8,8,1696,1,1,1
anuraghazra/github-readme-stats,MERGED,25.836944444444445,2,48,26,2449,1,2,1
anuraghazra/github-readme-stats,MERGED,16.398888888888887,1,4,9,0,2,2,2
anuraghazra/github-readme-stats,MERGED,17.153055555555557,2,23,20,5791,1,1,1
anuraghazra/github-readme-stats,MERGED,17.1025,2,26,8,5116,1,1,1
anuraghazra/github-readme-stats,MERGED,17.05361111111111,2,8,8,1929,1,1,1
anuraghazra/github-readme-stats,MERGED,17.20861111111111,2,32,32,3677,1,1,1
anuraghazra/github-readme-stats,MERGED,17.011944444444445,1,1,1,5407,1,1,1
anuraghazra/github-readme-stats,MERGED,16.9475,6,6,6,3374,1,1,1
anuraghazra/github-readme-stats,MERGED,32.04388888888889,1,2,2,0,2,2,2
anuraghazra/github-readme-stats,MERGED,50.628055555555555,1,1,0,0,2,1,2
anuraghazra/github-readme-stats,MERGED,71.65388888888889,1,0,13,0,2,1,2
anuraghazra/github-readme-stats,MERGED,95.4575,1,19,10,0,2,1,2
anuraghazra/github-readme-stats,MERGED,119.65861111111111,1,1,1,0,2,1,2
anuraghazra/github-readme-stats,MERGED,127.92333333333333,2,92,92,3544,1,1,1
anuraghazra/github-readme-stats,MERGED,128.00472222222223,2,50,50,2179,1,1,1
anuraghazra/github-readme-stats,MERGED,39.05833333333333,1,4,0,88,1,1,1
anuraghazra/github-readme-stats,MERGED,195.3575,1,6,0,0,2,1,2
anuraghazra/github-readme-stats,MERGED,195.65694444444443,1,0,4,0,2,1,3
anuraghazra/github-readme-stats,MERGED,195.72,1,38,52,0,2,1,2
anuraghazra/github-readme-stats,MERGED,195.76694444444445,1,63,51,0,2,1,3
anuraghazra/github-readme-stats,MERGED,216.41166666666666,1,24,32,0,2,1,3
anuraghazra/github-readme-stats,MERGED,239.32111111111112,1,2,0,0,2,1,2
anuraghazra/github-readme-stats,MERGED,262.9636111111111,1,2,1,0,2,1,2
anuraghazra/github-readme-stats,MERGED,289.07944444444445,1,18,15,0,2,1,2
anuraghazra/github-readme-stats,MERGED,148.0363888888889,2,26,8,4456,1,1,1
anuraghazra/github-readme-stats,MERGED,148.17361111111111,2,8,8,1760,1,1,1
anuraghazra/github-readme-stats,MERGED,149.73777777777778,2,8,8,2027,1,1,1
anuraghazra/github-readme-stats,MERGED,149.90833333333333,2,10,28,5008,1,2,1
anuraghazra/github-readme-stats,MERGED,150.21138888888888,1,1,1,6443,1,1,1
anuraghazra/github-readme-stats,MERGED,310.8622222222222,1,5,3,0,2,1,3
anuraghazra/github-readme-stats,MERGED,24.414166666666667,1,32,0,0,2,1,2
anuraghazra/github-readme-stats,MERGED,24.375,9,9,9,0,2,1,2
anuraghazra/github-readme-stats,MERGED,25.41722222222222,23,29,29,0,2,1,2
anuraghazra/github-readme-stats,MERGED,26.11,17,16,16,0,2,1,2
anuraghazra/github-readme-stats,MERGED,52.764722222222225,1,1,1,0,2,1,3
anuraghazra/github-readme-stats,MERGED,53.00611111111111,13,0,4406,0,2,4,2
anuraghazra/github-readme-stats,MERGED,67.32916666666667,4,153,3,0,2,1,2
anuraghazra/github-readme-stats,MERGED,90.405,1,2,2,0,2,1,2
anuraghazra/github-readme-stats,CLOSED,82.40527777777778,3,64,5,5,2,3,1
anuraghazra/github-readme-stats,MERGED,134.12333333333333,2,44,49,3022,1,1,1
anuraghazra/github-readme-stats,MERGED,82.45527777777778,2,8,8,2016,1,1,1
anuraghazra/github-readme-stats,MERGED,38.891666666666666,2,26,8,7028,1,1,1
anuraghazra/github-readme-stats,MERGED,304.0286111111111,2,84,280,7043,1,1,1
anuraghazra/github-readme-stats,MERGED,64.1425,2,10,35,1828,1,1,1
anuraghazra/github-readme-stats,MERGED,16.71388888888889,11,11,11,5911,1,1,1
anuraghazra/github-readme-stats,MERGED,305.6227777777778,2,1293,936,5392,1,1,1
anuraghazra/github-readme-stats,MERGED,40.81611111111111,2,37,82,7444,2,3,1
anuraghazra/github-readme-stats,MERGED,17.161944444444444,2,2,2,2072,1,1,1
anuraghazra/github-readme-stats,MERGED,65.46111111111111,2,16,16,1748,1,1,1
anuraghazra/github-readme-stats,CLOSED,310.8961111111111,9,9,9,168,2,2,1
anuraghazra/github-readme-stats,CLOSED,732.1155555555556,110,10640,4393,0,7,2,2
anuraghazra/github-readme-stats,MERGED,1659.4527777777778,1,13,6,472,2,2,2
anuraghazra/github-readme-stats,MERGED,1.3575,2,10,11,1526,1,2,1
anuraghazra/github-readme-stats,MERGED,1175.9327777777778,2,2,4,134,2,2,2
anuraghazra/github-readme-stats,MERGED,18.76888888888889,1,272,9,4283,1,2,1
anuraghazra/github-readme-stats,MERGED,90.92055555555555,2,8,9,1827,1,2,1
anuraghazra/github-readme-stats,CLOSED,533.0758333333333,1,7,0,297,1,3,1
anuraghazra/github-readme-stats,MERGED,67.69166666666666,2,8,8,3190,1,2,1
anuraghazra/github-readme-stats,MERGED,44.231944444444444,2,27,24,4489,1,2,1
anuraghazra/github-readme-stats,MERGED,21.3725,2,26,8,4050,1,2,1
anuraghazra/github-readme-stats,MERGED,1421.2947222222222,1,13,13,0,2,2,2
anuraghazra/github-readme-stats,MERGED,19.656111111111112,2,9,10,2882,1,2,1
anuraghazra/github-readme-stats,MERGED,42.03138888888889,2,8,9,1801,1,2,1
anuraghazra/github-readme-stats,CLOSED,1637.2641666666666,1,0,14,275,2,1,1
anuraghazra/github-readme-stats,MERGED,39.342777777777776,1,9,0,88,1,1,1
anuraghazra/github-readme-stats,MERGED,65.55472222222222,2,8,9,3072,1,2,1
anuraghazra/github-readme-stats,MERGED,116.1575,2,32,54,4543,1,2,1
anuraghazra/github-readme-stats,MERGED,89.72444444444444,2,26,9,4012,1,2,1
anuraghazra/github-readme-stats,CLOSED,636.8508333333333,1,35,0,69,1,4,1
anuraghazra/github-readme-stats,MERGED,21.9475,2,8,8,2266,1,2,1
anuraghazra/github-readme-stats,MERGED,21.623055555555556,1,1,1,3445,1,2,1
anuraghazra/github-readme-stats,MERGED,46.65083333333333,2,8,8,3128,1,2,1
anuraghazra/github-readme-stats,MERGED,91.66805555555555,2,62,77,6223,1,2,1
anuraghazra/github-readme-stats,MERGED,69.48916666666666,2,27,8,5674,1,2,1
anuraghazra/github-readme-stats,CLOSED,5.3180555555555555,1,7,0,0,1,2,1
anuraghazra/github-readme-stats,MERGED,94.09861111111111,2,42,63,2064,1,2,1
anuraghazra/github-readme-stats,MERGED,45.64888888888889,2,27,8,6517,1,2,1
anuraghazra/github-readme-stats,MERGED,69.36638888888889,2,10,29,7065,1,2,1
anuraghazra/github-readme-stats,MERGED,21.32638888888889,1,1,1,2534,1,2,1
anuraghazra/github-readme-stats,MERGED,2380.8594444444443,1,1,1,222,2,3,2
anuraghazra/github-readme-stats,MERGED,62.784166666666664,1,3,1,88,1,1,1
anuraghazra/github-readme-stats,MERGED,20.636111111111113,2,8,8,1764,1,3,1
anuraghazra/github-readme-stats,CLOSED,2156.121111111111,1,7,0,0,2,3,1
