repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
apache/superset,MERGED,10.863888888888889,2,25,28,3774,1,1,1
apache/superset,MERGED,10.892222222222221,2,16,16,1523,1,2,1
apache/superset,MERGED,30.716944444444444,3,175,31,1056,2,3,3
apache/superset,MERGED,24.53388888888889,1,2,1,1023,4,1,2
apache/superset,CLOSED,1.5238888888888888,1,5,5,1968,1,1,1
apache/superset,MERGED,17.9325,2,178,0,917,4,2,4
apache/superset,MERGED,10.934444444444445,2,5,5,1857,1,2,1
apache/superset,MERGED,34.88722222222222,2,8,8,2671,1,2,1
apache/superset,MERGED,10.967777777777778,2,5,5,1575,1,2,1
apache/superset,MERGED,34.897777777777776,2,31,2,7238,1,2,1
apache/superset,MERGED,11.256666666666666,2,49,43,3774,1,2,1
apache/superset,MERGED,11.237222222222222,2,7,2,3388,1,2,1
apache/superset,MERGED,12.386111111111111,2,79,1,998,3,1,3
apache/superset,CLOSED,20.97222222222222,1,9,0,1508,2,3,1
apache/superset,MERGED,36.909166666666664,1,1,0,2297,2,2,2
apache/superset,CLOSED,1.5294444444444444,2,159,174,1265,2,2,2
apache/superset,MERGED,7.755833333333333,3,7,8,779,2,1,2
apache/superset,MERGED,94.3861111111111,2,19,0,1394,5,2,3
apache/superset,MERGED,71.71833333333333,1,1,1,812,3,2,2
apache/superset,MERGED,13.281666666666666,2,62,3,1899,3,1,4
apache/superset,MERGED,2.452777777777778,3,378,17,1856,2,1,2
apache/superset,MERGED,11.025277777777777,3,11,11,1525,2,2,1
apache/superset,MERGED,9.190833333333334,2,5,10,2070,1,2,1
apache/superset,MERGED,9.204444444444444,2,5,5,1841,1,2,1
apache/superset,MERGED,9.24611111111111,2,5,5,2534,1,2,1
apache/superset,MERGED,9.254444444444445,2,112,102,2647,1,2,1
apache/superset,MERGED,9.261944444444444,2,5,5,1908,1,2,1
apache/superset,MERGED,9.271944444444445,2,16,16,1523,1,2,1
apache/superset,CLOSED,85.28916666666667,1,7,7,1450,3,3,2
apache/superset,MERGED,3.4080555555555554,1,6,4,1154,5,2,7
apache/superset,MERGED,3.466666666666667,2,297,0,620,3,2,2
apache/superset,MERGED,19.259722222222223,1,91,90,566,3,0,5
apache/superset,MERGED,140.03472222222223,2,12,11,3808,1,3,1
apache/superset,MERGED,19.531666666666666,2,12,12,1527,1,2,1
apache/superset,MERGED,19.521944444444443,2,187,42,2688,1,1,2
apache/superset,MERGED,19.514166666666668,2,15,15,7596,1,2,1
apache/superset,MERGED,19.514166666666668,2,8,8,1696,1,2,1
apache/superset,MERGED,19.502222222222223,2,218,1006,4981,1,2,1
apache/superset,MERGED,19.41638888888889,2,30,26,3377,1,2,1
apache/superset,MERGED,17.274444444444445,2,28,0,546,4,2,3
apache/superset,MERGED,17.41638888888889,2,55,0,492,4,2,3
apache/superset,MERGED,17.758333333333333,3,76,9,509,4,1,8
apache/superset,MERGED,3.637777777777778,2,36,36,565,3,1,3
apache/superset,MERGED,1.1716666666666666,2,88,0,806,3,2,8
apache/superset,MERGED,25.934444444444445,6,158,9,1008,4,1,3
apache/superset,MERGED,30.0825,2,2,27,956,6,3,5
apache/superset,MERGED,1.6258333333333332,8,271,12,1449,2,1,4
apache/superset,MERGED,9.807777777777778,2,5,5,1525,2,3,1
apache/superset,MERGED,9.840555555555556,2,256,128,10609,1,2,1
apache/superset,MERGED,9.875833333333333,2,573,205,1538,1,2,1
apache/superset,MERGED,9.899444444444445,2,7,6,1534,1,2,1
apache/superset,MERGED,8.561388888888889,3,7,7,4511,1,2,1
apache/superset,MERGED,8.589444444444444,2,72,43,4126,1,2,1
apache/superset,MERGED,6.881944444444445,14,15,15,4068,1,2,1
apache/superset,MERGED,6.919722222222222,1,1,1,5191,1,2,1
apache/superset,MERGED,6.931388888888889,2,3,3,4281,1,2,1
apache/superset,MERGED,6.939722222222223,1,1,1,5700,1,2,1
apache/superset,MERGED,6.897222222222222,8,13,13,4854,1,2,1
apache/superset,MERGED,8.752777777777778,2,72,134,4928,1,2,1
apache/superset,CLOSED,8.778055555555556,2,43,43,3969,1,4,1
apache/superset,MERGED,10.110833333333334,2,15,15,8319,1,2,1
apache/superset,CLOSED,10.168333333333333,2,7,2,8048,1,3,2
apache/superset,MERGED,10.144444444444444,2,40,29,3750,1,2,1
apache/superset,CLOSED,48.05222222222222,2,2,7,2058,1,3,1
apache/superset,MERGED,10.398888888888889,2,29,26,8319,2,4,1
apache/superset,MERGED,10.17388888888889,2,10,9,2212,1,2,1
apache/superset,MERGED,16.635,2,161,9,596,4,1,3
