repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
astral-sh/uv,MERGED,1.2155555555555555,5,31,0,592,2,0,1
astral-sh/uv,MERGED,11.887222222222222,2,15,64,53,3,5,1
astral-sh/uv,MERGED,4.006388888888889,2,3,3,37,1,0,1
astral-sh/uv,MERGED,1.0283333333333333,2,18,14,0,2,0,2
astral-sh/uv,MERGED,1.2033333333333334,3,30,16,0,1,0,1
astral-sh/uv,MERGED,2.0991666666666666,6,7049,4531,37,2,1,2
astral-sh/uv,MERGED,1.0338888888888889,1,1,1,104,2,0,1
astral-sh/uv,MERGED,1.5930555555555554,2,24,7,3250,2,2,2
astral-sh/uv,MERGED,9.110277777777778,2,10,10,129,4,7,1
astral-sh/uv,MERGED,7.313888888888889,2,55,6,244,2,0,1
astral-sh/uv,MERGED,19.6475,2,92,3,27,4,4,4
astral-sh/uv,MERGED,2.0425,2,24,20,449,2,0,1
astral-sh/uv,MERGED,2.1147222222222224,5,81,3,42,2,6,1
astral-sh/uv,MERGED,5.815555555555555,1,0,203,112,2,0,1
astral-sh/uv,MERGED,5.258333333333334,1,3,3,147,2,0,1
astral-sh/uv,MERGED,70.01527777777778,5,67,56,1445,2,6,1
astral-sh/uv,MERGED,2.0055555555555555,2,12,5,74,2,4,1
astral-sh/uv,MERGED,26.2125,5,29,8,91,2,1,5
astral-sh/uv,MERGED,13.346944444444444,3,86,29,245,2,0,1
astral-sh/uv,MERGED,11.042777777777777,1,2,2,38,1,0,1
astral-sh/uv,MERGED,4.498055555555555,3,15,8,200,2,3,1
astral-sh/uv,MERGED,12.369722222222222,1,1,3,40,2,1,1
astral-sh/uv,MERGED,158.86416666666668,2,203,12,771,3,0,14
astral-sh/uv,MERGED,69.2875,1,14,1,952,2,0,2
astral-sh/uv,MERGED,21.030555555555555,2,354,42,1071,3,1,15
astral-sh/uv,MERGED,4.023055555555556,1,6,0,19,2,0,1
astral-sh/uv,MERGED,22.289166666666667,3,197,2,129,2,0,1
astral-sh/uv,MERGED,47.339166666666664,13,179,114,105,2,2,1
astral-sh/uv,MERGED,47.76555555555556,12,159,101,155,2,0,3
astral-sh/uv,MERGED,43.00527777777778,1,43,37,260,3,0,2
astral-sh/uv,MERGED,43.38,1,3,0,169,2,0,1
astral-sh/uv,MERGED,147.09916666666666,1,9,0,0,2,0,2
astral-sh/uv,MERGED,95.41805555555555,1,2,0,154,2,0,5
astral-sh/uv,MERGED,3.848611111111111,1,1,1,266,2,1,3
astral-sh/uv,MERGED,1.2375,4,11,5,108,2,1,3
astral-sh/uv,MERGED,13.808055555555555,4,318,36,232,3,1,7
astral-sh/uv,MERGED,1.3725,7,176,11,41,3,0,5
astral-sh/uv,MERGED,33.30694444444445,2,3,3,1001,1,0,1
astral-sh/uv,MERGED,50.86972222222222,1,29,5,0,5,0,5
