repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
avelino/awesome-go,CLOSED,39.60916666666667,1,1,0,2137,2,24,1
avelino/awesome-go,CLOSED,13.529166666666667,1,10,0,1794,2,8,1
avelino/awesome-go,MERGED,52.67805555555555,1,4,0,2454,2,10,1
avelino/awesome-go,MERGED,67.28861111111111,1,3,0,559,2,6,1
avelino/awesome-go,CLOSED,35.41027777777778,2,10,2,2322,1,6,3
avelino/awesome-go,MERGED,167.08194444444445,3,3,146,654,1,6,2
avelino/awesome-go,MERGED,357.65777777777777,1,1,0,1835,2,2,1
avelino/awesome-go,MERGED,378.9486111111111,1,1,0,1839,2,3,1
avelino/awesome-go,MERGED,423.83972222222224,1,1,1,2389,3,9,2
avelino/awesome-go,MERGED,573.3288888888889,1,1,0,1840,2,4,3
avelino/awesome-go,MERGED,602.0827777777778,1,1,0,2086,2,3,3
avelino/awesome-go,MERGED,350.1086111111111,1,1,2,2509,3,9,4
avelino/awesome-go,MERGED,782.3613888888889,1,1,0,2000,3,2,1
avelino/awesome-go,MERGED,910.6813888888889,1,1,0,2290,2,5,1
avelino/awesome-go,MERGED,930.1080555555556,1,1,0,2205,3,3,2
avelino/awesome-go,MERGED,958.9083333333333,1,1,0,2352,2,3,1
avelino/awesome-go,CLOSED,975.6286111111111,1,1,0,2162,2,4,1
avelino/awesome-go,MERGED,20.0575,1,1,1,440,2,2,1
avelino/awesome-go,MERGED,1065.8280555555555,1,1,0,2388,2,3,1
avelino/awesome-go,MERGED,1083.0730555555556,1,1,0,2299,2,3,1
avelino/awesome-go,MERGED,1083.6372222222221,1,1,0,2365,2,3,1
avelino/awesome-go,MERGED,3.373611111111111,1,1,1,1230,3,1,1
avelino/awesome-go,MERGED,1186.318888888889,1,1,0,2285,3,3,1
avelino/awesome-go,CLOSED,766.7955555555556,1,1,0,2214,2,4,1
avelino/awesome-go,MERGED,1178.0611111111111,1,6,5,2441,3,4,2
avelino/awesome-go,MERGED,8.508055555555556,1,1,1,2175,4,3,2
avelino/awesome-go,MERGED,1319.9216666666666,1,1,0,2494,5,3,2
