repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
awesome-selfhosted/awesome-selfhosted,MERGED,411.4425,2,5,1,274,4,2,6
awesome-selfhosted/awesome-selfhosted,CLOSED,19.905833333333334,1,1,0,2447,3,1,1
awesome-selfhosted/awesome-selfhosted,MERGED,3.0308333333333333,1,49,49,147,3,0,5
awesome-selfhosted/awesome-selfhosted,MERGED,52.3225,1,0,1,391,3,0,2
awesome-selfhosted/awesome-selfhosted,MERGED,52.51555555555556,1,0,1,401,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,52.543055555555554,1,0,1,409,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,4.575,1,1,1,0,3,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,91.14888888888889,1,1,0,2447,4,3,3
awesome-selfhosted/awesome-selfhosted,CLOSED,94.00805555555556,1,1,0,2447,4,3,2
awesome-selfhosted/awesome-selfhosted,MERGED,93.54333333333334,1,1,0,2447,4,8,5
awesome-selfhosted/awesome-selfhosted,MERGED,11.187777777777777,1,1,1,54,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,100.38638888888889,1,0,1,70,2,0,1
awesome-selfhosted/awesome-selfhosted,CLOSED,36.19111111111111,1,1,1,2447,3,1,1
awesome-selfhosted/awesome-selfhosted,CLOSED,189.80027777777778,1,1,0,2449,3,1,1
awesome-selfhosted/awesome-selfhosted,MERGED,5.641944444444444,1,1,1,2447,3,0,2
awesome-selfhosted/awesome-selfhosted,MERGED,204.50472222222223,1,1,0,2447,3,1,3
awesome-selfhosted/awesome-selfhosted,MERGED,254.34416666666667,1,1,0,2447,4,5,5
awesome-selfhosted/awesome-selfhosted,CLOSED,260.755,1,1,0,2307,3,3,4
awesome-selfhosted/awesome-selfhosted,MERGED,260.5625,1,1,0,2447,3,0,6
awesome-selfhosted/awesome-selfhosted,MERGED,209.90055555555554,1,0,1,2515,5,0,3
awesome-selfhosted/awesome-selfhosted,MERGED,263.5388888888889,1,1,0,2463,3,0,2
awesome-selfhosted/awesome-selfhosted,MERGED,349.1638888888889,6,8,70,112,2,0,1
awesome-selfhosted/awesome-selfhosted,CLOSED,360.00444444444446,1,1,0,2447,4,8,2
awesome-selfhosted/awesome-selfhosted,MERGED,393.5461111111111,1,1,0,2447,5,3,5
awesome-selfhosted/awesome-selfhosted,MERGED,27.564722222222223,1,3,3,109,3,0,2
awesome-selfhosted/awesome-selfhosted,CLOSED,529.4269444444444,1,1,0,2447,4,4,1
awesome-selfhosted/awesome-selfhosted,MERGED,187.61666666666667,1,1,0,2447,5,0,6
awesome-selfhosted/awesome-selfhosted,MERGED,2.36,1,8,8,86,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,122.42416666666666,1,0,1,16971,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,122.46416666666667,1,0,1,28935,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,122.60527777777777,1,0,1,71,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,122.62555555555555,1,0,1,103,3,1,1
awesome-selfhosted/awesome-selfhosted,MERGED,122.66277777777778,1,0,1,103,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,122.71222222222222,1,0,1,59,2,0,1
awesome-selfhosted/awesome-selfhosted,CLOSED,239.08666666666667,1,1,1,264,2,1,1
awesome-selfhosted/awesome-selfhosted,MERGED,152.04305555555555,1,1,0,2560,3,2,4
awesome-selfhosted/awesome-selfhosted,CLOSED,2521.606388888889,1,1,0,2447,4,4,1
awesome-selfhosted/awesome-selfhosted,MERGED,178.6161111111111,1,1,0,2584,4,0,3
awesome-selfhosted/awesome-selfhosted,MERGED,181.5211111111111,1,1,0,2447,3,0,2
awesome-selfhosted/awesome-selfhosted,CLOSED,4.141111111111111,1,1,0,2447,5,4,2
awesome-selfhosted/awesome-selfhosted,MERGED,177.57555555555555,1,0,1,242,3,2,1
awesome-selfhosted/awesome-selfhosted,MERGED,177.65416666666667,1,0,1,73,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,177.74916666666667,1,0,2,102,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,1.063611111111111,1,1,1,2505,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,171.62805555555556,1,0,1,107,2,0,1
awesome-selfhosted/awesome-selfhosted,MERGED,172.62916666666666,1,0,1,236,2,0,1
