repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
axios/axios,MERGED,2.877222222222222,2,22,0,371,2,0,1
axios/axios,MERGED,47.69222222222222,1,167,6,596,2,0,1
axios/axios,CLOSED,83.4113888888889,2,218,164,479,2,1,4
axios/axios,MERGED,24.060833333333335,1,28,28,647,2,1,1
axios/axios,MERGED,11.118333333333334,1,1,1,94,2,0,1
axios/axios,MERGED,30.674722222222222,2,1,1,49,2,1,1
axios/axios,MERGED,11.425555555555556,1,1,1,191,4,0,2
axios/axios,MERGED,3.201388888888889,2,24,509,35,2,0,1
axios/axios,MERGED,15.769166666666667,1,2,4,51,2,1,1
axios/axios,MERGED,18.95111111111111,6,133,5,350,1,0,1
axios/axios,MERGED,19.308055555555555,4,123,0,617,4,8,8
axios/axios,MERGED,9.3425,4,3940,118,816,2,0,2
axios/axios,MERGED,42.75361111111111,7,323,175,682,3,13,1
axios/axios,MERGED,126.69722222222222,18,5,16755,11,2,1,1
axios/axios,MERGED,69.72527777777778,2,55,35,1272,2,5,6
axios/axios,MERGED,21.844722222222224,5,111,15,2089,4,2,3
axios/axios,MERGED,63.181111111111115,1,8,8,1336,2,1,1
axios/axios,MERGED,22.845555555555556,2,263,49,88,3,10,1
axios/axios,MERGED,11.014444444444445,17,212,50,626,4,2,1
axios/axios,CLOSED,19.893333333333334,1,184,91,4283,2,1,2
axios/axios,MERGED,35.3725,2,186,93,1366,16,9,10
axios/axios,MERGED,154.855,2,70,0,4093,2,1,1
axios/axios,MERGED,308.4486111111111,1,13,2,80,2,2,12
axios/axios,MERGED,602.3913888888889,3,9,7,82,2,1,1
axios/axios,MERGED,603.0636111111111,2,3,3,78,2,1,1
axios/axios,CLOSED,571.3780555555555,1,19,2,344,3,1,1
axios/axios,MERGED,61.12361111111111,2,2,2,17,2,2,1
axios/axios,MERGED,61.19611111111111,3,0,4,28,2,1,1
axios/axios,MERGED,13.277222222222223,1,4,0,646,2,1,2
axios/axios,CLOSED,3458.2927777777777,12,1076,621,549,4,5,3
axios/axios,MERGED,1451.2055555555555,1,1,1,246,2,1,1
axios/axios,MERGED,991.5683333333334,1,1,1,447,4,2,2
axios/axios,MERGED,296.9452777777778,1,3,1,252,2,1,1
axios/axios,CLOSED,371.0313888888889,2,2,2,588,2,1,1
axios/axios,MERGED,574.3580555555556,2,2,2,596,5,4,1
axios/axios,MERGED,96.84083333333334,2,5,1,177,3,2,2
axios/axios,MERGED,139.58277777777778,5,11,6,120,5,9,6
axios/axios,MERGED,5.263055555555556,4,4,0,228,2,3,1
axios/axios,MERGED,92.69972222222222,1,6,0,63,2,1,1
axios/axios,CLOSED,135.5425,1,1,13,25,3,0,1
axios/axios,MERGED,86.00333333333333,1,2,2,1079,3,0,1
axios/axios,MERGED,520.2411111111111,1,21,0,485,2,0,1
axios/axios,MERGED,4371.909166666666,4,107,4,339,2,1,1
axios/axios,MERGED,57.562222222222225,1,1,1,98,2,2,1
axios/axios,CLOSED,111.57194444444444,5,10,10,479,2,0,1
axios/axios,CLOSED,114.53611111111111,4,4,4,479,2,0,1
axios/axios,MERGED,68.43305555555555,1,1,1,54,2,1,1
axios/axios,MERGED,105.82527777777777,1,2,2,731,2,1,1
axios/axios,MERGED,1975.2519444444445,1,1,1,11,2,0,1
axios/axios,MERGED,388.27972222222223,1,1,1,0,2,1,1
axios/axios,MERGED,26.43027777777778,1,3,0,38,2,5,1
axios/axios,MERGED,23.183333333333334,2,14,2,49,2,1,1
axios/axios,MERGED,162.79333333333332,1,4,0,386,2,3,1
axios/axios,MERGED,289.11555555555555,2,14,1,240,2,3,4
axios/axios,CLOSED,134.70805555555555,1,33,67,197,3,0,1
axios/axios,MERGED,123.03416666666666,1,5,5,594,4,4,2
axios/axios,MERGED,4440.360277777778,1,1,1,2324,3,1,1
axios/axios,MERGED,642.7141666666666,1,3,0,43,3,2,2
axios/axios,MERGED,834.5352777777778,1,1,1,57,2,3,1
