repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
base/node,MERGED,99.02111111111111,3,10,10,0,3,2,3
base/node,MERGED,842.2352777777778,4,18,18,307,4,4,3
base/node,MERGED,899.1283333333333,1,1,1,236,3,1,1
base/node,MERGED,6.611944444444444,1,0,1,313,3,2,2
base/node,MERGED,284.6672222222222,1,6,7,41,3,1,7
base/node,MERGED,72.7286111111111,2,4,5,78,3,1,1
base/node,CLOSED,667.6388888888889,2,4,4,95,3,2,1
base/node,MERGED,68.59361111111112,2,29,23,315,4,2,1
base/node,MERGED,26.575833333333332,2,12,12,193,3,2,2
base/node,MERGED,51.09361111111111,1,2,2,453,3,1,1
base/node,MERGED,50.245555555555555,2,16,16,312,3,1,1
base/node,MERGED,192.50055555555556,1,1,0,0,3,2,2
base/node,MERGED,14.763333333333334,1,5,0,757,2,1,1
base/node,MERGED,19.447222222222223,2,3,3,77,3,1,1
base/node,MERGED,3.3108333333333335,2,4,4,75,4,7,6
base/node,MERGED,25.496111111111112,2,85,17,318,3,1,2
base/node,MERGED,3.1055555555555556,1,1,1,0,3,1,1
base/node,MERGED,4.391666666666667,1,96,35,149,3,2,3
base/node,MERGED,284.7086111111111,2,32,35,352,3,1,3
base/node,MERGED,1.1191666666666666,2,90,39,1384,2,1,1
base/node,MERGED,95.47222222222223,7,320,17,465,4,4,4
base/node,MERGED,1.5758333333333334,1,2,2,250,3,1,1
base/node,MERGED,438.675,2,3,3,103,4,5,1
base/node,MERGED,6.073888888888889,1,6,6,84,3,1,1
base/node,MERGED,32.26166666666666,1,6,6,229,3,3,3
base/node,MERGED,1082.8897222222222,3,9,1,226,3,1,1
base/node,MERGED,74.06027777777778,1,2,2,79,3,1,1
base/node,CLOSED,28.90361111111111,1,1,1,1160,3,2,1
base/node,MERGED,1.4941666666666666,1,1,1,184,3,1,1
base/node,MERGED,1.9641666666666666,2,7,7,108,5,1,3
base/node,MERGED,105.19638888888889,6,293,174,69,6,2,48
base/node,MERGED,22.930833333333332,8,94,6,107,3,1,2
base/node,CLOSED,1707.6105555555555,2,6,6,157,4,5,1
base/node,MERGED,1.1936111111111112,1,2,2,165,5,1,3
base/node,MERGED,1.5722222222222222,1,2,2,159,3,1,1
base/node,MERGED,9.456111111111111,2,8,8,71,5,2,3
base/node,MERGED,3.6944444444444446,2,234,42,1135,3,3,1
base/node,MERGED,92.32611111111112,1,4,6,46,3,1,1
base/node,MERGED,1536.6841666666667,1,1,1,232,3,1,1
base/node,MERGED,2.1175,3,8,8,94,4,1,2
base/node,MERGED,121.72111111111111,1,4,4,86,5,2,2
base/node,MERGED,120.78138888888888,1,4,4,94,4,1,2
base/node,MERGED,1.3702777777777777,2,8,5,44,3,1,1
base/node,MERGED,214.82666666666665,1,1,1,215,3,2,1
base/node,MERGED,45.65972222222222,3,29,14,37,4,1,2
base/node,MERGED,265.49194444444447,1,4,0,247,3,1,2
base/node,MERGED,381.8616666666667,2,11,9,274,4,2,1
base/node,MERGED,1.061388888888889,1,5,7,102,3,1,1
base/node,MERGED,435.06166666666667,1,10,8,22,4,4,1
base/node,MERGED,1006.5736111111111,1,1,1,232,3,1,1
base/node,CLOSED,1868.9002777777778,1,1,1,40,3,1,1
base/node,MERGED,1035.2366666666667,1,3,2,215,3,1,1
base/node,MERGED,1.0894444444444444,2,14,8,169,3,1,2
base/node,CLOSED,522.8311111111111,1,1,1,439,4,3,1
base/node,MERGED,2.051111111111111,2,8,8,284,3,1,1
