repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
bitcoin/bitcoin,MERGED,18.52611111111111,5,6,4,25,4,1,2
bitcoin/bitcoin,MERGED,22.4325,1,337,388,211,5,2,1
bitcoin/bitcoin,MERGED,89.71944444444445,4,58,36,18,5,1,3
bitcoin/bitcoin,MERGED,4.335833333333333,9,31,27,153,6,3,5
bitcoin/bitcoin,MERGED,5.860555555555556,1,7,1,510,6,2,2
bitcoin/bitcoin,CLOSED,12.971388888888889,8,92,62,524,4,3,1
bitcoin/bitcoin,MERGED,146.8086111111111,3,100,5,919,8,4,12
bitcoin/bitcoin,CLOSED,147.77277777777778,5,105,17,309,5,6,1
bitcoin/bitcoin,CLOSED,66.07305555555556,4,117,0,519,8,11,14
bitcoin/bitcoin,MERGED,64.76333333333334,4,56,35,560,6,9,2
bitcoin/bitcoin,MERGED,202.36111111111111,2,5,6,5597,10,17,5
bitcoin/bitcoin,MERGED,179.28472222222223,6,10,10,652,10,12,21
bitcoin/bitcoin,MERGED,33.05166666666667,1,4,4,273,6,4,5
bitcoin/bitcoin,CLOSED,44.93805555555556,1,10,3,598,4,8,3
bitcoin/bitcoin,MERGED,149.455,1,1,0,420,8,3,8
bitcoin/bitcoin,MERGED,52.576388888888886,1,1,1,506,5,2,2
bitcoin/bitcoin,MERGED,177.0822222222222,1,8,8,1411,4,6,3
bitcoin/bitcoin,MERGED,166.4013888888889,32,424,158,50,6,6,5
bitcoin/bitcoin,MERGED,20.61861111111111,1,2,2,1242,6,2,3
bitcoin/bitcoin,MERGED,214.67805555555555,11,116,52,32,8,2,2
bitcoin/bitcoin,MERGED,283.43083333333334,26,146,119,141,12,5,4
bitcoin/bitcoin,MERGED,245.43416666666667,8,76,39,885,9,6,6
bitcoin/bitcoin,MERGED,17.914166666666667,1,1,1,230,4,2,1
bitcoin/bitcoin,MERGED,338.7763888888889,4,72,14,723,9,14,12
bitcoin/bitcoin,MERGED,203.7111111111111,2,2,18,1735,47,70,11
bitcoin/bitcoin,MERGED,53.9225,5,33,4,211,10,4,6
bitcoin/bitcoin,MERGED,93.25694444444444,5,43,14,661,8,6,7
bitcoin/bitcoin,MERGED,74.91555555555556,4,44,16,210,5,12,18
bitcoin/bitcoin,MERGED,337.6036111111111,3,1,8,138,8,28,5
bitcoin/bitcoin,MERGED,171.83944444444444,2,22,17,219,7,4,3
bitcoin/bitcoin,MERGED,44.95527777777778,3,4,4,281,8,6,4
bitcoin/bitcoin,MERGED,120.32222222222222,2,22,7,399,5,5,12
bitcoin/bitcoin,MERGED,122.88,2,4,18,111,4,7,3
bitcoin/bitcoin,MERGED,132.75944444444445,24,203,64,86,10,3,2
bitcoin/bitcoin,MERGED,37.87416666666667,1,13,0,1009,5,8,4
bitcoin/bitcoin,MERGED,17.915555555555557,1,6,1,334,5,7,1
bitcoin/bitcoin,MERGED,201.5413888888889,7,48,35,49,8,10,7
bitcoin/bitcoin,MERGED,47.83361111111111,11,190,79,343,5,3,1
bitcoin/bitcoin,MERGED,19.607222222222223,1,1,1,34,4,4,1
bitcoin/bitcoin,MERGED,360.4558333333333,1,2,1,919,4,3,4
bitcoin/bitcoin,MERGED,255.94222222222223,3,16,16,1036,10,5,7
bitcoin/bitcoin,CLOSED,14.024722222222222,1,9,1,286,5,2,2
bitcoin/bitcoin,MERGED,36.65611111111111,2,8,5,160,7,3,8
bitcoin/bitcoin,CLOSED,14.984166666666667,2,10,10,451,4,2,1
bitcoin/bitcoin,MERGED,11.435833333333333,1,6,1,355,9,3,5
bitcoin/bitcoin,MERGED,201.98111111111112,2,17,12,569,10,15,20
bitcoin/bitcoin,MERGED,94.7525,1,42,1,91,7,4,3
bitcoin/bitcoin,MERGED,63.815,1,2,1,231,5,2,2
bitcoin/bitcoin,MERGED,147.9725,5,8,16,1148,8,5,5
bitcoin/bitcoin,CLOSED,7.220555555555555,1,5,3,733,4,3,2
bitcoin/bitcoin,CLOSED,194.16916666666665,5,43,2,1067,5,8,11
bitcoin/bitcoin,MERGED,95.32222222222222,1,2,2,236,3,3,1
bitcoin/bitcoin,MERGED,22.83416666666667,1,2,3,111,5,5,1
bitcoin/bitcoin,CLOSED,349.2025,2,43,0,814,4,2,1
bitcoin/bitcoin,MERGED,174.29111111111112,22,299,20,95,11,1,2
bitcoin/bitcoin,MERGED,43.406666666666666,5,103,105,469,5,3,4
bitcoin/bitcoin,MERGED,1.8083333333333333,12,2992,121,246,5,1,3
bitcoin/bitcoin,MERGED,200.68805555555556,20,158,106,80,9,3,2
bitcoin/bitcoin,MERGED,8.957222222222223,1,1,1,129,5,5,3
bitcoin/bitcoin,MERGED,21.9525,1,4,4,202,6,3,4
bitcoin/bitcoin,MERGED,1.5244444444444445,24,0,206,83,5,2,2
bitcoin/bitcoin,MERGED,10.415277777777778,5,36,24,117,6,3,3
bitcoin/bitcoin,CLOSED,30.255,1,1,1,336,5,2,1
bitcoin/bitcoin,MERGED,265.2677777777778,8,113,10,2723,13,12,34
bitcoin/bitcoin,MERGED,101.18527777777778,1,5,14,364,9,15,10
bitcoin/bitcoin,MERGED,149.74694444444444,4,4,4,287,6,2,3
bitcoin/bitcoin,MERGED,92.61555555555556,1,5,5,267,6,5,1
bitcoin/bitcoin,MERGED,520.0791666666667,1,6,7,316,8,3,12
bitcoin/bitcoin,MERGED,94.31138888888889,2,5,0,266,6,5,1
bitcoin/bitcoin,MERGED,2.9547222222222222,1,2,2,508,9,5,2
