repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
bregman-arie/devops-exercises,CLOSED,630.6216666666667,1,44,1,34,3,0,2
bregman-arie/devops-exercises,MERGED,201.1325,3,98,0,136,2,0,1
bregman-arie/devops-exercises,MERGED,1053.841111111111,1,13,0,205,2,0,1
bregman-arie/devops-exercises,CLOSED,45.25111111111111,1,1,1,0,2,1,1
bregman-arie/devops-exercises,CLOSED,57.04388888888889,1,5,3,0,1,0,1
bregman-arie/devops-exercises,CLOSED,1615.0466666666666,5,227,0,0,3,2,1
bregman-arie/devops-exercises,MERGED,2095.5675,1,1,1,103,2,1,1
bregman-arie/devops-exercises,MERGED,2187.22,1,1,1,147,3,1,1
bregman-arie/devops-exercises,MERGED,2244.3341666666665,2,35,0,0,3,3,3
bregman-arie/devops-exercises,MERGED,2410.347222222222,1,1,2,49,3,1,1
bregman-arie/devops-exercises,MERGED,520.7588888888889,1,28,0,372,3,0,2
bregman-arie/devops-exercises,MERGED,351.1175,1,4,2,0,3,0,1
bregman-arie/devops-exercises,MERGED,644.5375,1,10,4,56,3,0,1
bregman-arie/devops-exercises,CLOSED,1893.0266666666666,2,38,13,0,3,0,2
bregman-arie/devops-exercises,CLOSED,6328.2025,1,34,0,0,3,1,1
bregman-arie/devops-exercises,CLOSED,15.969722222222222,1,1,0,17,2,0,2
bregman-arie/devops-exercises,MERGED,1253.2627777777777,1,9,0,240,3,0,1
bregman-arie/devops-exercises,MERGED,1644.0194444444444,1,2,2,0,4,0,3
bregman-arie/devops-exercises,CLOSED,2769.4319444444445,6,413,2,184,4,0,4
bregman-arie/devops-exercises,MERGED,374.6175,1,11,1,90,3,0,2
bregman-arie/devops-exercises,MERGED,1037.441111111111,1,1,1,260,4,1,1
bregman-arie/devops-exercises,CLOSED,190.09944444444446,1,39,0,0,1,0,2
bregman-arie/devops-exercises,MERGED,364.8688888888889,1,2,1,66,2,0,1
bregman-arie/devops-exercises,MERGED,1047.9758333333334,1,1,0,0,3,0,1
bregman-arie/devops-exercises,MERGED,120.82083333333334,1,16,7,40,2,0,1
bregman-arie/devops-exercises,MERGED,1453.8136111111112,3,6,7,45,2,0,1
bregman-arie/devops-exercises,MERGED,1454.1888888888889,1,2,3,160,2,0,1
bregman-arie/devops-exercises,MERGED,1487.9555555555555,1,20,0,45,2,0,1
bregman-arie/devops-exercises,CLOSED,1621.7316666666666,1,10,0,95,2,0,1
bregman-arie/devops-exercises,MERGED,2092.4372222222223,1,1,15,147,4,1,1
bregman-arie/devops-exercises,MERGED,2394.4905555555556,1,4,1,185,2,0,1
bregman-arie/devops-exercises,CLOSED,1331.5327777777777,1,1,0,0,2,1,1
bregman-arie/devops-exercises,MERGED,6406.713333333333,1,22,1,236,2,1,1
bregman-arie/devops-exercises,CLOSED,6765.372222222222,1,3,1,14,4,4,2
bregman-arie/devops-exercises,CLOSED,6986.141944444445,1,553,2477,0,2,0,1
bregman-arie/devops-exercises,MERGED,6978.020555555556,1,664,33,92,2,0,1
bregman-arie/devops-exercises,MERGED,54.8625,1,6,0,47,3,0,1
bregman-arie/devops-exercises,MERGED,73.09666666666666,1,5,0,101,2,0,1
bregman-arie/devops-exercises,CLOSED,4028.9105555555557,1,3,2,91,2,0,1
bregman-arie/devops-exercises,MERGED,255.3636111111111,1,3,1,101,3,0,4
bregman-arie/devops-exercises,MERGED,298.6791666666667,1,132,7,0,3,0,1
bregman-arie/devops-exercises,MERGED,4214.783333333334,1,2,0,0,2,0,1
bregman-arie/devops-exercises,MERGED,377.47305555555556,1,24,0,37,3,1,2
bregman-arie/devops-exercises,MERGED,502.9322222222222,1,2,3,0,2,0,1
bregman-arie/devops-exercises,CLOSED,509.57972222222224,1,0,0,0,4,2,1
bregman-arie/devops-exercises,MERGED,545.6658333333334,29,77,77,40,4,1,2
bregman-arie/devops-exercises,CLOSED,4442.676388888889,1,33,0,24,3,1,1
bregman-arie/devops-exercises,CLOSED,2909.3075,1,6,0,0,2,0,1
bregman-arie/devops-exercises,MERGED,4482.318333333334,1,2,2,0,4,0,2
bregman-arie/devops-exercises,MERGED,4775.9383333333335,1,2,1,32,3,0,3
bregman-arie/devops-exercises,MERGED,5299.241666666667,2,48,0,55,2,0,1
bregman-arie/devops-exercises,MERGED,5538.8086111111115,1,1,1,18,3,0,1
bregman-arie/devops-exercises,CLOSED,5716.900555555556,1,1,0,50,2,0,1
bregman-arie/devops-exercises,MERGED,161.71305555555554,1,1,1,0,3,0,2
bregman-arie/devops-exercises,MERGED,6181.381666666667,1,8,4,43,4,1,3
bregman-arie/devops-exercises,MERGED,218.36138888888888,1,2,2,0,3,0,2
bregman-arie/devops-exercises,MERGED,190.34583333333333,1,162,51,91,3,1,1
bregman-arie/devops-exercises,MERGED,561.7044444444444,1,275,0,1639,2,0,1
bregman-arie/devops-exercises,MERGED,88.23583333333333,1,1,1,0,2,0,1
bregman-arie/devops-exercises,MERGED,13.4425,1,4,0,125,2,0,1
bregman-arie/devops-exercises,MERGED,1277.9327777777778,1,23,1,0,2,0,1
bregman-arie/devops-exercises,MERGED,1365.9383333333333,2,32,4,71,2,1,1
bregman-arie/devops-exercises,MERGED,1489.8216666666667,1,110,12,48,2,0,1
bregman-arie/devops-exercises,CLOSED,7517.8469444444445,1,57,0,0,3,2,2
bregman-arie/devops-exercises,MERGED,97.75,1,34,29,0,3,0,2
bregman-arie/devops-exercises,MERGED,214.32,1,65,5,642,3,0,1
bregman-arie/devops-exercises,CLOSED,1921.421111111111,5,72,1,167,5,4,3
bregman-arie/devops-exercises,MERGED,599.6611111111112,1,17,10,57,3,0,1
bregman-arie/devops-exercises,CLOSED,633.255,1,1,1,0,3,0,1
bregman-arie/devops-exercises,MERGED,708.9591666666666,2,16,16,598,5,3,1
bregman-arie/devops-exercises,MERGED,6.880277777777778,1,18,1,0,2,0,1
bregman-arie/devops-exercises,MERGED,19.730833333333333,4,90,0,40,2,2,3
bregman-arie/devops-exercises,MERGED,34.575833333333335,2,10,3,68,2,0,1
bregman-arie/devops-exercises,MERGED,41.443888888888885,1,13,1,42,3,0,8
bregman-arie/devops-exercises,MERGED,46.66638888888889,1,55,10,0,2,0,1
bregman-arie/devops-exercises,CLOSED,216.96944444444443,1,7,0,78,3,0,2
bregman-arie/devops-exercises,MERGED,7.506944444444445,1,8,0,54,2,0,1
bregman-arie/devops-exercises,MERGED,44.359722222222224,1,2,2,195,3,0,2
bregman-arie/devops-exercises,MERGED,15.295833333333333,1,9,1,0,2,0,1
