repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
browser-use/browser-use,MERGED,16.274722222222223,6,439,1,834,3,1,1
browser-use/browser-use,MERGED,7.039166666666667,36,433,639,1582,1,2,16
browser-use/browser-use,MERGED,3.8183333333333334,1,1,1,230,3,1,1
browser-use/browser-use,MERGED,7.402222222222222,12,96,100,794,1,1,1
browser-use/browser-use,MERGED,23.011388888888888,4,8,8,1080,4,1,3
browser-use/browser-use,MERGED,2.8830555555555555,1,8,0,474,3,1,6
browser-use/browser-use,MERGED,142.90027777777777,1,1,1,195,2,0,2
browser-use/browser-use,MERGED,1.7602777777777778,1,2,0,329,2,1,2
browser-use/browser-use,MERGED,15.272777777777778,1,1,1,439,2,1,1
browser-use/browser-use,MERGED,14.323055555555555,12,31,40,609,2,2,1
browser-use/browser-use,MERGED,2.8008333333333333,2,29,2,539,2,2,1
browser-use/browser-use,MERGED,5.303888888888889,10,45,50,261,1,1,1
browser-use/browser-use,MERGED,1.916111111111111,5,387,12,1097,1,1,2
browser-use/browser-use,MERGED,1.4591666666666667,3,56,36,357,1,1,3
browser-use/browser-use,MERGED,31.50777777777778,10,777,27,743,1,1,6
browser-use/browser-use,MERGED,1.315,3,290,72,806,1,1,1
browser-use/browser-use,MERGED,102.18,1,5,1,1260,3,1,2
browser-use/browser-use,MERGED,207.31472222222223,1,4,1,393,3,2,1
browser-use/browser-use,MERGED,7.473055555555556,3,64,0,407,1,1,1
browser-use/browser-use,MERGED,225.595,1,312,0,1662,3,2,1
browser-use/browser-use,MERGED,8.946111111111112,7,546,2,583,1,1,1
browser-use/browser-use,MERGED,1.3091666666666666,1,15,14,283,1,1,2
browser-use/browser-use,MERGED,2.8825,2,176,2,599,1,1,1
browser-use/browser-use,CLOSED,246.2436111111111,4,183,12,2048,2,2,1
browser-use/browser-use,CLOSED,6.900277777777778,2,90,0,603,2,1,1
browser-use/browser-use,MERGED,22.484444444444446,1,7,1,275,1,1,1
browser-use/browser-use,CLOSED,23.110833333333332,4,171,0,2065,4,2,1
browser-use/browser-use,MERGED,11.090833333333334,4,19,7,141,1,1,1
browser-use/browser-use,MERGED,18.370277777777776,0,0,0,226,3,1,1
browser-use/browser-use,MERGED,32.318888888888885,1,4,8,236,1,1,1
browser-use/browser-use,MERGED,146.7825,1,44,0,522,1,1,4
browser-use/browser-use,CLOSED,11.169722222222223,4,281,0,886,1,0,1
browser-use/browser-use,MERGED,15.861944444444445,11,224,14,721,2,1,2
browser-use/browser-use,MERGED,350.8252777777778,5,12,21,577,2,3,3
browser-use/browser-use,MERGED,4.591666666666667,1,22,0,259,4,1,1
browser-use/browser-use,CLOSED,7.908333333333333,43,3984,102,791,3,2,1
browser-use/browser-use,MERGED,13.684166666666666,2,155,0,964,3,1,1
browser-use/browser-use,MERGED,1.6947222222222222,10,256,26,1006,1,1,1
browser-use/browser-use,MERGED,1.1183333333333334,3,258,84,594,1,1,2
browser-use/browser-use,MERGED,3.3697222222222223,2,204,0,580,4,7,7
browser-use/browser-use,MERGED,2.385,2,3,1,245,1,1,3
browser-use/browser-use,MERGED,6.091944444444445,9,561,159,976,2,1,5
browser-use/browser-use,MERGED,1.9744444444444444,1,0,3,543,3,1,1
browser-use/browser-use,MERGED,1.7752777777777777,3,305,1,522,1,1,2
browser-use/browser-use,CLOSED,13.652777777777779,3,246,108,1250,2,2,1
browser-use/browser-use,MERGED,1.7222222222222223,1,11,4,723,1,1,3
browser-use/browser-use,MERGED,52.532222222222224,1,113,0,98,3,3,2
browser-use/browser-use,MERGED,59.91722222222222,1,4,0,181,3,1,2
browser-use/browser-use,MERGED,1.0516666666666667,3,79,32,571,1,1,1
browser-use/browser-use,MERGED,1.4841666666666666,3,10,27,275,1,1,2
browser-use/browser-use,MERGED,1.7133333333333334,1,3,3,582,2,2,1
browser-use/browser-use,MERGED,2.351111111111111,3,204,0,604,2,1,4
browser-use/browser-use,MERGED,19.02611111111111,2,6,1,416,1,1,1
browser-use/browser-use,MERGED,34.3975,2,17,3,746,3,1,1
browser-use/browser-use,MERGED,499.43055555555554,1,7,2,1325,4,2,1
browser-use/browser-use,MERGED,38.153888888888886,3,14,1,616,3,3,2
browser-use/browser-use,MERGED,3.9955555555555557,1,1,1,169,3,1,2
browser-use/browser-use,MERGED,1.121388888888889,3,103,21,684,1,1,2
browser-use/browser-use,CLOSED,157.4925,1,85,63,3036,3,5,2
browser-use/browser-use,MERGED,28.84027777777778,5,25,18,262,1,1,4
browser-use/browser-use,CLOSED,68.23138888888889,1,2,2,255,1,1,1
browser-use/browser-use,MERGED,1.8280555555555555,4,264,59,799,1,1,1
browser-use/browser-use,MERGED,149.5225,4,778,0,640,2,1,3
