repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
caddyserver/caddy,MERGED,69.35638888888889,2,3,3,75,3,0,1
caddyserver/caddy,MERGED,227.63083333333333,1,15,0,2267,3,1,4
caddyserver/caddy,MERGED,8.532777777777778,1,0,1,229,3,1,1
caddyserver/caddy,MERGED,2.578611111111111,14,48,48,37,3,2,1
caddyserver/caddy,MERGED,15.978333333333333,1,3,1,1861,3,2,2
caddyserver/caddy,MERGED,10.039166666666667,2,3,3,0,2,2,1
caddyserver/caddy,MERGED,26.741944444444446,1,4,2,176,2,0,1
caddyserver/caddy,MERGED,283.67277777777775,7,250,17,700,4,6,2
caddyserver/caddy,MERGED,66.82416666666667,2,6,6,674,3,1,1
caddyserver/caddy,MERGED,298.06944444444446,7,167,20,1809,3,5,8
caddyserver/caddy,MERGED,35.750277777777775,3,37,6,898,2,1,1
caddyserver/caddy,MERGED,6.479444444444445,1,2,4,84,4,1,1
caddyserver/caddy,MERGED,3.6880555555555556,1,5,5,47,3,2,2
caddyserver/caddy,MERGED,84.92972222222222,3,107,1,1339,2,0,1
caddyserver/caddy,MERGED,32.51888888888889,2,29,1,1863,3,1,1
caddyserver/caddy,MERGED,4.51,1,19,1,1356,4,2,3
caddyserver/caddy,MERGED,138.43055555555554,1,2,14,27,4,6,1
caddyserver/caddy,MERGED,1.346111111111111,2,17,2,324,4,2,1
caddyserver/caddy,MERGED,34.658055555555556,1,1,0,402,3,4,1
caddyserver/caddy,MERGED,3.011111111111111,3,60,2,546,1,0,1
caddyserver/caddy,MERGED,481.5675,3,120,11,385,4,1,2
caddyserver/caddy,MERGED,49.21111111111111,6,214,23,278,4,7,3
caddyserver/caddy,MERGED,34.33416666666667,3,12,12,2208,4,1,1
caddyserver/caddy,MERGED,1215.5594444444444,6,303,57,1617,4,19,1
caddyserver/caddy,MERGED,174.55333333333334,3,11,6,114,4,0,6
caddyserver/caddy,MERGED,157.97222222222223,11,19,30,170,5,3,6
caddyserver/caddy,MERGED,283.8513888888889,3,46,1,255,4,4,5
caddyserver/caddy,MERGED,1.573611111111111,1,6,4,739,3,2,1
caddyserver/caddy,MERGED,12.25361111111111,3,24,1,9,3,4,1
caddyserver/caddy,MERGED,208.08666666666667,1,21,0,9,3,1,1
caddyserver/caddy,MERGED,6.864166666666667,1,1,1,41,4,1,1
caddyserver/caddy,MERGED,217.9752777777778,1,2,0,209,4,1,1
caddyserver/caddy,MERGED,1.0480555555555555,1,2,2,41,3,0,1
caddyserver/caddy,MERGED,5.6338888888888885,2,17,5,178,3,1,1
caddyserver/caddy,MERGED,354.7552777777778,1,1,1,329,4,1,1
caddyserver/caddy,MERGED,378.2127777777778,1,12,0,39,4,2,1
caddyserver/caddy,MERGED,22.22222222222222,2,13,12,121,4,1,1
caddyserver/caddy,MERGED,284.40527777777777,4,30,8,544,5,5,13
caddyserver/caddy,CLOSED,156.41972222222222,2,273,360,28393,3,9,2
caddyserver/caddy,MERGED,170.87666666666667,6,15,15,10168,3,9,1
caddyserver/caddy,MERGED,7.365,1,2,12,137,4,1,1
caddyserver/caddy,MERGED,1.4377777777777778,1,1,1,26,4,1,1
caddyserver/caddy,MERGED,1.8663888888888889,1,1,1,0,4,2,2
caddyserver/caddy,MERGED,28.808888888888887,1,2,0,240,5,3,2
caddyserver/caddy,MERGED,3.9897222222222224,2,2,2,23,3,1,1
caddyserver/caddy,MERGED,88.56388888888888,3,203,0,612,3,2,1
caddyserver/caddy,MERGED,42.771388888888886,1,13,0,8,3,2,2
caddyserver/caddy,CLOSED,1027.8772222222221,7,69,81,577,4,6,5
caddyserver/caddy,MERGED,46.52472222222222,26,279,22,327,3,0,2
