repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
clash-verge-rev/clash-verge-rev,CLOSED,8.82,59,1414,1038,13,3,2,5
clash-verge-rev/clash-verge-rev,CLOSED,32.42444444444445,3,5,1,0,4,2,1
clash-verge-rev/clash-verge-rev,MERGED,43.29277777777778,1,80,0,71,2,0,2
clash-verge-rev/clash-verge-rev,MERGED,43.46472222222222,3,45,9,328,2,1,1
clash-verge-rev/clash-verge-rev,MERGED,142.24055555555555,85,1797,3361,161,4,7,2
clash-verge-rev/clash-verge-rev,MERGED,72.7936111111111,3,34,25,82,4,4,2
clash-verge-rev/clash-verge-rev,MERGED,185.81,10,444,164,104,2,3,1
clash-verge-rev/clash-verge-rev,CLOSED,166.23777777777778,1,30,41,0,2,3,1
clash-verge-rev/clash-verge-rev,CLOSED,15.797222222222222,5,53,9,328,2,0,1
clash-verge-rev/clash-verge-rev,MERGED,27.153333333333332,9,241,196,1107,2,4,1
clash-verge-rev/clash-verge-rev,MERGED,5.397777777777778,1,53,22,150,3,0,1
clash-verge-rev/clash-verge-rev,MERGED,133.275,1,22,17,5,2,6,1
clash-verge-rev/clash-verge-rev,MERGED,2.609166666666667,1,1,1,0,2,0,1
clash-verge-rev/clash-verge-rev,MERGED,26.55527777777778,51,782,794,369,3,6,1
clash-verge-rev/clash-verge-rev,MERGED,26.536666666666665,10,205,252,0,3,5,2
clash-verge-rev/clash-verge-rev,MERGED,240.95527777777778,20,772,1377,0,3,7,3
clash-verge-rev/clash-verge-rev,MERGED,12.4925,1,4,4,337,3,0,1
clash-verge-rev/clash-verge-rev,MERGED,6.716666666666667,22,956,879,637,1,0,2
clash-verge-rev/clash-verge-rev,CLOSED,60.22555555555556,2,28,4,16,3,4,2
clash-verge-rev/clash-verge-rev,MERGED,50.471944444444446,47,2125,1807,1025,1,0,2
clash-verge-rev/clash-verge-rev,MERGED,10.309444444444445,49,1270,918,0,1,0,1
clash-verge-rev/clash-verge-rev,CLOSED,15.710833333333333,1,4,4,1222,2,4,1
clash-verge-rev/clash-verge-rev,CLOSED,221.24277777777777,1,9,14,1713,3,1,2
clash-verge-rev/clash-verge-rev,CLOSED,270.8433333333333,1,20,12,66,3,2,1
clash-verge-rev/clash-verge-rev,CLOSED,23.474722222222223,0,0,0,29,2,0,1
clash-verge-rev/clash-verge-rev,CLOSED,18.02638888888889,4,107,3,57,2,0,2
clash-verge-rev/clash-verge-rev,MERGED,1.9716666666666667,2,18,1,527,2,1,2
clash-verge-rev/clash-verge-rev,CLOSED,130.44972222222222,2,36,6,70,4,1,1
clash-verge-rev/clash-verge-rev,MERGED,11.885833333333334,5,366,120,0,3,4,1
clash-verge-rev/clash-verge-rev,CLOSED,411.43416666666667,2,198,0,765,1,2,3
clash-verge-rev/clash-verge-rev,MERGED,11.018611111111111,2,29,11,25,2,1,1
clash-verge-rev/clash-verge-rev,MERGED,246.99944444444444,62,4031,1764,376,1,1,1
clash-verge-rev/clash-verge-rev,CLOSED,415.95416666666665,8,2133,12,2968,3,1,1
clash-verge-rev/clash-verge-rev,CLOSED,8.685277777777777,5,47,11,82,2,0,2
clash-verge-rev/clash-verge-rev,CLOSED,20.40277777777778,2,73,0,141,3,1,3
clash-verge-rev/clash-verge-rev,MERGED,7.116666666666666,10,130,136,495,2,1,3
clash-verge-rev/clash-verge-rev,MERGED,2.7591666666666668,1,7,0,482,2,3,2
clash-verge-rev/clash-verge-rev,MERGED,79.24194444444444,14,472,57,19,2,9,4
