repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
codecrafters-io/build-your-own-x,CLOSED,24.761388888888888,1,0,5,138,3,3,1
codecrafters-io/build-your-own-x,CLOSED,93.49138888888889,2,117,0,0,4,4,1
codecrafters-io/build-your-own-x,CLOSED,2031.9975,1,1,0,316,1,3,1
codecrafters-io/build-your-own-x,CLOSED,917.3480555555556,1,18,1,332,3,4,2
codecrafters-io/build-your-own-x,MERGED,1.1997222222222221,1,1,0,293,2,1,1
codecrafters-io/build-your-own-x,CLOSED,19.529166666666665,2,1,0,97,2,1,1
codecrafters-io/build-your-own-x,CLOSED,1.7066666666666668,1,1,0,193,1,1,1
codecrafters-io/build-your-own-x,CLOSED,673.2169444444445,1,1,1,180,3,2,1
codecrafters-io/build-your-own-x,CLOSED,1174.7955555555557,1,1,1,34,3,0,2
codecrafters-io/build-your-own-x,CLOSED,1829.3041666666666,1,1,0,140,2,1,1
codecrafters-io/build-your-own-x,MERGED,168.81305555555556,1,1,1,12,6,2,3
codecrafters-io/build-your-own-x,CLOSED,54.9325,1,2,0,91,2,0,2
codecrafters-io/build-your-own-x,CLOSED,17.911944444444444,1,1,0,0,3,0,1
codecrafters-io/build-your-own-x,CLOSED,11269.164722222222,1,3,3,31,2,1,1
codecrafters-io/build-your-own-x,CLOSED,125.55527777777777,1,1,0,13,2,0,1
codecrafters-io/build-your-own-x,MERGED,637.1402777777778,1,1,1,142,3,0,1
codecrafters-io/build-your-own-x,MERGED,15.380277777777778,1,1,0,109,2,0,3
codecrafters-io/build-your-own-x,MERGED,7.708611111111111,1,1,0,91,3,1,2
codecrafters-io/build-your-own-x,CLOSED,4901.0,1,1,1,0,3,1,1
codecrafters-io/build-your-own-x,MERGED,39.486666666666665,1,1,0,48,2,1,2
codecrafters-io/build-your-own-x,MERGED,88.36277777777778,1,1,0,11,4,1,1
codecrafters-io/build-your-own-x,CLOSED,4347.466388888889,1,1,0,136,4,0,3
codecrafters-io/build-your-own-x,CLOSED,15553.372222222222,1,1,0,70,2,0,1
codecrafters-io/build-your-own-x,CLOSED,2048.3005555555555,1,1,0,82,2,0,1
codecrafters-io/build-your-own-x,MERGED,98.28583333333333,1,1,1,139,3,1,1
codecrafters-io/build-your-own-x,MERGED,1137.4447222222223,1,1,0,57,3,1,1
codecrafters-io/build-your-own-x,CLOSED,9169.063333333334,1,1,0,83,5,1,4
codecrafters-io/build-your-own-x,MERGED,68.11916666666667,1,1,1,109,3,1,1
codecrafters-io/build-your-own-x,CLOSED,32381.1275,1,131,23,206,2,0,1
codecrafters-io/build-your-own-x,CLOSED,5825.623611111111,1,1,0,68,3,1,1
codecrafters-io/build-your-own-x,MERGED,592.4505555555555,1,0,1,0,3,0,1
codecrafters-io/build-your-own-x,CLOSED,1777.5122222222221,1,1,0,60,2,0,1
codecrafters-io/build-your-own-x,MERGED,19325.106944444444,1,1,0,188,3,0,2
codecrafters-io/build-your-own-x,MERGED,20204.136666666665,1,1,0,573,3,0,1
codecrafters-io/build-your-own-x,CLOSED,10194.914722222222,1,1,0,11,2,0,1
codecrafters-io/build-your-own-x,CLOSED,581.4930555555555,1,3,3,150,3,0,1
codecrafters-io/build-your-own-x,CLOSED,25866.72888888889,1,1,0,173,2,0,1
codecrafters-io/build-your-own-x,CLOSED,31100.29,1,2,2,0,2,0,1
codecrafters-io/build-your-own-x,CLOSED,30451.13111111111,1,1,0,0,2,1,1
codecrafters-io/build-your-own-x,CLOSED,26724.463055555556,1,1,0,0,2,0,1
codecrafters-io/build-your-own-x,CLOSED,9364.3175,1,1,0,0,3,1,1
codecrafters-io/build-your-own-x,CLOSED,46325.88138888889,1,1,0,68,2,1,1
codecrafters-io/build-your-own-x,CLOSED,4655.910555555555,1,1,0,0,3,1,1
codecrafters-io/build-your-own-x,CLOSED,121.39361111111111,1,2,0,244,3,1,1
codecrafters-io/build-your-own-x,MERGED,3.5294444444444446,1,9,1,104,3,1,1
codecrafters-io/build-your-own-x,MERGED,1.4133333333333333,1,2,1,19,2,1,2
codecrafters-io/build-your-own-x,MERGED,22.965833333333332,1,1,0,74,2,1,3
codecrafters-io/build-your-own-x,MERGED,16.123055555555556,1,1,0,0,2,1,1
codecrafters-io/build-your-own-x,CLOSED,26.539444444444445,1,1,0,0,2,1,1
codecrafters-io/build-your-own-x,MERGED,21.7775,1,1,0,193,2,1,3
