repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
coder/code-server,MERGED,22.600833333333334,1,1,1,16,2,1,1
coder/code-server,MERGED,2.341111111111111,1,1,1,16,2,0,1
coder/code-server,MERGED,36.10166666666667,2,2,2,16,2,2,1
coder/code-server,MERGED,26.701666666666668,15,57,57,11,2,5,1
coder/code-server,MERGED,102.5275,2,6,0,74,2,0,1
coder/code-server,MERGED,132.89055555555555,1,2,1,626,2,4,1
coder/code-server,MERGED,33.053333333333335,1,1,1,7,2,0,1
coder/code-server,MERGED,83.16222222222223,1,1,1,16,2,0,1
coder/code-server,MERGED,6.516944444444444,1,1,1,16,2,1,1
coder/code-server,MERGED,20.29222222222222,16,27,27,11,2,1,1
coder/code-server,MERGED,79.12222222222222,2,2,2,1825,1,0,1
coder/code-server,CLOSED,1463.7480555555555,2,26,456,4932,1,1,1
coder/code-server,MERGED,14.5175,1,1,1,16,2,0,1
coder/code-server,MERGED,26.330833333333334,1,1,1,16,2,2,1
coder/code-server,MERGED,8.920833333333333,2,34,16,341,2,0,1
coder/code-server,MERGED,331.3702777777778,1,123,32,1526,1,0,1
coder/code-server,MERGED,429.9538888888889,1,8,7,5961,1,0,1
coder/code-server,MERGED,26.495833333333334,1,1,1,70,2,0,1
coder/code-server,MERGED,37.57972222222222,1,1,1,51,2,0,1
coder/code-server,CLOSED,20.752777777777776,727,79413,30548,2441,2,2,1
coder/code-server,MERGED,111.06055555555555,14,53,63,11,2,9,1
coder/code-server,CLOSED,49.15638888888889,1,47,1,1143,1,1,1
coder/code-server,MERGED,822.5291666666667,1,1,1,1448,1,0,1
coder/code-server,MERGED,343.9683333333333,2,2,2,2996,1,0,1
coder/code-server,MERGED,824.2044444444444,5,7,9,3258,1,1,1
coder/code-server,MERGED,344.1138888888889,2,18,19,4856,1,0,1
coder/code-server,MERGED,823.6975,2,446,76,4802,1,0,1
coder/code-server,MERGED,28.433333333333334,1,1,1,70,2,1,2
coder/code-server,MERGED,11.0625,2,3,3,206,2,0,1
coder/code-server,MERGED,72.21333333333334,28,65,81,11,2,4,1
coder/code-server,MERGED,795.3086111111111,8,471,23,2465,2,6,6
coder/code-server,MERGED,369.58194444444445,1,110,58,5383,1,0,1
coder/code-server,MERGED,369.5936111111111,1,6,4,1528,1,0,1
coder/code-server,MERGED,372.0525,2,23,22,3128,1,0,1
coder/code-server,MERGED,369.865,1,1,1,2873,1,0,1
coder/code-server,MERGED,369.8544444444444,1,1,1,2193,1,0,1
coder/code-server,MERGED,1.1275,1,1,1,16,2,0,1
coder/code-server,MERGED,4.163333333333333,1,1,1,16,2,0,1
coder/code-server,MERGED,3.9627777777777777,20,83,48,11,2,2,1
coder/code-server,MERGED,3.7216666666666667,1,2,1,184,2,3,1
coder/code-server,MERGED,21.995833333333334,4,89,9,69,2,1,2
coder/code-server,MERGED,1.9458333333333333,1,7,1,0,4,3,2
coder/code-server,MERGED,1115.8908333333334,3,5,5,3625,2,5,1
coder/code-server,MERGED,440.5183333333333,2,6,5,2128,2,2,1
coder/code-server,MERGED,127.94388888888889,1,24,24,8132,1,0,1
coder/code-server,MERGED,127.93972222222222,1,5,4,1523,1,0,1
coder/code-server,CLOSED,2112.865277777778,4,71,31,406,2,1,1
coder/code-server,CLOSED,2416.2452777777776,5,69,31,23,3,1,8
coder/code-server,MERGED,3.9994444444444444,1,1,1,16,2,1,1
coder/code-server,MERGED,1.0730555555555557,1,4,3,6077,1,0,1
coder/code-server,MERGED,38.526944444444446,1,2,2,50,2,0,1
coder/code-server,MERGED,8.616111111111111,18,39,39,11,2,2,1
coder/code-server,MERGED,319.0525,1,75,93,2841,1,0,1
coder/code-server,MERGED,319.02555555555557,1,4,3,2443,1,0,1
coder/code-server,MERGED,319.0236111111111,1,96,82,8779,1,0,1
coder/code-server,MERGED,319.0230555555556,1,125,94,4985,1,0,1
coder/code-server,MERGED,319.4241666666667,1,3,3,3261,1,0,1
coder/code-server,MERGED,319.36833333333334,2,2,2,2473,1,0,1
coder/code-server,MERGED,443.37694444444446,6,34,1,187,2,11,1
coder/code-server,MERGED,24.190555555555555,1,1,1,16,2,1,1
coder/code-server,MERGED,36.95805555555555,1,1,1,16,2,0,1
coder/code-server,MERGED,15.027222222222223,11,16,16,11,3,6,1
coder/code-server,MERGED,180.43972222222223,1,4,1,13,2,5,1
coder/code-server,MERGED,5.324166666666667,2,2,2,16,2,2,1
coder/code-server,MERGED,3.08,2,2,2,16,2,1,1
coder/code-server,MERGED,157.36027777777778,1,61,0,132,2,0,1
coder/code-server,MERGED,275.5325,1,1,1,3923,1,0,1
coder/code-server,MERGED,343.58166666666665,3,5,2,11,2,0,1
coder/code-server,MERGED,537.0538888888889,2,19,10,80,2,2,1
coder/code-server,CLOSED,4723.627222222222,6,77,3,50,4,5,1
coder/code-server,MERGED,17.654166666666665,1,1,1,16,2,4,1
coder/code-server,MERGED,679.5683333333334,1,3,3,155,2,0,1
