repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
comfyanonymous/ComfyUI,MERGED,1.9036111111111111,3,194,5,86,3,1,1
comfyanonymous/ComfyUI,MERGED,13.876944444444444,2,32,13,836,3,1,1
comfyanonymous/ComfyUI,MERGED,38.314166666666665,9,88,74,846,2,2,1
comfyanonymous/ComfyUI,MERGED,7.7675,1,1053,1135,603,3,1,1
comfyanonymous/ComfyUI,MERGED,4.029722222222222,1,1,1,753,2,0,1
comfyanonymous/ComfyUI,MERGED,35.528055555555554,1,381,414,135,3,1,1
comfyanonymous/ComfyUI,MERGED,40.474444444444444,4,7,12,325,3,2,1
comfyanonymous/ComfyUI,MERGED,4.135833333333333,1,89,66,3738,3,1,1
comfyanonymous/ComfyUI,MERGED,62.76583333333333,1,3,3,772,3,3,1
comfyanonymous/ComfyUI,MERGED,12.368055555555555,1,465,450,12979,3,1,1
comfyanonymous/ComfyUI,MERGED,14.39861111111111,3,4,50,1294,3,1,1
comfyanonymous/ComfyUI,MERGED,1.226388888888889,1,1,1,450,2,0,1
comfyanonymous/ComfyUI,MERGED,2.9969444444444444,2,0,2,41,3,1,1
comfyanonymous/ComfyUI,MERGED,3.3733333333333335,1,32,18,1039,3,1,1
comfyanonymous/ComfyUI,MERGED,4.926388888888889,1,227,222,343,3,1,1
comfyanonymous/ComfyUI,MERGED,8.446111111111112,2,41,42,46,3,1,1
comfyanonymous/ComfyUI,MERGED,11.534722222222221,1,31,15,1630,3,1,1
comfyanonymous/ComfyUI,MERGED,12.171944444444444,1,39,25,1044,3,1,1
comfyanonymous/ComfyUI,MERGED,7.256666666666667,1,70,46,3634,3,1,1
comfyanonymous/ComfyUI,MERGED,10.074166666666667,2,59,18,823,3,2,1
comfyanonymous/ComfyUI,MERGED,34.46138888888889,2,4,0,85,3,3,1
comfyanonymous/ComfyUI,MERGED,51.52166666666667,1,29,17,1316,3,2,1
comfyanonymous/ComfyUI,MERGED,14.571388888888889,1,16,0,2221,4,1,2
comfyanonymous/ComfyUI,MERGED,18.0325,2,61,0,3579,5,4,1
comfyanonymous/ComfyUI,MERGED,17.858333333333334,2,44,25,2158,3,1,1
comfyanonymous/ComfyUI,MERGED,7.8825,1,1,1,93,3,1,1
comfyanonymous/ComfyUI,MERGED,51.259166666666665,1,35,17,1497,2,2,1
comfyanonymous/ComfyUI,MERGED,3.02,1,1,1,217,2,0,1
comfyanonymous/ComfyUI,MERGED,10.516944444444444,1,148,1,76,3,1,1
comfyanonymous/ComfyUI,MERGED,75.03888888888889,1,234,190,10943,3,2,1
comfyanonymous/ComfyUI,MERGED,28.180555555555557,1,57,40,2443,3,1,1
comfyanonymous/ComfyUI,MERGED,77.0436111111111,1,31,18,1062,3,2,1
comfyanonymous/ComfyUI,MERGED,79.31555555555556,1,34,20,1406,3,2,1
comfyanonymous/ComfyUI,MERGED,36.21888888888889,1,33,17,1495,5,6,1
comfyanonymous/ComfyUI,MERGED,36.134166666666665,1,33,16,786,3,1,1
comfyanonymous/ComfyUI,MERGED,11.497222222222222,1,39,22,1030,3,1,1
comfyanonymous/ComfyUI,MERGED,12.947777777777778,1,62,39,3614,3,1,1
comfyanonymous/ComfyUI,MERGED,13.356666666666667,1,27,17,792,3,1,1
comfyanonymous/ComfyUI,MERGED,102.90861111111111,1,41,30,1023,3,2,1
comfyanonymous/ComfyUI,MERGED,12.513055555555555,1,52,38,2928,4,3,1
comfyanonymous/ComfyUI,MERGED,20.710277777777776,1,536,614,35,3,2,1
comfyanonymous/ComfyUI,MERGED,26.045555555555556,1,397,379,194,3,2,1
comfyanonymous/ComfyUI,MERGED,51.01277777777778,1,33,19,33,3,2,1
comfyanonymous/ComfyUI,MERGED,51.11833333333333,1,46,28,35,3,2,1
comfyanonymous/ComfyUI,MERGED,122.94277777777778,1,6,7,72,2,0,1
comfyanonymous/ComfyUI,CLOSED,202.65805555555556,1,3,1,306,4,4,3
comfyanonymous/ComfyUI,MERGED,172.68194444444444,1,36,25,33,4,1,3
comfyanonymous/ComfyUI,MERGED,291.17083333333335,1,31,18,281,3,3,1
comfyanonymous/ComfyUI,MERGED,183.7861111111111,1,53,35,152,3,4,1
comfyanonymous/ComfyUI,MERGED,176.2675,1,55,40,35,3,1,1
comfyanonymous/ComfyUI,MERGED,177.39416666666668,1,35,19,33,3,1,1
comfyanonymous/ComfyUI,MERGED,178.11944444444444,1,28,23,33,3,1,1
comfyanonymous/ComfyUI,MERGED,179.88694444444445,1,32,18,77,3,1,1
comfyanonymous/ComfyUI,MERGED,173.12833333333333,1,223,0,567,4,0,1
comfyanonymous/ComfyUI,MERGED,9.417222222222222,1,9,1,673,3,0,1
comfyanonymous/ComfyUI,MERGED,3.7516666666666665,1,207,1,56,3,0,2
comfyanonymous/ComfyUI,MERGED,677.4513888888889,1,69,94,0,2,2,1
comfyanonymous/ComfyUI,MERGED,539.5341666666667,1,57,40,365,2,0,1
comfyanonymous/ComfyUI,MERGED,26.921666666666667,16,295,18,326,3,0,1
comfyanonymous/ComfyUI,MERGED,227.95305555555555,1,299,275,422,4,1,3
comfyanonymous/ComfyUI,CLOSED,13.928611111111111,16,295,18,325,2,1,1
comfyanonymous/ComfyUI,MERGED,271.7552777777778,10,770,9,3041,5,12,3
comfyanonymous/ComfyUI,CLOSED,721.0166666666667,1,96,23,296,2,5,2
comfyanonymous/ComfyUI,MERGED,642.1130555555555,1,1,0,488,3,7,1
comfyanonymous/ComfyUI,CLOSED,309.2061111111111,6,376,1,830,3,3,1
