repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
d2l-ai/d2l-zh,CLOSED,1735.2291666666667,2,3,3,124,3,1,1
d2l-ai/d2l-zh,MERGED,12.690277777777778,25,71,156,0,6,2,1
d2l-ai/d2l-zh,MERGED,69.56972222222223,1,1,1,113,3,1,1
d2l-ai/d2l-zh,MERGED,351.18555555555554,1,1,1,40,3,1,1
d2l-ai/d2l-zh,MERGED,1679.9080555555556,0,0,0,0,3,1,1
d2l-ai/d2l-zh,MERGED,41.55111111111111,1,1,1,30,3,1,1
d2l-ai/d2l-zh,MERGED,1884.4394444444445,114,12144,1039,0,8,35,58
d2l-ai/d2l-zh,MERGED,35.17916666666667,1,5,4,62,3,4,4
d2l-ai/d2l-zh,MERGED,35.401666666666664,1,1,1,53,3,2,1
d2l-ai/d2l-zh,MERGED,9.375555555555556,2,11,11,32,2,1,3
d2l-ai/d2l-zh,MERGED,416.14194444444445,9,1286,165,0,4,15,1
d2l-ai/d2l-zh,MERGED,591.5266666666666,1,1,1,68,3,1,1
d2l-ai/d2l-zh,MERGED,953.8911111111111,1,1,1,359,3,3,1
d2l-ai/d2l-zh,MERGED,419.71416666666664,16,2599,271,0,4,6,7
d2l-ai/d2l-zh,MERGED,714.8863888888889,1,1,1,28,3,1,1
d2l-ai/d2l-zh,MERGED,717.2722222222222,2,8,8,14,3,1,1
d2l-ai/d2l-zh,MERGED,535.9247222222223,6,797,17,0,4,6,10
d2l-ai/d2l-zh,MERGED,384.8277777777778,2,2,2,30,3,2,1
d2l-ai/d2l-zh,MERGED,532.1130555555555,16,774,15,0,4,6,9
d2l-ai/d2l-zh,CLOSED,1361.4422222222222,1,15,3,107,4,2,4
d2l-ai/d2l-zh,MERGED,1080.026388888889,10,11,11,15,3,1,1
d2l-ai/d2l-zh,CLOSED,10.991666666666667,2,40,40,23,3,1,1
d2l-ai/d2l-zh,MERGED,3.376388888888889,1,1,1,114,3,1,1
d2l-ai/d2l-zh,MERGED,512.1422222222222,8,949,24,0,4,5,6
d2l-ai/d2l-zh,MERGED,493.9847222222222,10,992,6,0,4,5,1
d2l-ai/d2l-zh,MERGED,518.0283333333333,9,691,8,0,4,10,2
d2l-ai/d2l-zh,CLOSED,172.9922222222222,1,1,1,109,3,1,2
d2l-ai/d2l-zh,MERGED,176.49777777777777,1,1,1,109,3,2,1
d2l-ai/d2l-zh,MERGED,75.63305555555556,1,6,7,207,3,5,3
d2l-ai/d2l-zh,MERGED,8.017222222222221,1,4,4,0,3,1,1
d2l-ai/d2l-zh,MERGED,28.705,1,1,1,0,3,1,1
d2l-ai/d2l-zh,MERGED,470.45722222222224,6,303,7,0,4,9,5
d2l-ai/d2l-zh,MERGED,228.5225,6,489,14,0,3,7,4
d2l-ai/d2l-zh,MERGED,88.15555555555555,9,475,5,0,5,7,4
d2l-ai/d2l-zh,MERGED,381.4125,1,1,1,97,3,1,1
d2l-ai/d2l-zh,MERGED,672.1244444444444,1,9,6,349,3,3,3
d2l-ai/d2l-zh,MERGED,555.7911111111111,1,1,1,14,3,1,1
d2l-ai/d2l-zh,MERGED,307.0447222222222,9,677,14,0,6,26,20
d2l-ai/d2l-zh,CLOSED,4.345,17,6436,5867,0,4,6,1
d2l-ai/d2l-zh,CLOSED,122.48972222222223,21,6570,5867,0,6,9,1
d2l-ai/d2l-zh,MERGED,164.07638888888889,1,1,1,0,3,1,1
d2l-ai/d2l-zh,MERGED,164.13611111111112,1,1,1,0,3,2,1
d2l-ai/d2l-zh,CLOSED,20.130277777777778,1,2529,1,185,4,2,1
d2l-ai/d2l-zh,CLOSED,2473.2863888888887,1,2,2,94,3,2,8
d2l-ai/d2l-zh,CLOSED,3182.842777777778,5,248,3,102,3,1,8
d2l-ai/d2l-zh,MERGED,2918.380277777778,1,1,1,0,4,2,2
d2l-ai/d2l-zh,CLOSED,359.95722222222224,6,334,11,44,4,1,4
d2l-ai/d2l-zh,MERGED,2938.3130555555554,1,1,1,8,4,1,3
d2l-ai/d2l-zh,CLOSED,3207.126388888889,8,431,1,89,5,15,3
d2l-ai/d2l-zh,MERGED,89.82638888888889,1,1,1,59,3,1,1
d2l-ai/d2l-zh,MERGED,1706.2780555555555,1,1,1,0,3,2,2
d2l-ai/d2l-zh,MERGED,1540.1525,1,1,1,40,3,1,1
d2l-ai/d2l-zh,MERGED,238.58944444444444,1,2,2,0,3,1,1
d2l-ai/d2l-zh,MERGED,342.33722222222224,3,18,1,0,5,5,2
d2l-ai/d2l-zh,MERGED,687.005,19,550,31,33,8,7,8
d2l-ai/d2l-zh,CLOSED,671.2816666666666,3,18,1,0,4,7,3
d2l-ai/d2l-zh,MERGED,37.19027777777778,1,5,5,135,3,2,1
d2l-ai/d2l-zh,MERGED,145.3552777777778,5,14,14,45,5,12,3
d2l-ai/d2l-zh,MERGED,3908.4491666666668,1,1,1,389,3,0,2
d2l-ai/d2l-zh,MERGED,3950.343888888889,1,2,2,180,3,1,1
d2l-ai/d2l-zh,MERGED,4263.947777777777,1,2,2,26,3,0,1
d2l-ai/d2l-zh,MERGED,4279.477222222222,1,11,9,272,3,0,1
d2l-ai/d2l-zh,CLOSED,4331.956388888889,1,1,1,23,4,2,1
d2l-ai/d2l-zh,MERGED,155.2877777777778,1,1,1,16,3,1,1
d2l-ai/d2l-zh,MERGED,7.389166666666667,1,2,2,27,3,1,1
d2l-ai/d2l-zh,MERGED,152.88833333333332,1,1,1,244,3,1,1
