repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
d3/d3,MERGED,12.457777777777778,1,1,1,141,2,0,1
d3/d3,MERGED,56.323055555555555,2,2,1,252,3,0,2
d3/d3,MERGED,213.0088888888889,1,1,1,116,2,1,1
d3/d3,MERGED,1.7719444444444445,2,2,1,155,2,3,1
d3/d3,MERGED,9.974444444444444,1,1,1,115,3,0,2
d3/d3,MERGED,4.335833333333333,6,942,480,70,3,3,2
d3/d3,CLOSED,5205.699166666666,1,4,4,524,2,0,1
d3/d3,MERGED,63.77527777777778,1,2,2,132,3,0,2
d3/d3,MERGED,25.391666666666666,1,1,1,0,2,0,1
d3/d3,MERGED,40.47805555555556,1,4,4,201,3,0,1
d3/d3,MERGED,166.8136111111111,2,68,68,469,3,1,1
d3/d3,MERGED,8.901388888888889,1,1,1,70,2,0,1
d3/d3,MERGED,1778.871111111111,1,1,1,0,2,0,1
d3/d3,MERGED,5.5311111111111115,1,4,4,135,2,0,1
d3/d3,CLOSED,3615.1525,1,1,1,0,2,1,1
d3/d3,MERGED,2717.6141666666667,1,1,1,31,2,0,1
d3/d3,MERGED,2.9294444444444445,1,1,1,100,2,0,1
d3/d3,MERGED,37.3575,2,3,3,0,3,0,4
d3/d3,MERGED,1.3733333333333333,3,4,4,120,2,0,1
d3/d3,MERGED,1.2555555555555555,3,3,1537,5,2,0,1
d3/d3,MERGED,2.3422222222222224,1,0,2,0,2,0,1
d3/d3,MERGED,2.7019444444444445,1,16,0,101,2,1,1
d3/d3,MERGED,1.2516666666666667,1,2,2,0,2,0,2
d3/d3,MERGED,1.5080555555555555,2,20,2,12,3,0,1
d3/d3,MERGED,294.31694444444446,1,3,3,109,2,1,1
d3/d3,MERGED,585.5222222222222,18,25,25,26,2,2,1
d3/d3,MERGED,4.945,1,1,1,0,2,0,1
d3/d3,MERGED,38.12444444444444,2,81,30,118,2,4,2
d3/d3,CLOSED,1.7663888888888888,1,3,3,67,2,1,1
d3/d3,MERGED,2.3825,1,14,7,0,2,2,1
d3/d3,MERGED,4.421111111111111,1,1,1,479,3,0,3
d3/d3,MERGED,31.3475,5,155,79,253,2,0,1
d3/d3,MERGED,5.404166666666667,2,2,2,14,2,0,1
d3/d3,MERGED,94.64972222222222,2,83,6,185,2,3,1
d3/d3,MERGED,94.00777777777778,3,67,24,71,2,1,1
d3/d3,MERGED,1.2561111111111112,2,4,4,0,2,0,2
d3/d3,MERGED,7.113888888888889,10,61,79,0,2,0,1
d3/d3,MERGED,1.6702777777777778,15,19,19,100,2,0,2
d3/d3,MERGED,9.117777777777778,46,247,287,0,3,0,2
d3/d3,MERGED,1.1494444444444445,1,48,0,490,2,0,5
d3/d3,MERGED,528.5033333333333,139,19342,136,12,4,2,3
d3/d3,CLOSED,2087.573888888889,5,948,6,415,2,0,1
d3/d3,CLOSED,3921.426111111111,3,62,29,88,2,0,1
d3/d3,MERGED,69.18055555555556,2,4,1,0,2,0,1
d3/d3,MERGED,724.8319444444444,7,1751,1623,437,3,3,3
d3/d3,MERGED,6.508055555555556,1,3,3,94,3,0,2
d3/d3,CLOSED,5409.176666666666,1,5,1,0,5,4,1
d3/d3,CLOSED,5740.09,1,7,1,106,3,1,1
d3/d3,CLOSED,5894.8388888888885,6,160,4,3221,4,3,2
d3/d3,MERGED,6028.635277777777,1,11,8,138,4,0,2
d3/d3,CLOSED,6076.451944444444,4,4,6,210,6,2,3
d3/d3,MERGED,2086.8330555555553,1,23,22,185,6,1,8
