repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
deepseek-ai/DeepSeek-V3,CLOSED,1415.1763888888888,1,1,8,0,2,0,1
deepseek-ai/DeepSeek-V3,CLOSED,761.1925,1,165,0,74,2,5,1
deepseek-ai/DeepSeek-V3,CLOSED,1088.5611111111111,1,2,6,106,3,0,1
deepseek-ai/DeepSeek-V3,CLOSED,1092.3963888888889,1,128,0,0,3,0,1
deepseek-ai/DeepSeek-V3,CLOSED,1288.8469444444445,2,4,0,85,5,2,1
deepseek-ai/DeepSeek-V3,CLOSED,20.71638888888889,1,5,5,86,3,2,1
deepseek-ai/DeepSeek-V3,CLOSED,39.761944444444445,2,8,3,1163,3,2,1
deepseek-ai/DeepSeek-V3,CLOSED,3.5030555555555556,4,357,0,0,2,0,1
deepseek-ai/DeepSeek-V3,CLOSED,18.27027777777778,1,1,0,62,3,0,1
deepseek-ai/DeepSeek-V3,CLOSED,37.73277777777778,1,6,6,5,4,2,1
deepseek-ai/DeepSeek-V3,CLOSED,515.4341666666667,1,3,3,202,7,12,5
deepseek-ai/DeepSeek-V3,CLOSED,105.52694444444444,1,113,107,0,4,1,1
deepseek-ai/DeepSeek-V3,MERGED,85.89861111111111,1,1,1,252,4,0,2
deepseek-ai/DeepSeek-V3,CLOSED,2066.7077777777777,1,28,30,370,3,2,1
deepseek-ai/DeepSeek-V3,CLOSED,689.8125,1,24,0,819,4,4,1
deepseek-ai/DeepSeek-V3,CLOSED,5959.518611111111,4,743,446,4029,5,6,3
deepseek-ai/DeepSeek-V3,CLOSED,184.0288888888889,1,2,2,704,7,4,4
deepseek-ai/DeepSeek-V3,MERGED,181.56472222222223,1,2,2,117,3,0,1
deepseek-ai/DeepSeek-V3,CLOSED,339.805,1,1,1,41,3,0,2
deepseek-ai/DeepSeek-V3,CLOSED,179.67055555555555,1,1,1,20,3,1,1
deepseek-ai/DeepSeek-V3,CLOSED,188.72833333333332,1,1,1,0,3,2,1
deepseek-ai/DeepSeek-V3,CLOSED,56.0125,1,42,26,195,3,1,1
deepseek-ai/DeepSeek-V3,CLOSED,59.501666666666665,5,754,1015,408,2,1,1
deepseek-ai/DeepSeek-V3,CLOSED,201.8863888888889,2,3,3,362,7,2,5
deepseek-ai/DeepSeek-V3,CLOSED,205.12055555555557,1,1,0,0,6,3,1
deepseek-ai/DeepSeek-V3,CLOSED,207.61277777777778,1,17,14,91,6,1,6
deepseek-ai/DeepSeek-V3,MERGED,208.23805555555555,1,12,0,415,11,5,9
deepseek-ai/DeepSeek-V3,CLOSED,209.8475,1,4,4,270,4,3,1
deepseek-ai/DeepSeek-V3,CLOSED,70.70055555555555,1,1,0,8,2,0,1
