repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
denoland/deno,MERGED,1.1058333333333332,7,62,37,25,2,0,1
denoland/deno,MERGED,5.713333333333333,7,224,544,0,2,0,1
denoland/deno,MERGED,31.175,1,1,0,14,4,2,1
denoland/deno,MERGED,25.315277777777776,3,18,3,100,2,0,1
denoland/deno,MERGED,66.70777777777778,1,94,2,46,2,0,6
denoland/deno,MERGED,103.32555555555555,1,2,2,208,2,0,1
denoland/deno,MERGED,22.3375,2,49,60,363,2,0,1
denoland/deno,MERGED,14.875555555555556,2,10,2,13,2,2,1
denoland/deno,MERGED,10.530277777777778,1,1,0,0,2,0,1
denoland/deno,MERGED,2.638888888888889,10,60,10,13,3,0,3
denoland/deno,MERGED,5.373333333333333,52,167,142,278,2,0,1
denoland/deno,MERGED,1.2138888888888888,5,31,11,127,2,0,2
denoland/deno,MERGED,1.6233333333333333,24,41,41,0,2,0,1
denoland/deno,MERGED,24.76361111111111,1,8,1,0,3,0,2
denoland/deno,MERGED,1.2555555555555555,1,30,16,0,2,0,1
denoland/deno,MERGED,22.099444444444444,6,398,86,89,3,0,4
denoland/deno,MERGED,2.1130555555555555,4,96,36,40,2,0,2
denoland/deno,MERGED,83.92277777777778,3,54,15,129,3,0,1
denoland/deno,MERGED,66.055,5,154,1,12,2,0,2
denoland/deno,MERGED,16.837777777777777,5,37,39,25,2,0,2
denoland/deno,MERGED,1.511111111111111,3,42,4,0,2,0,1
denoland/deno,MERGED,6.933888888888889,3,11,9,36,2,0,1
denoland/deno,MERGED,9.129722222222222,7,103,12,45,2,0,1
denoland/deno,MERGED,39.470555555555556,1,23,0,0,2,0,1
denoland/deno,MERGED,120.12805555555556,13,639,467,504,2,0,1
denoland/deno,MERGED,115.69277777777778,2,46,13,408,2,1,2
denoland/deno,MERGED,4.513055555555556,3,111,24,12,2,0,1
denoland/deno,MERGED,5.384722222222222,34,542,270,274,3,0,3
denoland/deno,MERGED,3.1527777777777777,1,2,1,13,2,1,1
denoland/deno,MERGED,13.713888888888889,4,55,59,185,2,0,1
denoland/deno,MERGED,1.1375,52,166,142,279,2,0,1
denoland/deno,MERGED,6.581388888888889,4,71,23,264,2,0,1
denoland/deno,MERGED,9.095277777777778,12,14,22,36,2,0,1
denoland/deno,MERGED,1.6625,59,679,1313,0,2,0,3
denoland/deno,MERGED,76.56083333333333,10,435,1,1685,2,0,5
denoland/deno,MERGED,1.7233333333333334,6,44,3,13,2,0,1
denoland/deno,MERGED,10.366666666666667,1,4,4,1266,3,0,1
denoland/deno,MERGED,24.137777777777778,2,37,0,0,3,2,1
denoland/deno,MERGED,1.0991666666666666,1,1,1,179,2,0,1
denoland/deno,MERGED,1.561388888888889,4,27,11,168,2,0,1
denoland/deno,MERGED,23.641944444444444,20,425,178,712,2,0,3
denoland/deno,MERGED,42.22888888888889,3,162,34,362,3,0,3
denoland/deno,MERGED,83.34,6,974,207,43,4,0,4
denoland/deno,MERGED,52.77722222222222,7,69,6,180,2,0,1
denoland/deno,MERGED,236.56055555555557,18,58,85,0,4,0,5
denoland/deno,MERGED,72.00166666666667,5,73,35,184,2,0,1
denoland/deno,MERGED,98.84666666666666,3,156,18,13,3,0,3
denoland/deno,MERGED,150.93472222222223,3,22,16,0,3,0,1
denoland/deno,MERGED,2.5180555555555557,5,16,56,103,2,0,1
denoland/deno,MERGED,43.68,7,18,24,106,2,0,1
denoland/deno,MERGED,1.5733333333333333,3,63,2,182,2,0,1
denoland/deno,MERGED,27.307222222222222,5,55,33,212,2,0,1
denoland/deno,MERGED,2.8025,1,4,3,0,2,0,1
denoland/deno,MERGED,13.248611111111112,5,7,4,41,2,0,1
denoland/deno,MERGED,120.51472222222222,14,478,22,730,2,0,3
denoland/deno,MERGED,184.01333333333332,5,36,14,12,2,0,1
denoland/deno,MERGED,1.0252777777777777,2,23,13,38,2,1,1
denoland/deno,MERGED,2.5011111111111113,3,38,7,12,3,0,2
denoland/deno,MERGED,2.113611111111111,52,167,142,281,2,0,1
denoland/deno,MERGED,2.92,1,1,1,53,2,0,1
denoland/deno,MERGED,16.759722222222223,2,3,3,21,2,1,1
denoland/deno,MERGED,40.20916666666667,13,503,342,338,2,1,1
denoland/deno,MERGED,18.700277777777778,4,33,14,13,2,0,1
denoland/deno,MERGED,4.361111111111111,13,467,639,75,2,0,1
denoland/deno,MERGED,1.1294444444444445,1,5,0,108,2,0,1
denoland/deno,CLOSED,6.615555555555556,1,1,4,462,2,12,1
denoland/deno,MERGED,4.624722222222222,3,43,29,13,2,0,1
denoland/deno,MERGED,45.46861111111111,2,29,29,0,2,0,1
denoland/deno,MERGED,3.9541666666666666,4,46,4,13,2,0,2
denoland/deno,MERGED,1.6733333333333333,2,22,3,12,2,0,1
denoland/deno,MERGED,16.336388888888887,1,1,1,10,2,0,1
denoland/deno,MERGED,32.004444444444445,2,15,1,13,2,0,1
denoland/deno,MERGED,66.2725,3,37,1,122,2,0,3
denoland/deno,MERGED,66.60194444444444,2,3,1,105,2,0,1
denoland/deno,MERGED,71.48277777777778,4,207,138,489,2,0,1
denoland/deno,MERGED,74.99,7,141,17,51,2,0,1
denoland/deno,MERGED,17.755555555555556,11,464,224,414,3,0,2
denoland/deno,MERGED,1.0216666666666667,3,28,6,156,2,0,1
denoland/deno,MERGED,26.54388888888889,19,125,47,238,2,0,1
denoland/deno,MERGED,309.8516666666667,3,54,13,55,3,1,3
denoland/deno,MERGED,388.0447222222222,2,4,4,90,2,0,2
denoland/deno,MERGED,2.1616666666666666,4,20,0,25,2,0,1
denoland/deno,MERGED,1.15,1,3,1,36,2,0,1
denoland/deno,MERGED,26.823888888888888,6,541,344,133,2,0,2
denoland/deno,MERGED,1.0516666666666667,52,238,142,280,2,0,1
denoland/deno,MERGED,1.7577777777777779,3,121,23,13,2,0,1
denoland/deno,MERGED,3.144722222222222,2,175,20,13,2,0,1
denoland/deno,MERGED,215.32333333333332,8,249,65,145,3,3,2
denoland/deno,MERGED,45.84638888888889,6,85,35,87,2,0,1
denoland/deno,MERGED,1.8441666666666667,2,4,4,0,2,0,1
denoland/deno,MERGED,1.6094444444444445,1,27,25,130,2,0,1
denoland/deno,MERGED,1.193888888888889,1,4,4,0,2,0,2
denoland/deno,CLOSED,16.423055555555557,1,6,2,256,1,0,1
denoland/deno,MERGED,17.52027777777778,1,1,14,9,2,0,2
denoland/deno,MERGED,11.251944444444444,42,42,42,74,2,0,1
denoland/deno,MERGED,6.908888888888889,3,33,1,289,2,0,1
denoland/deno,MERGED,4.420833333333333,6,35,28,0,2,0,4
denoland/deno,MERGED,5.218055555555556,2,5,4,114,2,0,1
denoland/deno,MERGED,179.7975,13,639,467,733,2,1,3
denoland/deno,MERGED,463.50194444444446,2,75,1,281,2,0,1
denoland/deno,MERGED,9.39638888888889,2,64,23,98,2,0,1
denoland/deno,MERGED,71.74555555555555,53,713,321,125,3,1,3
denoland/deno,MERGED,74.16027777777778,15,268,41,356,3,1,3
denoland/deno,MERGED,2.569166666666667,1,2,1,103,2,0,1
denoland/deno,MERGED,1.6691666666666667,21,81,7,13,2,0,1
denoland/deno,MERGED,84.77722222222222,65,358,186,1153,2,2,1
denoland/deno,MERGED,353.1086111111111,16,460,816,224,2,0,3
denoland/deno,MERGED,2.7622222222222224,7,40,38,317,3,2,1
denoland/deno,MERGED,3.3344444444444443,1,55,19,95,3,0,3
denoland/deno,MERGED,34.3075,14,277,45,59,2,0,2
denoland/deno,MERGED,61.996944444444445,6,267,100,292,2,1,2
denoland/deno,MERGED,15.016666666666667,17,28878,14423,22,3,0,2
denoland/deno,MERGED,3.826111111111111,14,95,25,465,2,0,1
denoland/deno,MERGED,41.481944444444444,4,65,11,13,4,0,4
denoland/deno,MERGED,12.826944444444445,4,5,25,37,2,0,1
denoland/deno,MERGED,1.985,4,449,358,121,2,0,1
denoland/deno,MERGED,7.4558333333333335,3,89,6,279,2,0,1
denoland/deno,MERGED,180.83916666666667,6,40,56,282,3,5,3
denoland/deno,MERGED,53.1425,4,105,71,1055,1,0,2
denoland/deno,MERGED,182.02083333333334,10,338,49,247,2,0,7
denoland/deno,MERGED,56.06666666666667,3,155,113,283,2,0,1
denoland/deno,MERGED,93.27583333333334,2,17,39,3860,1,0,1
denoland/deno,MERGED,1.5825,12,285,323,192,2,0,1
denoland/deno,MERGED,119.03222222222222,21,133,122,32,3,0,3
denoland/deno,MERGED,150.67833333333334,5,103,55,547,2,0,1
denoland/deno,MERGED,120.11194444444445,5,125,7,356,4,0,6
denoland/deno,MERGED,6.786111111111111,35,437,73,339,2,0,1
denoland/deno,MERGED,19.066111111111113,3,92,120,79,2,1,6
denoland/deno,MERGED,3.1625,1,22,7,314,2,0,5
denoland/deno,MERGED,88.83833333333334,1,4,10,114,3,0,3
denoland/deno,MERGED,23.172777777777778,8,49,15,311,3,0,3
denoland/deno,MERGED,6.935277777777777,3,161,78,283,2,0,1
denoland/deno,MERGED,17.13861111111111,12,32,41,13,2,0,1
denoland/deno,MERGED,3.2888888888888888,3,28,11,37,2,0,2
denoland/deno,MERGED,325.06194444444446,12,125,105,30,2,0,1
denoland/deno,MERGED,147.52333333333334,2,9,1,1305,2,0,3
denoland/deno,CLOSED,148.0263888888889,2,7,2,1323,2,1,3
denoland/deno,MERGED,14.715555555555556,4,26,3,13,3,0,2
denoland/deno,MERGED,42.34638888888889,15,279,14,312,3,0,3
denoland/deno,MERGED,19.2525,18,169,43,36,2,0,1
denoland/deno,MERGED,13.505555555555556,7,29,30,13,2,0,2
denoland/deno,MERGED,2.71,2,4,2,0,2,0,3
denoland/deno,MERGED,2.569722222222222,2,48,0,13,2,0,1
denoland/deno,MERGED,1.548888888888889,5,37,6,13,2,0,1
denoland/deno,MERGED,357.16194444444443,2,24,0,1149,3,1,7
denoland/deno,MERGED,48.924166666666665,6,63,23,215,3,0,7
denoland/deno,MERGED,219.14333333333335,24,857,30,347,3,0,2
