repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
django/django,MERGED,14.289166666666667,1,4,0,552,2,1,1
django/django,MERGED,23.244444444444444,1,6,5,0,2,1,2
django/django,MERGED,6.886666666666667,2,6,7,989,2,1,2
django/django,MERGED,9.808333333333334,13,32,30,12,3,4,1
django/django,MERGED,3.9183333333333334,1,1,0,2582,3,1,2
django/django,MERGED,1.1147222222222222,1,2,2,0,3,0,2
django/django,MERGED,30.951944444444443,1,3,1,141,3,2,2
django/django,MERGED,34.202777777777776,1,1,0,2401,3,1,2
django/django,MERGED,40.28,2,9,3,615,4,2,5
django/django,MERGED,193.45833333333334,1,2,2,126,3,1,3
django/django,MERGED,147.96444444444444,4,1267,4,730,2,0,6
django/django,MERGED,18.595833333333335,1,6,12,520,3,3,5
django/django,MERGED,8.195555555555556,1,2,2,139,2,1,1
django/django,CLOSED,1.0983333333333334,1,4,0,1193,3,0,7
django/django,MERGED,17.82777777777778,1,11,11,34,2,1,2
django/django,MERGED,154.95055555555555,1,9,1,935,3,0,12
django/django,MERGED,4.840277777777778,3,9,9,0,2,1,1
django/django,MERGED,22.739444444444445,1,2,8,144,2,0,1
django/django,MERGED,6.595555555555555,1,26,14,58,2,0,1
django/django,MERGED,187.1525,3,31,6,939,3,0,9
django/django,MERGED,17.319166666666668,1,1,0,276,4,1,2
django/django,MERGED,12.000277777777777,2,225,193,201,2,0,1
django/django,MERGED,11.697222222222223,129,1510,1322,339,2,0,1
django/django,MERGED,3.0613888888888887,15,37,356,510,4,0,15
django/django,MERGED,308.765,4,54,7,518,2,1,2
django/django,MERGED,120.96861111111112,2,12,2,453,2,0,1
django/django,MERGED,14.93361111111111,2,137,220,0,3,1,9
django/django,MERGED,13.60361111111111,3,24,4,235,3,2,10
django/django,CLOSED,9.402222222222223,2,9,2,98,3,1,3
django/django,MERGED,9.98638888888889,2,42,18,323,2,0,3
django/django,MERGED,57.47888888888889,7,19,17,156,5,2,4
django/django,MERGED,126.16277777777778,1,4,1,551,2,0,1
django/django,MERGED,231.8736111111111,6,64,0,957,4,8,4
django/django,MERGED,15.607222222222223,1,1,1,16,3,1,1
django/django,MERGED,331.3641666666667,2,27,0,539,5,3,14
django/django,MERGED,4.652222222222222,13,45,45,0,2,4,1
django/django,MERGED,95.8125,4,66,5,539,3,2,9
django/django,MERGED,256.4,2,11,1,760,4,4,3
django/django,MERGED,126.20333333333333,2,58,5,495,2,3,2
django/django,MERGED,337.5102777777778,5,369,16,636,5,1,10
django/django,CLOSED,51.4075,7,23,23,600,3,4,1
django/django,MERGED,173.40722222222223,3,17,3,500,3,1,3
django/django,CLOSED,68.77194444444444,1,33,6,919,3,2,1
django/django,CLOSED,65.70833333333333,3,26,1,1284,2,4,3
django/django,MERGED,218.80638888888888,58,332,765,115,3,0,1
django/django,MERGED,329.7291666666667,2,30,1,1202,2,0,2
django/django,CLOSED,122.26777777777778,4,21,0,663,2,5,1
django/django,MERGED,3.578611111111111,1,5,0,642,2,1,1
django/django,CLOSED,11.153888888888888,1,2,2,923,2,1,1
django/django,CLOSED,10.095555555555556,10,68,0,597,2,1,1
django/django,MERGED,188.11194444444445,1,1,1,0,2,0,1
django/django,MERGED,162.37972222222223,3,38,5,607,3,0,4
django/django,MERGED,1.2252777777777777,1,4,2,546,2,0,1
django/django,CLOSED,151.35972222222222,1,17,17,545,4,1,2
django/django,MERGED,4.135833333333333,2,5,2,530,2,1,1
django/django,CLOSED,508.3441666666667,1,1,2,713,2,2,1
django/django,MERGED,5.710277777777778,1,13,1,611,3,0,2
django/django,MERGED,263.73027777777776,1,52,64,711,3,4,5
django/django,MERGED,342.87583333333333,1,14,14,610,3,1,3
django/django,MERGED,11.616388888888888,1,1,1,0,3,0,2
django/django,MERGED,47.01861111111111,2,173,157,544,3,1,3
django/django,MERGED,662.2716666666666,2,5,3,523,3,0,3
django/django,MERGED,50.51222222222222,3,17,1,969,3,6,1
django/django,CLOSED,1.6291666666666667,1,1,0,110,2,2,1
django/django,MERGED,599.6913888888889,2,60,0,597,2,2,4
django/django,MERGED,576.4302777777777,3,19,2,438,3,0,3
django/django,MERGED,483.8519444444444,2,10,6,630,2,0,1
django/django,MERGED,411.25111111111113,4,68,5,438,4,13,20
django/django,MERGED,3.414722222222222,3,5,3,157,2,0,1
django/django,MERGED,171.4272222222222,1,2,1,76,4,12,2
django/django,MERGED,7.8405555555555555,1,2,2,120,3,7,2
django/django,MERGED,2.2491666666666665,1,10,4,0,2,4,1
django/django,MERGED,6.307777777777778,1,3,11,533,3,2,1
django/django,MERGED,2.9316666666666666,1,1,2,138,2,1,1
django/django,MERGED,38.193888888888885,3,7,5,438,2,1,3
django/django,MERGED,76.74472222222222,3,15,2,726,2,1,2
django/django,MERGED,21.17111111111111,9,28,48,60,4,2,2
django/django,MERGED,27.030833333333334,1,5,2,631,3,6,2
django/django,MERGED,27.25138888888889,1,2,1,399,2,0,1
django/django,MERGED,20.659444444444443,1,1,0,118,2,0,1
django/django,MERGED,65.1438888888889,43,124,101,438,3,6,1
django/django,MERGED,122.79972222222223,3,33,4,515,4,2,12
django/django,MERGED,59.217777777777776,1,2,1,521,2,0,1
django/django,CLOSED,550.4972222222223,1,2,1,2809,3,1,2
django/django,MERGED,248.86666666666667,1,41,7,1490,2,4,2
django/django,CLOSED,76.71222222222222,1,1,1,539,2,1,1
django/django,MERGED,245.03083333333333,1,0,3,21,3,0,1
django/django,MERGED,2.6036111111111113,1,1,1,3849,2,0,1
django/django,MERGED,2.796666666666667,3,21,3,89,2,0,1
django/django,MERGED,188.835,2,187,10,516,3,2,3
django/django,MERGED,194.31333333333333,2,31,4,588,2,1,3
django/django,MERGED,2.3869444444444445,1,4,4,183,2,1,2
django/django,MERGED,86.99972222222222,1,3,5,187,2,0,1
django/django,MERGED,10.30861111111111,1,2,2,45,2,0,1
django/django,MERGED,403.5388888888889,26,114,252,108,3,1,25
django/django,MERGED,67.1275,4,10,10,21,3,5,2
django/django,MERGED,4.403888888888889,3,3,3,522,2,1,2
django/django,MERGED,364.82138888888886,4,301,95,1044,5,3,9
django/django,MERGED,21.995277777777776,2,6,2,556,3,0,2
django/django,MERGED,55.364444444444445,2,26,12,563,2,2,2
django/django,MERGED,76.72333333333333,1,6,14,563,2,3,1
django/django,MERGED,2.1416666666666666,1,1,1,375,2,0,1
django/django,MERGED,165.00083333333333,9,48,24,662,5,3,11
django/django,MERGED,161.37972222222223,2,4,3,694,2,0,1
django/django,MERGED,250.32305555555556,3,18,3,566,2,2,4
django/django,MERGED,146.76666666666668,1,2,2,72,2,0,3
django/django,CLOSED,265.35583333333335,3,55,7,527,3,2,5
django/django,CLOSED,37.63638888888889,1,2,2,1343,2,1,1
django/django,MERGED,219.49833333333333,5,26,11,564,2,0,3
django/django,MERGED,116.03472222222223,1,17,27,589,2,1,1
