repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
donnemartin/system-design-primer,CLOSED,1323.1497222222222,1,1,1,291,3,1,1
donnemartin/system-design-primer,MERGED,3403.787222222222,4,27,27,506,2,1,1
donnemartin/system-design-primer,MERGED,128.12444444444444,1,2,2,199,2,0,1
donnemartin/system-design-primer,CLOSED,713.8138888888889,1,1838,0,769,7,6,3
donnemartin/system-design-primer,MERGED,1549.1863888888888,4,8,8,0,3,0,2
donnemartin/system-design-primer,CLOSED,2984.851388888889,2,10,0,291,2,0,1
donnemartin/system-design-primer,CLOSED,3264.369166666667,1,1,1,126,3,0,2
donnemartin/system-design-primer,CLOSED,15428.308333333332,1,22,23,327,3,0,1
donnemartin/system-design-primer,MERGED,179.93,1,5,5,353,2,1,1
donnemartin/system-design-primer,CLOSED,18343.909444444445,1,2,2,291,3,0,1
donnemartin/system-design-primer,MERGED,512.6225,1,1,1,291,3,1,2
donnemartin/system-design-primer,MERGED,171.035,1,1,1,291,2,1,1
donnemartin/system-design-primer,CLOSED,15251.514166666666,1,2,0,291,2,0,1
donnemartin/system-design-primer,CLOSED,15370.613333333333,1,1,1,291,3,1,1
donnemartin/system-design-primer,CLOSED,8997.188055555556,1,1,0,164,3,0,1
donnemartin/system-design-primer,MERGED,19.683611111111112,1,1,1,10,2,1,1
donnemartin/system-design-primer,MERGED,141.21333333333334,3,3,3,0,3,3,1
donnemartin/system-design-primer,MERGED,651.8033333333333,1,1,1,291,3,1,1
donnemartin/system-design-primer,CLOSED,10008.531111111111,54,0,0,195,7,5,4
donnemartin/system-design-primer,MERGED,1237.4655555555555,4,4,4,61,2,1,1
donnemartin/system-design-primer,CLOSED,25379.516944444444,1,1,1,140,3,0,1
donnemartin/system-design-primer,MERGED,910.3177777777778,4,4,4,365,2,1,1
donnemartin/system-design-primer,MERGED,27634.328055555554,4,4,0,105,3,2,1
donnemartin/system-design-primer,CLOSED,20096.549444444445,1,1853,0,291,4,0,2
donnemartin/system-design-primer,CLOSED,20164.744444444445,1,18,0,428,4,2,2
donnemartin/system-design-primer,MERGED,1815.2416666666666,1,1,1,143,3,1,2
donnemartin/system-design-primer,MERGED,320.4869444444444,1,1,1,112,2,1,1
donnemartin/system-design-primer,MERGED,544.7072222222222,4,4,4,429,2,0,1
donnemartin/system-design-primer,MERGED,1167.0816666666667,1,1,1,28,2,1,1
donnemartin/system-design-primer,CLOSED,31986.01388888889,0,0,0,303,2,0,1
donnemartin/system-design-primer,MERGED,486.21416666666664,1,2,2,271,2,1,1
donnemartin/system-design-primer,MERGED,173.09527777777777,1,1,1,36,3,2,1
donnemartin/system-design-primer,MERGED,409.7913888888889,1,0,0,291,2,3,2
donnemartin/system-design-primer,MERGED,132.11416666666668,1,1,0,10,2,1,1
donnemartin/system-design-primer,MERGED,11.857222222222223,1,1,1,28,3,1,1
donnemartin/system-design-primer,MERGED,22.30666666666667,2,3,3,72,2,1,1
donnemartin/system-design-primer,MERGED,114.95916666666666,1,1,0,0,2,3,2
donnemartin/system-design-primer,CLOSED,359.4222222222222,4,4,4,63,3,2,1
donnemartin/system-design-primer,CLOSED,582.3344444444444,1,1,1,222,3,4,10
donnemartin/system-design-primer,MERGED,994.2130555555556,1,1,1,164,2,1,1
donnemartin/system-design-primer,MERGED,1147.8908333333334,1,1,0,85,2,1,1
donnemartin/system-design-primer,MERGED,398.76666666666665,1,4,4,148,2,1,1
donnemartin/system-design-primer,MERGED,1493.2486111111111,1,8,8,0,2,1,1
donnemartin/system-design-primer,CLOSED,1740.9161111111111,1,4,0,94,8,1,4
donnemartin/system-design-primer,MERGED,1674.0833333333333,1,15,1,44,3,3,2
donnemartin/system-design-primer,MERGED,1853.8291666666667,1,1,1,150,2,1,1
donnemartin/system-design-primer,MERGED,2047.9316666666666,1,1,0,66,4,3,1
donnemartin/system-design-primer,MERGED,1904.3555555555556,1,1,1,0,3,1,2
donnemartin/system-design-primer,MERGED,2005.6716666666666,1,2,2,39,3,1,2
donnemartin/system-design-primer,MERGED,2231.9383333333335,1,1,1,0,2,1,1
donnemartin/system-design-primer,CLOSED,9071.47138888889,1,1,1,19,4,4,1
donnemartin/system-design-primer,MERGED,2708.686111111111,1,0,0,0,1,0,1
donnemartin/system-design-primer,MERGED,473.3102777777778,9,2525,10,13,8,2,1
donnemartin/system-design-primer,MERGED,272.4225,9,1458,1466,0,8,4,1
donnemartin/system-design-primer,MERGED,44.89805555555556,1,1,1,41,1,1,1
donnemartin/system-design-primer,MERGED,60.923611111111114,1,2,2,144,2,1,1
donnemartin/system-design-primer,MERGED,4258.0841666666665,1,1,1,152,3,1,2
donnemartin/system-design-primer,MERGED,966.1188888888889,1,1,1,0,2,1,1
donnemartin/system-design-primer,MERGED,17.099444444444444,1,1,1,266,2,1,1
donnemartin/system-design-primer,MERGED,5101.093055555555,4,4,4,174,3,1,2
donnemartin/system-design-primer,CLOSED,5660.237777777777,1,2,2,100,3,1,2
donnemartin/system-design-primer,CLOSED,97.5736111111111,0,0,0,4,2,0,1
donnemartin/system-design-primer,CLOSED,217.38888888888889,1,4,4,0,2,0,1
donnemartin/system-design-primer,MERGED,7260.325277777778,1,2,3,0,4,2,5
donnemartin/system-design-primer,MERGED,7314.820833333333,1,2,2,107,2,1,1
donnemartin/system-design-primer,MERGED,2378.512222222222,1,1,1,66,3,1,2
donnemartin/system-design-primer,MERGED,7300.89,1,1,1,0,2,1,1
donnemartin/system-design-primer,MERGED,8334.63,1,1,1,131,4,1,3
donnemartin/system-design-primer,MERGED,511.6622222222222,1,1,1,259,3,2,2
donnemartin/system-design-primer,MERGED,511.67583333333334,1,1,1,211,3,2,2
donnemartin/system-design-primer,MERGED,511.68416666666667,1,1,1,120,3,2,2
donnemartin/system-design-primer,MERGED,3443.7125,1,11,11,56,3,3,3
donnemartin/system-design-primer,MERGED,609.05,1,1,1,633,3,1,2
donnemartin/system-design-primer,MERGED,574.9116666666666,1,1,1,101,3,1,2
donnemartin/system-design-primer,MERGED,622.1672222222222,1,1,1,156,4,3,2
donnemartin/system-design-primer,MERGED,622.3533333333334,1,1,1,104,3,1,2
donnemartin/system-design-primer,MERGED,692.0341666666667,1,2,2,190,3,2,2
donnemartin/system-design-primer,MERGED,9054.52861111111,1,3,3,212,5,2,4
donnemartin/system-design-primer,MERGED,412.8022222222222,1,1,1,711,3,3,1
donnemartin/system-design-primer,MERGED,113.33027777777778,1,1,1,0,2,1,1
