repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
doocs/advanced-java,MERGED,14.313333333333333,1,1,1,17,10,9,2
doocs/advanced-java,CLOSED,152.47722222222222,1,4,3,2295,1,2,1
doocs/advanced-java,CLOSED,481.4225,1,78,78,37,11,10,1
doocs/advanced-java,MERGED,54.925,1,7,7,2089,1,0,1
doocs/advanced-java,MERGED,4.033888888888889,1,6,6,1817,2,1,1
doocs/advanced-java,MERGED,2.9516666666666667,1,1,1,83,2,0,1
doocs/advanced-java,MERGED,1.106111111111111,2,9,0,71,2,3,1
doocs/advanced-java,MERGED,18.32611111111111,3,45,0,12,2,3,1
doocs/advanced-java,MERGED,4.177222222222222,2,40,7,16,2,0,1
doocs/advanced-java,MERGED,11.581388888888888,7,96,0,28,1,0,1
doocs/advanced-java,MERGED,6.5125,2,9,9,52,2,0,1
doocs/advanced-java,MERGED,20.29,17,120,0,72,3,3,2
doocs/advanced-java,MERGED,12.14638888888889,1,1,1,0,2,0,1
doocs/advanced-java,MERGED,10.618333333333334,1,5,2,37,2,1,1
doocs/advanced-java,MERGED,87.56111111111112,3,644,3,55,2,0,1
doocs/advanced-java,MERGED,42.20333333333333,1,102,0,23,2,2,2
doocs/advanced-java,MERGED,72.77027777777778,1,204,0,8,2,0,1
doocs/advanced-java,MERGED,1.9166666666666667,1,13,13,56,2,0,1
doocs/advanced-java,MERGED,12.647222222222222,2,81,0,14,1,1,1
doocs/advanced-java,CLOSED,664.5877777777778,1,21,0,0,2,2,1
