repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
elastic/elasticsearch,MERGED,1.445,1,0,74,162,3,1,1
elastic/elasticsearch,MERGED,1.1588888888888889,2,2,2,179,3,2,1
elastic/elasticsearch,MERGED,1.6175,2,10,18,115,4,3,1
elastic/elasticsearch,MERGED,6.758333333333334,2,1,6,380,3,1,1
elastic/elasticsearch,MERGED,20.69472222222222,4,252,222,13,3,3,3
elastic/elasticsearch,MERGED,18.916666666666668,19,91,73,0,5,5,13
elastic/elasticsearch,MERGED,1.4475,1,1,1,101,3,0,1
elastic/elasticsearch,MERGED,16.876944444444444,4,166,77,568,3,3,1
elastic/elasticsearch,MERGED,5.938611111111111,9,85,10,74,4,6,11
elastic/elasticsearch,MERGED,25.98777777777778,2,29,0,405,4,6,13
elastic/elasticsearch,MERGED,3.536111111111111,6,344,84,402,3,2,2
elastic/elasticsearch,MERGED,4.051111111111111,1,1,1,39,3,2,1
elastic/elasticsearch,CLOSED,19.595,3,39,27,980,4,6,1
elastic/elasticsearch,MERGED,26.825833333333332,5,85,6,127,4,2,5
elastic/elasticsearch,MERGED,2.356388888888889,2,35,66,142,4,1,4
elastic/elasticsearch,MERGED,18.22138888888889,5,6,102,361,3,2,1
elastic/elasticsearch,MERGED,19.87638888888889,5,20,17,80,2,3,1
elastic/elasticsearch,MERGED,27.00888888888889,14,805,52,104,4,1,5
elastic/elasticsearch,MERGED,5.391111111111111,6,67,428,179,3,2,1
elastic/elasticsearch,MERGED,1.2219444444444445,27,31,197,8,3,1,1
elastic/elasticsearch,MERGED,22.61277777777778,4,5,15,80,2,3,1
elastic/elasticsearch,MERGED,2.2175,5,84,78,24,5,3,3
elastic/elasticsearch,MERGED,19.118055555555557,1,1,0,30,3,3,1
elastic/elasticsearch,MERGED,28.151666666666667,2,6,2,116,3,2,1
elastic/elasticsearch,MERGED,27.297777777777778,3,7,2,272,3,4,1
elastic/elasticsearch,MERGED,2.0241666666666664,2,7,14,349,3,1,5
elastic/elasticsearch,MERGED,1.1233333333333333,1,1,0,0,3,1,1
elastic/elasticsearch,MERGED,48.30305555555555,11,125,154,716,4,1,4
elastic/elasticsearch,MERGED,36.52111111111111,2,24,30,691,3,1,1
elastic/elasticsearch,MERGED,40.36277777777778,9,103,24,1201,3,3,3
elastic/elasticsearch,MERGED,34.59527777777778,4,62,1,252,3,3,1
elastic/elasticsearch,MERGED,54.19305555555555,17,358,224,187,4,4,8
elastic/elasticsearch,MERGED,13.90638888888889,3,153,1,1312,4,4,8
elastic/elasticsearch,MERGED,74.28472222222223,8,99,61,33,4,1,7
elastic/elasticsearch,MERGED,64.3711111111111,9,331,189,212,5,1,4
elastic/elasticsearch,MERGED,1.0969444444444445,2,8,4,299,3,2,1
elastic/elasticsearch,MERGED,64.31027777777778,90,327,371,8,3,2,1
elastic/elasticsearch,MERGED,27.83,1,1,1,0,3,6,1
elastic/elasticsearch,MERGED,95.33361111111111,5,256,17,755,4,4,5
elastic/elasticsearch,MERGED,91.79277777777777,2,1,4,660,4,3,1
elastic/elasticsearch,MERGED,89.41555555555556,4,124,12,887,5,5,12
elastic/elasticsearch,MERGED,65.35194444444444,10,135,161,119,3,1,1
elastic/elasticsearch,MERGED,69.87305555555555,21,16,1397,138,4,2,2
elastic/elasticsearch,MERGED,70.26583333333333,8,217,29,223,4,3,4
elastic/elasticsearch,MERGED,93.29194444444444,1,7,0,69,3,2,1
elastic/elasticsearch,MERGED,67.95111111111112,1,7,0,69,3,1,1
elastic/elasticsearch,MERGED,120.88111111111111,321,4127,3954,829,3,1,5
elastic/elasticsearch,MERGED,72.61916666666667,1,4,3,24,3,1,1
elastic/elasticsearch,MERGED,5.818888888888889,7,1437,1328,231,4,2,3
elastic/elasticsearch,MERGED,70.31472222222222,18,97,71,154,3,2,4
elastic/elasticsearch,MERGED,7.15,4,56,0,3158,3,4,1
elastic/elasticsearch,MERGED,71.80277777777778,4,173,0,80,2,3,1
elastic/elasticsearch,MERGED,94.85388888888889,21,798,119,1255,5,4,6
elastic/elasticsearch,MERGED,71.40972222222223,2,58,0,80,2,2,1
elastic/elasticsearch,MERGED,122.30638888888889,111,694,525,302,4,1,10
elastic/elasticsearch,MERGED,80.91527777777777,2,69,0,80,2,2,1
elastic/elasticsearch,MERGED,81.98055555555555,4,231,3,80,2,3,2
elastic/elasticsearch,MERGED,20.436944444444446,6,3,307,8,3,2,1
elastic/elasticsearch,MERGED,88.63888888888889,12,393,50,1189,3,3,7
elastic/elasticsearch,MERGED,4.4655555555555555,18,65,51,115,3,2,1
elastic/elasticsearch,MERGED,1.283611111111111,2,13,23,315,4,1,2
elastic/elasticsearch,MERGED,31.93138888888889,2,23,1,156,5,4,3
elastic/elasticsearch,MERGED,5.458333333333333,2,2,1,0,3,1,1
elastic/elasticsearch,MERGED,1.1175,17,1845,43,237,3,1,1
elastic/elasticsearch,MERGED,1.153888888888889,3,9,12,441,4,1,2
elastic/elasticsearch,MERGED,7.681666666666667,2,14,13,236,4,4,2
elastic/elasticsearch,MERGED,1.1505555555555556,2,0,45,63,3,1,1
elastic/elasticsearch,MERGED,2.0405555555555557,2,30,0,150,3,2,1
elastic/elasticsearch,MERGED,23.855,1,1,1,73,4,3,2
elastic/elasticsearch,MERGED,15.508888888888889,2,8,1,103,3,2,1
elastic/elasticsearch,MERGED,2.192222222222222,3,10,2,43,3,1,1
elastic/elasticsearch,MERGED,5.229444444444445,4,138,65,215,3,5,1
elastic/elasticsearch,MERGED,23.974166666666665,1,21,0,398,3,2,1
elastic/elasticsearch,MERGED,119.18222222222222,5,438,64,1000,4,1,15
elastic/elasticsearch,MERGED,98.375,1,16,16,25,3,3,1
elastic/elasticsearch,MERGED,4.246944444444445,1,0,136,0,3,1,1
elastic/elasticsearch,MERGED,97.98555555555555,5,32,14,203,4,1,12
elastic/elasticsearch,MERGED,15.205277777777777,32,124,86,66,3,2,1
elastic/elasticsearch,MERGED,23.068055555555556,3,63,39,700,3,2,4
elastic/elasticsearch,MERGED,43.470555555555556,2,6,8,14,3,2,1
elastic/elasticsearch,MERGED,1.2261111111111112,6,45,51,537,3,2,1
elastic/elasticsearch,MERGED,1.5827777777777778,21,65,40,8,3,1,1
elastic/elasticsearch,MERGED,25.6875,1,3,0,96,3,1,1
elastic/elasticsearch,MERGED,19.47277777777778,7,126,3,494,3,2,7
elastic/elasticsearch,MERGED,3.3344444444444443,2,3,7,80,3,1,1
elastic/elasticsearch,MERGED,1.8775,5,13,12,8,3,2,1
