repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
electron/electron,MERGED,5.7427777777777775,3,4,10,55,1,1,1
electron/electron,MERGED,32.72416666666667,1,2,2,3705,1,1,1
electron/electron,MERGED,39.573055555555555,1,0,6,454,2,1,1
electron/electron,MERGED,7.235833333333333,3,128,1,148,1,1,1
electron/electron,MERGED,13.103333333333333,3,4,10,1191,2,6,1
electron/electron,MERGED,33.32527777777778,3,128,1,1396,3,4,2
electron/electron,MERGED,36.28472222222222,1,5,4,56,1,1,1
electron/electron,MERGED,5.653888888888889,6,36,0,55,2,1,2
electron/electron,MERGED,5.653333333333333,6,36,0,55,2,1,2
electron/electron,MERGED,2.2755555555555556,1,2,2,56,1,1,1
electron/electron,MERGED,2.2733333333333334,1,2,2,56,1,1,1
electron/electron,MERGED,2.2716666666666665,1,2,2,56,1,1,1
electron/electron,MERGED,24.7675,1,5,4,554,4,2,3
electron/electron,MERGED,46.46861111111111,3,36,46,840,2,1,1
electron/electron,MERGED,8.018888888888888,1,11,10,90,2,1,2
electron/electron,MERGED,2.3452777777777776,1,11,10,90,2,1,2
electron/electron,MERGED,8.020555555555555,1,11,10,90,2,1,2
electron/electron,MERGED,24.240277777777777,1,2,2,901,3,4,2
electron/electron,MERGED,2.473611111111111,1,2,2,55,2,1,2
electron/electron,MERGED,2.4794444444444443,1,2,2,55,2,1,2
electron/electron,MERGED,2.6758333333333333,3,7,7,143,2,1,2
electron/electron,MERGED,25.880277777777778,1,5,9,149,1,1,1
electron/electron,MERGED,5.945555555555556,1,5,9,149,1,1,1
electron/electron,MERGED,5.9494444444444445,1,5,9,149,1,1,1
electron/electron,MERGED,1.2236111111111112,1,8,14,55,2,1,2
electron/electron,MERGED,1.2227777777777777,1,8,14,55,2,1,2
electron/electron,MERGED,46.878055555555555,1,2,2,393,4,3,3
electron/electron,MERGED,88.77194444444444,6,36,0,665,4,3,3
electron/electron,MERGED,47.73083333333334,1,4,3,101,1,1,1
electron/electron,MERGED,72.51194444444444,1,4,3,101,2,1,2
electron/electron,MERGED,57.460277777777776,1,4,3,101,2,1,2
electron/electron,MERGED,14.98638888888889,1,1,1,6993,1,1,1
electron/electron,MERGED,15.708055555555555,2,54,0,98,3,2,2
electron/electron,MERGED,22.305833333333332,1,2,1,55,2,1,1
electron/electron,MERGED,70.00722222222223,1,2,1,55,2,1,1
electron/electron,MERGED,22.32138888888889,1,2,1,55,2,1,1
electron/electron,MERGED,69.98083333333334,1,2,1,55,2,1,1
electron/electron,MERGED,90.27333333333333,3,7,7,1017,2,2,1
electron/electron,MERGED,118.34583333333333,4,58,0,98,3,3,2
electron/electron,MERGED,33.94138888888889,1,2,1,140,3,5,2
electron/electron,CLOSED,99.54694444444445,1,13,5,433,3,2,3
electron/electron,MERGED,151.96583333333334,1,11,10,430,2,4,1
electron/electron,MERGED,69.56944444444444,1,16,0,98,1,1,1
electron/electron,CLOSED,164.46138888888888,0,0,0,98,3,3,1
electron/electron,MERGED,21.8175,3,0,15,108,1,1,1
electron/electron,MERGED,21.81888888888889,3,0,15,108,1,1,1
electron/electron,MERGED,21.81111111111111,3,0,15,108,1,1,1
electron/electron,MERGED,27.58361111111111,3,0,15,108,1,1,1
electron/electron,MERGED,221.55638888888888,5,182,14,55,2,2,1
electron/electron,MERGED,46.20583333333333,2,54,0,98,2,1,1
electron/electron,MERGED,19.2125,2,54,0,98,2,2,1
electron/electron,MERGED,21.62527777777778,2,54,0,98,2,1,1
electron/electron,MERGED,23.773611111111112,5,182,14,55,2,6,1
electron/electron,MERGED,47.895833333333336,5,182,14,55,3,2,1
electron/electron,MERGED,22.22972222222222,7,487,27,55,3,2,2
electron/electron,MERGED,22.393333333333334,2,1,9,55,2,1,1
electron/electron,MERGED,22.399166666666666,2,1,9,55,2,1,1
electron/electron,MERGED,312.30694444444447,31,175,174,104,1,1,1
electron/electron,MERGED,12.4,2,54,0,166,5,10,2
electron/electron,MERGED,38.71333333333333,3,0,15,1507,9,19,4
electron/electron,MERGED,323.89194444444445,5,148,35,755,4,7,5
electron/electron,MERGED,220.82944444444445,22,76,163,837,3,1,2
electron/electron,CLOSED,30.415277777777778,3,51,0,489,3,0,2
electron/electron,MERGED,56.93472222222222,1,16,0,436,4,5,4
electron/electron,MERGED,25.97277777777778,14,61,84,574,2,1,1
electron/electron,MERGED,5.955,1,2,2,350,3,1,2
electron/electron,MERGED,36.62777777777778,129,1851,869,84,1,1,1
electron/electron,MERGED,39.405,1,3,15,1766,2,2,1
electron/electron,MERGED,110.25861111111111,4,87,75,805,3,1,2
electron/electron,MERGED,74.19638888888889,2,51,51,457,2,1,1
electron/electron,MERGED,145.26527777777778,7,56,39,321,2,1,3
electron/electron,MERGED,171.71083333333334,2,1,9,55,2,3,1
electron/electron,MERGED,475.7211111111111,8,7,107,130,3,2,1
electron/electron,MERGED,9.479722222222222,2,1,9,55,1,2,1
electron/electron,MERGED,9.530277777777778,2,1,9,757,4,6,3
electron/electron,MERGED,7.294444444444444,2,4,10,95,3,2,2
electron/electron,MERGED,3.263333333333333,2,46,0,62,2,1,1
electron/electron,MERGED,7.101111111111111,2,46,0,62,2,1,1
electron/electron,MERGED,2.9386111111111113,2,46,0,62,2,1,1
electron/electron,MERGED,3.023888888888889,2,46,0,694,3,5,2
electron/electron,MERGED,257.3586111111111,7,325,22,126,1,1,1
electron/electron,MERGED,212.15083333333334,7,325,22,126,1,1,1
electron/electron,MERGED,539.7233333333334,7,325,22,126,2,1,1
electron/electron,MERGED,17.363611111111112,1,8,0,55,2,2,2
electron/electron,MERGED,19.088055555555556,1,8,0,55,1,1,1
electron/electron,MERGED,17.335277777777776,1,8,0,55,1,2,1
electron/electron,MERGED,17.319444444444443,1,8,0,55,1,1,1
electron/electron,MERGED,5.819166666666667,1,8,0,1050,2,5,2
electron/electron,MERGED,10.633055555555556,2,4,11,441,2,4,1
electron/electron,MERGED,586.1713888888889,2,8,1,129,3,2,1
electron/electron,MERGED,308.08194444444445,2,8,1,129,3,2,2
electron/electron,MERGED,73.33888888888889,5,47,36,916,2,1,10
electron/electron,MERGED,25.22972222222222,2,8,1,703,4,4,3
electron/electron,MERGED,26.266944444444444,10,44,50,573,2,1,1
electron/electron,MERGED,510.7897222222222,1,5,9,736,2,4,1
electron/electron,CLOSED,332.35555555555555,1,2,1,338,3,1,3
electron/electron,MERGED,479.00555555555553,1,4,3,1515,4,14,2
electron/electron,MERGED,10.309722222222222,1,0,2,56,1,1,1
electron/electron,MERGED,319.3902777777778,1,9,2,418,2,3,1
electron/electron,MERGED,49.2925,3,6,6,129,1,1,1
electron/electron,MERGED,3.8447222222222224,1,1,1,110,4,2,4
electron/electron,MERGED,39.568333333333335,1,1,1,4061,1,1,1
electron/electron,MERGED,51.37555555555556,4,4,4,3389,2,1,2
electron/electron,MERGED,47.6875,1,0,2,343,2,3,1
electron/electron,MERGED,4.643888888888889,1,1,1,334,2,2,1
electron/electron,MERGED,10.159444444444444,157,1417,882,84,2,1,3
electron/electron,MERGED,352.31444444444446,128,1849,867,122,6,2,3
electron/electron,CLOSED,28.845833333333335,1,13,2,2051,2,0,1
electron/electron,MERGED,145.55055555555555,6,72,34,1171,4,2,5
electron/electron,CLOSED,168.62166666666667,1,1,1,125,3,2,1
electron/electron,MERGED,90.80416666666666,30,112,127,104,1,1,1
electron/electron,MERGED,1.7472222222222222,1,104,116,55,1,2,1
electron/electron,MERGED,32.419444444444444,1,1,1,126,1,1,1
electron/electron,CLOSED,147.91833333333332,1,1,1,3531,1,1,1
electron/electron,MERGED,45.94694444444445,1,104,116,58,3,3,2
electron/electron,MERGED,1.6266666666666667,1,23,23,138,2,3,1
electron/electron,CLOSED,28.360833333333332,1,39,26,378,2,1,1
electron/electron,MERGED,99.58972222222222,2,109,0,126,1,1,1
electron/electron,MERGED,230.60944444444445,2,109,0,126,2,1,1
electron/electron,MERGED,230.61222222222221,2,109,0,126,2,1,1
electron/electron,MERGED,103.36527777777778,10,156,23,55,4,1,3
electron/electron,MERGED,122.87472222222222,10,156,23,55,3,1,2
electron/electron,MERGED,2.5927777777777776,2,1,5,143,1,1,1
electron/electron,MERGED,2.2255555555555557,2,1,5,143,1,1,1
electron/electron,MERGED,2.6233333333333335,2,1,5,143,1,1,1
electron/electron,MERGED,176.26638888888888,30,112,127,104,2,1,1
electron/electron,MERGED,236.41222222222223,30,112,127,104,1,1,1
electron/electron,MERGED,237.06722222222223,30,112,127,104,1,1,1
electron/electron,MERGED,239.8011111111111,30,112,127,104,1,1,1
electron/electron,MERGED,85.99166666666666,1,1,0,182,1,1,1
electron/electron,MERGED,173.4086111111111,1,1,0,182,1,1,1
electron/electron,MERGED,168.42361111111111,1,1,0,182,1,1,1
electron/electron,MERGED,247.41916666666665,157,1417,882,122,3,2,3
electron/electron,MERGED,18.23138888888889,13,246,264,56,3,1,2
electron/electron,MERGED,16.50027777777778,13,245,263,62,3,1,2
electron/electron,MERGED,17.28611111111111,13,245,263,62,3,1,2
electron/electron,MERGED,652.5211111111112,8,488,28,762,6,16,9
electron/electron,MERGED,132.40166666666667,2,41,1,141,1,1,1
electron/electron,MERGED,984.24,2,41,1,141,2,1,1
electron/electron,MERGED,30.24111111111111,2,1,5,714,3,4,2
electron/electron,MERGED,33.117777777777775,2,109,0,451,3,5,1
electron/electron,MERGED,15.904444444444444,13,245,263,55,1,1,1
electron/electron,MERGED,2.9411111111111112,1,1,1,202,2,1,1
electron/electron,MERGED,10.54111111111111,2,3,5,55,2,1,2
electron/electron,MERGED,10.545,2,3,5,55,2,1,2
electron/electron,MERGED,25.559722222222224,8,14,189,126,1,1,1
electron/electron,MERGED,4.954444444444444,2,2,17,55,1,1,1
electron/electron,MERGED,18.021944444444443,2,2,17,55,1,1,1
electron/electron,MERGED,5.715833333333333,2,2,17,55,1,1,1
electron/electron,MERGED,5.7619444444444445,2,2,17,55,1,1,1
electron/electron,MERGED,6.076666666666667,1,1,1,130,1,1,1
electron/electron,MERGED,47.05138888888889,1,1,0,545,3,4,2
electron/electron,MERGED,24.38722222222222,2,3,5,533,3,3,2
electron/electron,MERGED,18.997222222222224,1,1,1,3135,1,1,1
electron/electron,MERGED,19.101388888888888,1,1,1,3974,1,1,1
electron/electron,MERGED,491.4761111111111,7,325,22,668,7,23,5
electron/electron,MERGED,24.576944444444443,1,2,1,161,2,2,1
electron/electron,MERGED,5.8372222222222225,2,1,5,379,2,2,1
electron/electron,MERGED,31.39611111111111,1,1,3,306,3,1,2
electron/electron,MERGED,37.84777777777778,15,156,116,470,2,1,2
electron/electron,CLOSED,1056.4280555555556,1,2,2,357,4,0,3
electron/electron,MERGED,64.73805555555556,2,18,5,154,1,1,1
electron/electron,MERGED,61.31611111111111,2,18,5,154,1,1,1
electron/electron,MERGED,61.318888888888885,2,18,5,154,1,1,1
electron/electron,MERGED,74.49444444444444,13,139,132,55,2,5,1
electron/electron,MERGED,4.854722222222223,2,8,0,128,1,1,1
electron/electron,MERGED,2.53,2,8,0,128,1,1,1
electron/electron,MERGED,2.799166666666667,2,8,0,128,1,1,1
electron/electron,MERGED,23.498333333333335,14,40,39,126,2,1,1
electron/electron,MERGED,176.5275,2,8,1,132,4,2,1
electron/electron,MERGED,177.9611111111111,2,8,1,132,4,2,1
electron/electron,MERGED,34.93555555555555,2,18,5,466,3,4,3
electron/electron,MERGED,107.36305555555556,32,627,288,2062,2,1,1
electron/electron,MERGED,16.490555555555556,1,1,1,55,1,1,1
electron/electron,MERGED,16.635833333333334,1,1,1,55,2,2,2
electron/electron,MERGED,16.64638888888889,1,1,1,55,2,2,2
electron/electron,MERGED,10.891111111111112,1,1,1,55,1,1,1
electron/electron,MERGED,1.146111111111111,1,1,1,504,2,5,1
electron/electron,MERGED,4.470277777777778,1,7,2,55,2,1,3
electron/electron,MERGED,4.8133333333333335,1,7,2,55,2,2,2
