repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
enaqx/awesome-react,CLOSED,1438.7569444444443,1,1,0,580,3,2,1
enaqx/awesome-react,MERGED,3459.9338888888888,1,1,0,646,2,1,1
enaqx/awesome-react,MERGED,3247.429722222222,1,1,0,122,3,0,1
enaqx/awesome-react,CLOSED,3795.0625,1,1,0,70,3,0,1
enaqx/awesome-react,CLOSED,1455.2111111111112,1,3,3,62,3,1,1
enaqx/awesome-react,MERGED,69.8536111111111,1,7,8,37,2,0,1
enaqx/awesome-react,CLOSED,489.0758333333333,1,2,0,0,3,0,1
enaqx/awesome-react,CLOSED,9503.4725,1,1,0,0,3,1,1
enaqx/awesome-react,CLOSED,9576.494166666667,1,1,0,613,3,0,1
enaqx/awesome-react,MERGED,24.119722222222222,1,2,0,188,4,0,2
enaqx/awesome-react,CLOSED,15.425,1,1,0,0,2,0,1
enaqx/awesome-react,MERGED,2.729722222222222,1,1,0,43,2,0,1
enaqx/awesome-react,MERGED,13.176388888888889,1,1,0,0,2,0,1
enaqx/awesome-react,CLOSED,14402.74,1,1,0,0,3,1,1
