repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
excalidraw/excalidraw,MERGED,9.465833333333334,1,0,2,110,2,2,1
excalidraw/excalidraw,MERGED,2.1294444444444443,4,24,6,372,2,3,1
excalidraw/excalidraw,MERGED,14.650555555555556,1,4,1,508,3,3,1
excalidraw/excalidraw,MERGED,213.45111111111112,2,13,18,371,2,1,1
excalidraw/excalidraw,MERGED,13.7375,6,147,75,265,2,4,7
excalidraw/excalidraw,MERGED,48.98083333333334,3,101,82,73,2,2,1
excalidraw/excalidraw,MERGED,51.71194444444444,2,53,20,0,2,2,1
excalidraw/excalidraw,MERGED,314.80555555555554,1,24,19,350,2,1,2
excalidraw/excalidraw,MERGED,1.2952777777777778,1,2,2,179,2,3,1
excalidraw/excalidraw,MERGED,482.3663888888889,4,39,5,337,2,5,1
excalidraw/excalidraw,MERGED,201.46916666666667,3,176,4,1341,2,9,15
excalidraw/excalidraw,MERGED,54.23694444444445,6,220,13,2241,4,3,11
excalidraw/excalidraw,MERGED,418.99333333333334,32,1527,147,287,2,4,1
excalidraw/excalidraw,MERGED,861.3369444444445,19,459,183,1127,24,26,2
excalidraw/excalidraw,MERGED,18.772222222222222,2,34,18,1036,2,4,3
excalidraw/excalidraw,MERGED,62.91138888888889,2,33,7,11,2,4,1
excalidraw/excalidraw,MERGED,13.081944444444444,1,1,1,11,3,3,5
excalidraw/excalidraw,MERGED,380.44555555555553,15,892,499,15,3,3,17
excalidraw/excalidraw,MERGED,22.610555555555557,8,750,152,253,2,3,3
excalidraw/excalidraw,MERGED,15.965555555555556,14,229,154,227,2,2,12
excalidraw/excalidraw,MERGED,23.53638888888889,1,3,2,11,2,2,1
excalidraw/excalidraw,MERGED,93.34194444444445,9,102,44,0,2,3,1
excalidraw/excalidraw,MERGED,18.467222222222222,9,238,282,245,2,2,1
excalidraw/excalidraw,MERGED,50.24861111111111,4,174,27,86,2,2,2
excalidraw/excalidraw,MERGED,76.24,1,3,10,11,2,2,1
