repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
expressjs/express,CLOSED,35.86472222222222,1,23,0,626,9,11,3
expressjs/express,CLOSED,3.8869444444444445,1,1,1,0,3,0,1
expressjs/express,MERGED,51.154444444444444,4,7,7,5911,1,0,1
expressjs/express,MERGED,51.251666666666665,2,3,3,7027,1,0,1
expressjs/express,MERGED,51.31472222222222,1,1,1,3239,1,0,1
expressjs/express,MERGED,51.318333333333335,2,3,3,3374,1,0,1
expressjs/express,MERGED,51.321666666666665,2,2,2,3350,1,0,1
expressjs/express,MERGED,71.06027777777778,1,0,1,602,6,2,6
expressjs/express,CLOSED,103.12388888888889,3,55,0,0,3,1,1
expressjs/express,CLOSED,706.0130555555555,4,7,7,0,2,0,1
expressjs/express,CLOSED,10.903888888888888,1,2,0,0,3,0,1
expressjs/express,MERGED,23.728055555555557,1,3,1,25,3,0,2
expressjs/express,MERGED,205.12694444444443,2,4,4,250,3,0,2
expressjs/express,CLOSED,105.42916666666666,3,3,3,69,3,0,2
expressjs/express,MERGED,98.36611111111111,1,1,1,3378,2,2,1
expressjs/express,MERGED,98.38083333333333,1,1,1,3340,1,1,1
expressjs/express,MERGED,1060.9158333333332,2,3,3,4733,1,0,1
expressjs/express,CLOSED,51.97638888888889,3,171,2,2774,3,1,1
expressjs/express,MERGED,639.9627777777778,1,1,0,89,3,2,2
expressjs/express,MERGED,78.94166666666666,1,0,2,141,3,1,2
expressjs/express,CLOSED,166.6186111111111,1,1,1,0,3,2,1
expressjs/express,CLOSED,226.65222222222224,1,20,0,1085,2,1,1
expressjs/express,MERGED,189.9113888888889,2,3,3,6043,2,0,2
expressjs/express,CLOSED,293.15694444444443,1,1,1,240,3,2,1
expressjs/express,MERGED,103.82222222222222,1,1,1,8,4,0,3
expressjs/express,MERGED,778.5466666666666,1,4,3,26,4,0,10
expressjs/express,CLOSED,1639.0977777777778,1,4,1,19,5,4,2
expressjs/express,MERGED,1402.6891666666668,1,4,0,215,4,5,5
expressjs/express,CLOSED,13.397222222222222,1,1,1,0,4,2,1
expressjs/express,CLOSED,19.141111111111112,2,7,3,54,4,2,1
