repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
f/awesome-chatgpt-prompts,CLOSED,504.81916666666666,2,18,0,532,3,0,2
f/awesome-chatgpt-prompts,MERGED,58.518055555555556,1,2,2,170,4,0,2
f/awesome-chatgpt-prompts,MERGED,169.4986111111111,2,16,0,1361,4,1,2
f/awesome-chatgpt-prompts,MERGED,1185.6872222222223,2,8,0,784,3,0,1
f/awesome-chatgpt-prompts,CLOSED,1201.22,2,18,0,801,3,2,4
f/awesome-chatgpt-prompts,CLOSED,504.9186111111111,0,0,0,685,3,0,2
f/awesome-chatgpt-prompts,CLOSED,212.84305555555557,2,34,2,685,4,2,1
f/awesome-chatgpt-prompts,MERGED,73.83722222222222,2,10,0,713,3,4,5
f/awesome-chatgpt-prompts,MERGED,85.36333333333333,1,11,11,10,4,0,2
f/awesome-chatgpt-prompts,CLOSED,213.2463888888889,1,1,0,685,3,0,1
f/awesome-chatgpt-prompts,CLOSED,271.53472222222223,1,48,0,685,2,3,2
f/awesome-chatgpt-prompts,CLOSED,296.38416666666666,2,6,0,685,3,2,1
f/awesome-chatgpt-prompts,CLOSED,50.13333333333333,1,1,2,0,2,0,2
f/awesome-chatgpt-prompts,MERGED,11.985277777777778,2,6,0,185,2,0,1
f/awesome-chatgpt-prompts,MERGED,41.17861111111111,2,8,1,1094,3,0,1
f/awesome-chatgpt-prompts,CLOSED,504.12888888888887,2,5,0,885,3,7,1
f/awesome-chatgpt-prompts,CLOSED,1279.0777777777778,1,1,1,868,4,0,4
f/awesome-chatgpt-prompts,CLOSED,2188.4597222222224,1,1,0,868,3,2,1
f/awesome-chatgpt-prompts,CLOSED,2256.2105555555554,2,6,0,868,4,3,3
f/awesome-chatgpt-prompts,CLOSED,2858.281388888889,1,5,0,868,3,4,1
f/awesome-chatgpt-prompts,CLOSED,3055.9141666666665,1,3,2,471,4,4,3
f/awesome-chatgpt-prompts,CLOSED,599.2327777777778,1,1,1,929,3,5,1
f/awesome-chatgpt-prompts,CLOSED,1267.8966666666668,1,1,1,58,3,3,1
f/awesome-chatgpt-prompts,MERGED,236.68027777777777,2,7,1,868,4,2,1
f/awesome-chatgpt-prompts,MERGED,467.3152777777778,4,100,0,782,2,1,1
f/awesome-chatgpt-prompts,CLOSED,4685.475555555556,1,6,0,964,7,6,3
f/awesome-chatgpt-prompts,MERGED,1174.8505555555555,2,6,0,526,4,6,2
f/awesome-chatgpt-prompts,CLOSED,120.06333333333333,2,115,81,683,2,3,1
f/awesome-chatgpt-prompts,CLOSED,7449.426111111111,2,6,0,2426,5,3,2
f/awesome-chatgpt-prompts,CLOSED,8083.404444444444,2,8,0,0,3,2,1
f/awesome-chatgpt-prompts,CLOSED,765.3577777777778,1,1,0,868,4,2,1
f/awesome-chatgpt-prompts,CLOSED,1034.4294444444445,1,1,0,868,3,0,1
f/awesome-chatgpt-prompts,CLOSED,6642.283888888889,2,13,0,1038,2,0,1
f/awesome-chatgpt-prompts,CLOSED,14.830277777777777,1,5,0,868,1,1,1
f/awesome-chatgpt-prompts,CLOSED,6.026944444444444,1,0,5,868,3,1,1
f/awesome-chatgpt-prompts,MERGED,10.153333333333334,1,0,5,87,9,8,3
f/awesome-chatgpt-prompts,CLOSED,683.2327777777778,1,2,2,87,6,1,3
f/awesome-chatgpt-prompts,CLOSED,805.3922222222222,1,0,3,36,3,2,1
f/awesome-chatgpt-prompts,MERGED,589.8011111111111,1,3,0,268,5,1,1
f/awesome-chatgpt-prompts,CLOSED,1781.0866666666666,1,3,0,1010,3,0,1
f/awesome-chatgpt-prompts,CLOSED,3139.8980555555554,1,1,1,1023,4,0,2
f/awesome-chatgpt-prompts,CLOSED,12354.83111111111,1,2,0,1077,3,3,1
f/awesome-chatgpt-prompts,CLOSED,652.0958333333333,2,5,0,1197,1,0,1
f/awesome-chatgpt-prompts,CLOSED,12761.971111111112,1,4,0,1634,4,5,1
f/awesome-chatgpt-prompts,CLOSED,2849.4583333333335,1,1,1,1066,2,0,1
f/awesome-chatgpt-prompts,CLOSED,87.24222222222222,1,5,0,1440,2,0,1
f/awesome-chatgpt-prompts,CLOSED,87.30388888888889,1,1,0,1091,2,0,1
f/awesome-chatgpt-prompts,CLOSED,87.70166666666667,1,1,1,997,2,0,1
f/awesome-chatgpt-prompts,CLOSED,2892.0616666666665,1,0,1,964,2,1,2
f/awesome-chatgpt-prompts,CLOSED,23.545555555555556,1,1,1,1010,2,0,1
f/awesome-chatgpt-prompts,CLOSED,4678.085,2,6,0,1134,2,1,1
f/awesome-chatgpt-prompts,CLOSED,11541.834444444445,2,7,1,840,3,0,1
f/awesome-chatgpt-prompts,MERGED,18.272777777777776,2,7,1,840,3,2,1
f/awesome-chatgpt-prompts,CLOSED,287.87,2,172,157,916,2,0,3
f/awesome-chatgpt-prompts,MERGED,14.1375,1,1,1,121,3,2,1
