repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
facebook/react-native,CLOSED,18.365555555555556,1,17,4,106,4,3,2
facebook/react-native,CLOSED,27.07888888888889,3,2,43,230,4,3,1
facebook/react-native,CLOSED,24.677777777777777,1,1,1,306,5,3,2
facebook/react-native,CLOSED,23.434722222222224,1,1,1,123,4,3,1
facebook/react-native,CLOSED,15.037222222222223,1,16,0,465,4,4,1
facebook/react-native,CLOSED,11.8825,1,108,108,142,4,3,1
facebook/react-native,CLOSED,60.325833333333335,1,5,1,204,4,4,1
facebook/react-native,CLOSED,64.83222222222223,2,62,2,517,4,4,3
facebook/react-native,CLOSED,5.969166666666666,1,2,2,63,4,4,1
facebook/react-native,CLOSED,24.22222222222222,1,1,0,63,4,5,1
facebook/react-native,CLOSED,97.03305555555555,3,17,3,260,4,4,1
facebook/react-native,CLOSED,35.36666666666667,2,2,2,339,4,3,1
facebook/react-native,CLOSED,18.33416666666667,7,37,29,113,4,6,1
facebook/react-native,CLOSED,6.085555555555556,1,10,0,207,4,5,1
facebook/react-native,CLOSED,2.5725,1,2,2,91,4,4,1
facebook/react-native,CLOSED,97.5261111111111,3,9,19,261,3,3,1
facebook/react-native,CLOSED,97.5261111111111,2,4,16,193,4,4,1
facebook/react-native,CLOSED,384.6691666666667,3,0,223,170,4,13,1
facebook/react-native,CLOSED,175.48305555555555,16,22,1262,147,3,7,1
facebook/react-native,CLOSED,2.908333333333333,2,6,0,109,4,5,1
facebook/react-native,CLOSED,5.779444444444445,1,1,1,336,4,6,1
facebook/react-native,CLOSED,82.18083333333334,1,5,5,55,3,3,2
facebook/react-native,CLOSED,265.34444444444443,2,314,0,661,3,6,1
facebook/react-native,CLOSED,265.3591666666667,2,145,0,608,4,6,1
facebook/react-native,CLOSED,25.59138888888889,1,5,0,650,5,4,2
facebook/react-native,CLOSED,4.880277777777778,10,322,49,138,4,6,1
facebook/react-native,CLOSED,302.04055555555556,1,9,0,96,5,7,1
facebook/react-native,CLOSED,4.2027777777777775,3,5,1,136,4,4,1
facebook/react-native,CLOSED,22.177222222222223,7,19,49,128,3,3,1
facebook/react-native,CLOSED,340.4561111111111,4,14,0,2173,4,6,3
facebook/react-native,CLOSED,3.8441666666666667,1,1,1,55,3,3,1
facebook/react-native,CLOSED,1.3522222222222222,1,5,5,55,3,3,2
