repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
facebook/react,MERGED,4.188055555555556,4,25,17,195,5,3,3
facebook/react,MERGED,5.795,3,8,20,125,3,1,1
facebook/react,MERGED,18.558055555555555,2,3,3,0,2,0,4
facebook/react,MERGED,18.440277777777776,2,29,25,587,4,1,4
facebook/react,MERGED,18.814722222222223,8,231,20,296,2,0,1
facebook/react,MERGED,22.095833333333335,2,39,6,703,2,1,1
facebook/react,MERGED,23.34138888888889,1,16,1,670,2,0,1
facebook/react,MERGED,30.895833333333332,1,0,17,93,3,1,1
facebook/react,MERGED,27.350277777777777,2,53,10,466,3,1,3
facebook/react,MERGED,24.871388888888887,2,10,4,388,3,1,1
facebook/react,MERGED,4.0072222222222225,10,22,0,216,3,1,1
facebook/react,MERGED,4.150277777777778,2,50,40,0,2,0,2
facebook/react,MERGED,11.768333333333333,5,88,2,771,2,0,1
facebook/react,MERGED,26.266944444444444,1,23,32,188,4,1,1
facebook/react,MERGED,63.93472222222222,17,29,29,660,3,1,1
facebook/react,MERGED,50.2025,5,218,7,283,4,1,2
facebook/react,MERGED,1.7925,5,76,11,595,3,1,1
facebook/react,MERGED,73.81222222222222,56,233,253,65,3,1,3
facebook/react,MERGED,10.990277777777777,1,48,21,488,2,0,1
facebook/react,MERGED,27.054444444444446,4,151,57,509,2,0,3
facebook/react,MERGED,30.235,3,33,15,18,2,0,1
facebook/react,MERGED,30.518055555555556,3,86,67,609,2,0,1
facebook/react,MERGED,47.63111111111111,6,249,31,417,2,0,2
facebook/react,MERGED,43.725,1,1,1,303,2,0,5
facebook/react,MERGED,8.24638888888889,3,71,10,115,2,0,1
facebook/react,MERGED,8.788333333333334,1,27,14,177,2,0,1
facebook/react,MERGED,9.256388888888889,4,92,20,467,2,0,1
facebook/react,MERGED,2.4475,3,244,7,2026,3,1,1
facebook/react,MERGED,1.5752777777777778,5,101,0,1262,3,1,1
facebook/react,MERGED,71.91555555555556,1,0,13,290,3,1,1
facebook/react,MERGED,142.79,5,89,37,354,2,2,1
facebook/react,MERGED,118.99527777777777,4,52,7,248,2,0,1
facebook/react,MERGED,118.66388888888889,10,238,137,348,2,1,2
facebook/react,MERGED,23.656666666666666,3,40,11,211,2,0,5
facebook/react,MERGED,116.29194444444444,1,2,2,46,2,0,2
facebook/react,MERGED,1.2158333333333333,5,104,8,966,3,1,2
facebook/react,MERGED,4.1755555555555555,2,55,7,367,3,0,2
facebook/react,MERGED,2.9947222222222223,2,126,92,104,2,0,1
facebook/react,MERGED,16.843055555555555,6,93,12,101,3,1,1
facebook/react,CLOSED,25.807777777777776,7,184,97,485,3,2,1
facebook/react,MERGED,2.517777777777778,2,17,1,264,2,1,1
facebook/react,MERGED,77.60444444444444,2,16,2,343,2,0,1
facebook/react,MERGED,7.458888888888889,4,45,74,392,2,0,3
facebook/react,CLOSED,25.154722222222222,24,1002,9,235,2,0,5
facebook/react,MERGED,13.534722222222221,2,3,3,47,3,0,2
facebook/react,MERGED,83.77722222222222,7,87,13,991,3,1,6
facebook/react,MERGED,27.319444444444443,2,2,0,511,2,0,1
facebook/react,MERGED,29.069166666666668,12,37,27,609,3,1,1
facebook/react,MERGED,87.76861111111111,7,110,91,267,3,1,1
facebook/react,MERGED,93.78277777777778,4,328,13,796,3,2,1
facebook/react,MERGED,93.535,3,13,19,653,3,1,1
facebook/react,MERGED,12.8475,3,41,31,257,3,1,1
facebook/react,MERGED,16.006666666666668,8,193,19,492,3,1,1
facebook/react,MERGED,8.18138888888889,1,1,1,235,3,1,1
facebook/react,MERGED,2.812777777777778,1,69,2,466,3,1,1
facebook/react,MERGED,91.49777777777778,2,121,6,462,3,1,2
facebook/react,MERGED,3.734722222222222,1,13,1,36,3,1,1
facebook/react,MERGED,87.755,7,184,15,291,2,0,1
facebook/react,MERGED,96.89833333333333,1,2,2,2234,2,1,1
facebook/react,MERGED,172.25194444444443,5,341,113,1071,3,2,13
facebook/react,MERGED,11.075833333333334,5,426,455,120,3,5,2
facebook/react,MERGED,59.03638888888889,10,80,61,340,3,1,3
facebook/react,MERGED,16.975277777777777,3,77,1,460,2,0,1
facebook/react,MERGED,301.97583333333336,11,18,43,166,3,1,1
facebook/react,MERGED,26.905277777777776,2,23,3,224,2,0,2
facebook/react,MERGED,4.789722222222222,7,71,11,876,3,1,1
facebook/react,MERGED,5.9686111111111115,3,11,145,302,2,0,1
facebook/react,MERGED,6.447222222222222,7,90,204,449,3,1,2
facebook/react,MERGED,39.73583333333333,5,90,1,575,3,1,1
facebook/react,MERGED,14.711666666666666,5,219,52,1012,3,1,2
facebook/react,MERGED,13.390277777777778,3,58,21,595,3,1,1
facebook/react,MERGED,19.609444444444446,9,35,16,736,3,1,3
facebook/react,MERGED,16.504166666666666,1,20,3,328,2,0,3
facebook/react,MERGED,5.546666666666667,6,144,1,679,3,2,1
facebook/react,MERGED,3.481388888888889,1,8,5,586,2,0,2
facebook/react,MERGED,10.8225,1,2,2,182,3,3,1
facebook/react,MERGED,2.310277777777778,2,71,22,1320,3,1,1
facebook/react,MERGED,72.61527777777778,15,149,230,1230,4,0,13
facebook/react,MERGED,364.075,3,110,3,671,3,1,2
facebook/react,MERGED,25.43027777777778,1,14,1,460,2,0,8
facebook/react,MERGED,5.4238888888888885,1,18,0,238,2,0,1
facebook/react,MERGED,199.74444444444444,2,69,3,77,3,1,1
facebook/react,MERGED,83.99833333333333,3,81,0,690,2,5,8
facebook/react,MERGED,26.95388888888889,10,165,88,552,3,1,1
facebook/react,MERGED,48.809444444444445,3,150,6,2664,3,1,3
facebook/react,MERGED,64.76416666666667,9,77,28,594,3,1,1
facebook/react,MERGED,17.035833333333333,2,60,2,309,3,0,1
facebook/react,MERGED,21.522222222222222,10,495,292,444,2,0,1
facebook/react,MERGED,4.405277777777778,2,24,26,1195,2,0,2
facebook/react,MERGED,4.761388888888889,1,9,0,677,3,1,1
facebook/react,MERGED,21.22861111111111,1,6,2,285,2,0,1
facebook/react,MERGED,40.52472222222222,6,115,59,369,4,3,3
facebook/react,MERGED,1.5647222222222221,13,504,2,316,2,0,5
facebook/react,MERGED,47.242777777777775,1,17,8,147,3,1,1
facebook/react,MERGED,47.6975,4,114,27,2388,4,1,3
facebook/react,MERGED,117.47805555555556,8,342,145,464,3,1,7
facebook/react,MERGED,67.43861111111111,1,12,9,607,3,1,4
facebook/react,MERGED,198.14388888888888,3,147,55,724,2,0,1
facebook/react,MERGED,11.674722222222222,1,7,14,1032,3,1,1
facebook/react,MERGED,19.851111111111113,11,420,28,635,3,0,3
facebook/react,MERGED,3.647222222222222,1,2,0,151,3,1,1
facebook/react,MERGED,16.253888888888888,1,53,9,839,2,0,1
facebook/react,MERGED,43.94361111111111,7,80,355,556,2,1,4
facebook/react,MERGED,18.945,1,96,13,725,2,0,1
facebook/react,MERGED,2.234166666666667,12,154,63,1022,2,0,1
facebook/react,MERGED,67.48277777777778,2,5,4,171,3,1,2
facebook/react,MERGED,3.6719444444444442,2,123,18,258,3,1,2
facebook/react,MERGED,414.42944444444447,3,4,2,162,4,1,2
facebook/react,MERGED,1.4997222222222222,2,31,13,461,2,0,1
facebook/react,MERGED,5.915277777777778,4,27,28,172,2,0,1
facebook/react,MERGED,16.863333333333333,19,2038,405,2833,3,1,2
facebook/react,MERGED,21.100833333333334,4,173,28,1373,2,1,4
facebook/react,MERGED,43.94305555555555,1,26,14,398,3,0,2
facebook/react,MERGED,59.80166666666667,6,454,192,579,2,0,1
facebook/react,MERGED,22.2875,1,5,1,167,2,0,2
facebook/react,MERGED,1.7705555555555557,2,3,2,200,3,0,2
facebook/react,MERGED,69.81583333333333,8,544,2,1712,4,10,12
facebook/react,MERGED,6.723333333333334,2,32,1,1787,2,0,1
facebook/react,MERGED,15.604722222222222,100,302,82,442,2,0,1
facebook/react,MERGED,19.214166666666667,116,145,156,368,3,1,1
facebook/react,MERGED,19.066111111111113,84,1974,338,231,3,2,1
facebook/react,MERGED,18.795833333333334,63,401,403,330,3,1,1
facebook/react,MERGED,18.789166666666667,63,379,395,640,3,1,5
facebook/react,MERGED,72.17888888888889,6,97,89,647,2,0,3
facebook/react,MERGED,74.75555555555556,5,53,17,394,5,5,7
facebook/react,MERGED,145.84194444444444,10,187,22,459,2,1,4
facebook/react,MERGED,74.1225,4,73,76,389,2,0,3
facebook/react,MERGED,2.4825,1,14,1,309,2,1,1
facebook/react,MERGED,2.5830555555555557,1,4,5,220,2,0,3
facebook/react,MERGED,173.17944444444444,10,43,47,584,3,4,4
facebook/react,MERGED,1.496388888888889,5,104,15,1494,4,1,2
facebook/react,MERGED,216.40166666666667,28,41,36,2118,5,2,9
facebook/react,MERGED,1.2569444444444444,7,19,7,27,3,1,1
facebook/react,MERGED,47.23111111111111,6,196,67,491,2,1,3
facebook/react,MERGED,1.9227777777777777,1,46,28,405,3,1,1
facebook/react,CLOSED,9.408611111111112,7,41,254,560,3,3,1
facebook/react,MERGED,16.44,1,2,2,127,2,0,1
facebook/react,MERGED,64.37777777777778,5,61,9,1390,3,2,4
facebook/react,MERGED,65.14194444444445,3,51,18,291,2,0,1
facebook/react,MERGED,22.268055555555556,2,24,68,433,3,4,1
facebook/react,MERGED,35.083888888888886,4,105,6,232,5,3,1
facebook/react,MERGED,95.2161111111111,9,161,65,611,2,0,2
facebook/react,MERGED,2.7022222222222223,1,8,3,771,4,2,2
facebook/react,MERGED,312.73833333333334,7,364,45,1536,2,0,4
facebook/react,MERGED,29.85972222222222,5,136,9,422,2,1,2
facebook/react,MERGED,22.98472222222222,7,253,5,1020,3,1,14
facebook/react,MERGED,16.913888888888888,18,763,105,505,3,1,4
facebook/react,MERGED,51.95611111111111,4,222,1,503,4,3,7
facebook/react,MERGED,1.0616666666666668,17,514,149,242,3,1,1
facebook/react,MERGED,31.266111111111112,1,11,9,122,2,0,1
facebook/react,MERGED,20.72972222222222,2,16,14,559,2,0,2
facebook/react,MERGED,21.772777777777776,2,3,3,41,2,0,1
facebook/react,MERGED,5.620555555555556,2,10,2,1180,3,1,3
facebook/react,MERGED,65.28277777777778,25,104,70,73,3,1,1
facebook/react,CLOSED,427.4977777777778,11,430,8,1547,3,3,3
facebook/react,MERGED,3.0997222222222223,8,22,176,126,3,1,1
facebook/react,MERGED,10.3125,2,26,0,1578,3,1,1
facebook/react,MERGED,17.824166666666667,3,68,16,288,2,0,1
facebook/react,MERGED,88.85805555555555,1,5,1,502,2,0,1
facebook/react,CLOSED,19.440555555555555,36,14108,55,322,3,2,1
facebook/react,MERGED,1.3911111111111112,31,348,346,224,2,0,1
facebook/react,MERGED,1.1022222222222222,2,7,7,71,3,1,1
facebook/react,MERGED,119.95555555555555,13,342,43,440,2,1,1
facebook/react,MERGED,94.11111111111111,2,56,16,1423,3,1,2
facebook/react,MERGED,12.58611111111111,7,40,14,104,3,1,1
facebook/react,MERGED,2.826111111111111,4,9,10,18,3,1,1
facebook/react,MERGED,2.473333333333333,3,23,23,118,3,1,1
facebook/react,MERGED,1.3141666666666667,1,2,0,0,5,3,1
facebook/react,CLOSED,146.38166666666666,9,49,11,504,2,1,4
facebook/react,MERGED,2.973888888888889,3,19,9,151,2,0,6
facebook/react,MERGED,3.1633333333333336,11,635,66,767,3,1,1
facebook/react,MERGED,32.225,1,18,14,658,2,1,1
facebook/react,MERGED,12.027777777777779,6,161,27,193,3,1,2
facebook/react,MERGED,141.35833333333332,6,245,82,570,2,0,3
facebook/react,CLOSED,19.851666666666667,6,129,3,704,2,5,1
facebook/react,MERGED,2.205,4,21,21,813,3,1,1
facebook/react,MERGED,75.79777777777778,2,85,37,863,4,1,1
facebook/react,MERGED,19.030277777777776,20,405,7,682,4,1,7
facebook/react,MERGED,48.4175,2,284,73,413,2,0,2
facebook/react,MERGED,16.987222222222222,1,6,4,227,2,0,1
facebook/react,MERGED,26.85611111111111,6,45,8,601,3,1,1
facebook/react,MERGED,145.95472222222222,2,80,15,976,2,0,1
facebook/react,MERGED,147.10444444444445,15,89,61,699,3,1,1
facebook/react,MERGED,14.884444444444444,2,4,9,495,2,0,2
facebook/react,MERGED,62.509166666666665,1,21,11,306,2,0,1
facebook/react,MERGED,2.9947222222222223,7,17,4,423,2,0,1
facebook/react,MERGED,36.78638888888889,6,83,1,1102,2,0,1
facebook/react,MERGED,45.86805555555556,8,144,2,2113,2,0,2
facebook/react,MERGED,47.717777777777776,2,94,10,240,2,0,1
facebook/react,MERGED,1.4533333333333334,4,9,9,117,3,1,1
facebook/react,MERGED,67.76444444444445,2,213,99,256,3,1,7
facebook/react,MERGED,1.4747222222222223,2,57,5,647,3,1,1
facebook/react,MERGED,10.21111111111111,2,26,2,236,3,1,2
facebook/react,MERGED,10.809444444444445,3,46,1,481,3,1,4
facebook/react,MERGED,46.153055555555554,4,225,7,370,2,1,4
facebook/react,MERGED,10.165555555555555,7,84,46,1220,2,0,1
facebook/react,MERGED,11.056666666666667,1,1,1,66,3,1,1
facebook/react,MERGED,35.81527777777778,2,129,9,370,3,1,1
facebook/react,MERGED,237.20694444444445,87,3298,1531,1880,4,2,5
facebook/react,CLOSED,7.644166666666667,183,3895,1549,1919,4,1,1
facebook/react,MERGED,16.700833333333332,1,13,71,95,3,1,2
facebook/react,MERGED,22.58111111111111,12,586,134,0,2,0,6
facebook/react,MERGED,1.3933333333333333,1,37,33,205,2,0,1
facebook/react,MERGED,10.802777777777777,3,98,3,623,3,1,1
facebook/react,MERGED,13.2875,1,8,4,324,2,0,1
facebook/react,MERGED,14.292777777777777,2,146,32,751,2,0,2
facebook/react,MERGED,15.328333333333333,1,21,1,309,3,1,1
facebook/react,MERGED,44.02027777777778,2,37,1,707,3,0,4
facebook/react,MERGED,47.19083333333333,1,30,0,421,3,1,1
facebook/react,MERGED,10.989166666666666,1,59,59,133,3,1,1
facebook/react,MERGED,60.08444444444444,1,24,0,494,2,0,1
facebook/react,MERGED,68.77472222222222,3,96,10,654,3,1,1
facebook/react,MERGED,70.14444444444445,9,56,2,655,4,2,1
facebook/react,CLOSED,86.03555555555556,118,3792,1458,1933,3,1,8
facebook/react,MERGED,83.3,10,82,23,743,2,0,1
facebook/react,MERGED,84.00083333333333,4,185,25,794,2,0,1
facebook/react,MERGED,100.7088888888889,3,78,36,181,3,1,1
facebook/react,MERGED,11.085,6,546,144,847,2,1,4
facebook/react,MERGED,2.5919444444444446,8,2232,3,96,2,0,1
facebook/react,MERGED,20.393055555555556,1,2,2,645,2,0,5
facebook/react,MERGED,65.36611111111111,12,90,6,509,2,0,1
facebook/react,MERGED,43.35138888888889,1,13,1,224,2,0,1
facebook/react,MERGED,20.87388888888889,2,80,0,23,2,0,1
facebook/react,MERGED,264.09805555555556,3,145,48,793,3,1,1
facebook/react,MERGED,47.336666666666666,5,160,46,966,2,0,1
