repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
fastapi/fastapi,MERGED,15.345555555555556,2,10,0,160,2,4,1
fastapi/fastapi,MERGED,45.625277777777775,74,4117,3845,906,3,3,1
fastapi/fastapi,CLOSED,284.0494444444444,2,84,1,203,2,5,1
fastapi/fastapi,MERGED,2.348611111111111,2,10,1,166,1,8,2
fastapi/fastapi,MERGED,3.9683333333333333,2,37,14,182,2,1,1
fastapi/fastapi,MERGED,64.80777777777777,2,10,10,14,3,2,1
fastapi/fastapi,MERGED,1.155,3,5,5,161,3,3,2
fastapi/fastapi,MERGED,100.64805555555556,2,4,3,222,2,1,1
fastapi/fastapi,MERGED,59.553333333333335,5,7,8,567,4,6,4
fastapi/fastapi,CLOSED,343.0441666666667,4,156,22,380,3,3,1
fastapi/fastapi,CLOSED,203.7525,1,125,0,256,3,1,2
fastapi/fastapi,CLOSED,239.59027777777777,1,1,1,679,3,4,1
fastapi/fastapi,MERGED,240.4575,4,32,180,6,3,5,4
fastapi/fastapi,CLOSED,434.1363888888889,2,31,1,1612,2,2,3
fastapi/fastapi,MERGED,246.58833333333334,3,0,30,57,3,1,2
fastapi/fastapi,MERGED,283.7919444444444,2,36,22,351,3,1,2
fastapi/fastapi,MERGED,335.14694444444444,2,1006,0,277,2,8,1
fastapi/fastapi,MERGED,359.6347222222222,13,13,17,92,3,5,2
fastapi/fastapi,CLOSED,619.0177777777777,10,55,44,129,3,5,1
fastapi/fastapi,MERGED,860.9836111111111,3,32,12,246,6,12,12
fastapi/fastapi,MERGED,505.6763888888889,2,15,4,933,3,0,2
fastapi/fastapi,MERGED,621.8725,112,5282,3004,3416,3,27,27
fastapi/fastapi,MERGED,235.77555555555554,13,13,13,228,3,4,6
fastapi/fastapi,CLOSED,1202.1358333333333,8,13,13,709,3,3,1
fastapi/fastapi,MERGED,375.37388888888887,112,1060,1060,557,4,9,14
fastapi/fastapi,CLOSED,188.58583333333334,1,0,0,96,3,1,1
fastapi/fastapi,MERGED,1124.2472222222223,1,646,35,227,3,3,5
fastapi/fastapi,MERGED,1102.2558333333334,1,1,1,7690,2,1,1
fastapi/fastapi,MERGED,23.093333333333334,1,11,2,0,2,1,1
fastapi/fastapi,CLOSED,1426.5130555555556,16,1027,1073,422,2,5,3
fastapi/fastapi,CLOSED,1143.6208333333334,1,82,0,321,4,6,2
fastapi/fastapi,CLOSED,975.7638888888889,19,829,905,1705,3,12,3
fastapi/fastapi,CLOSED,975.8661111111111,11,2074,0,230,3,3,2
fastapi/fastapi,MERGED,10.617777777777778,1,298,0,0,4,4,5
fastapi/fastapi,CLOSED,59.35527777777778,1,3,3,247,4,6,2
fastapi/fastapi,MERGED,1620.971388888889,15,75,77,2413,3,8,1
fastapi/fastapi,MERGED,1014.0775,1,8,0,273,5,6,3
fastapi/fastapi,CLOSED,13.179722222222223,1,5,3,241,2,2,1
fastapi/fastapi,CLOSED,275.50944444444445,1,914,0,1695,3,2,1
fastapi/fastapi,CLOSED,1170.243888888889,1,1,2,61,2,4,1
fastapi/fastapi,MERGED,3.4530555555555558,1,22,0,0,2,1,1
fastapi/fastapi,MERGED,91.44611111111111,1,3,0,0,4,3,2
fastapi/fastapi,CLOSED,1360.2477777777779,1,3,3,172,4,5,1
fastapi/fastapi,MERGED,309.42055555555555,1,28,84,0,4,5,5
fastapi/fastapi,CLOSED,904.4958333333333,3,17,16,1885,3,3,1
fastapi/fastapi,MERGED,1859.6030555555556,1,6,2,940,5,2,3
fastapi/fastapi,MERGED,519.9188888888889,1,108,99,0,5,3,5
fastapi/fastapi,CLOSED,296.28333333333336,1,1,1,104,4,3,2
fastapi/fastapi,CLOSED,1607.1627777777778,1,101,0,225,3,6,3
fastapi/fastapi,CLOSED,1674.0719444444444,1,109,0,16,3,6,1
fastapi/fastapi,CLOSED,1680.7802777777779,1,5,0,60,3,7,1
fastapi/fastapi,MERGED,52.13722222222222,2,180,3,0,3,0,3
fastapi/fastapi,CLOSED,2127.168888888889,1,9,1,1551,3,3,1
fastapi/fastapi,CLOSED,23.460555555555555,1,28,1,247,3,1,1
fastapi/fastapi,MERGED,45.53277777777778,1,1,1,0,3,2,1
fastapi/fastapi,MERGED,45.96111111111111,1,1,1,0,3,2,1
fastapi/fastapi,MERGED,1744.8616666666667,59,170,170,0,5,7,5
fastapi/fastapi,MERGED,135.10583333333332,1,104,0,0,4,5,2
fastapi/fastapi,MERGED,266.4561111111111,1,116,0,60,4,1,2
fastapi/fastapi,MERGED,92.53305555555555,1,1,1,0,4,3,1
