repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
fatedier/frp,MERGED,46.32,1,2,2,37,2,0,1
fatedier/frp,MERGED,58.26083333333333,6,108,8,13,2,0,1
fatedier/frp,MERGED,72.26083333333334,1,17,7,333,2,0,5
fatedier/frp,CLOSED,15.215277777777779,1,2,5,3,2,0,1
fatedier/frp,CLOSED,1192.1036111111111,7,643,17,2081,3,3,10
fatedier/frp,MERGED,11.058055555555555,1,4,0,61,2,0,2
fatedier/frp,MERGED,2.4525,20,832,23,13,1,0,2
fatedier/frp,MERGED,2.8075,1,1,1,54,2,0,1
fatedier/frp,MERGED,84.90722222222222,2,2,2,116,2,0,1
fatedier/frp,CLOSED,1.0325,2,2,6,3,2,0,1
fatedier/frp,MERGED,3.807777777777778,1,35,9,3925,2,0,2
fatedier/frp,MERGED,54.025,2,24,1,545,2,0,1
fatedier/frp,MERGED,17.42527777777778,1,7,6,216,2,3,4
fatedier/frp,MERGED,9.721666666666666,2,3,3,49,2,0,2
fatedier/frp,MERGED,112.95833333333333,19,77,77,103,2,0,2
fatedier/frp,CLOSED,380.1761111111111,1,51,23,62,2,3,1
fatedier/frp,CLOSED,426.1047222222222,1,2,1,473,2,2,1
fatedier/frp,MERGED,2.125277777777778,1,4,2,17,2,0,2
fatedier/frp,MERGED,19.901666666666667,2,54,60,48,2,0,8
fatedier/frp,MERGED,47.47277777777778,3,28,28,234,2,0,2
fatedier/frp,CLOSED,927.875,1,12,10,122,2,1,1
fatedier/frp,MERGED,20.729444444444443,1,2,0,0,2,0,1
fatedier/frp,MERGED,93.11416666666666,3,85,9,518,2,5,2
fatedier/frp,CLOSED,732.6155555555556,4,7,6,67,2,1,7
fatedier/frp,MERGED,92.06722222222223,1,1,1,3,2,0,1
fatedier/frp,CLOSED,706.8294444444444,1,1,1,67,2,1,1
fatedier/frp,MERGED,11.507777777777777,1,1,1,3,2,0,1
fatedier/frp,MERGED,1.6341666666666668,1,1,1,502,2,0,1
fatedier/frp,CLOSED,6.238888888888889,1,0,1,3,2,0,1
fatedier/frp,MERGED,20.524444444444445,4,22,2,51,2,2,3
