repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
florinpop17/app-ideas,CLOSED,23.280833333333334,1,30,0,543,1,1,1
florinpop17/app-ideas,CLOSED,99.51138888888889,1,54,0,800,1,1,1
florinpop17/app-ideas,CLOSED,2493.183611111111,1,27,0,331,1,1,1
florinpop17/app-ideas,CLOSED,9087.738333333333,1,1,1,36,3,1,1
florinpop17/app-ideas,CLOSED,12673.110277777778,116,22731,12,680,4,1,1
florinpop17/app-ideas,CLOSED,24331.46888888889,1,24,0,68,3,1,1
florinpop17/app-ideas,CLOSED,12540.804444444444,1,0,1,0,2,0,1
florinpop17/app-ideas,CLOSED,20109.119444444445,2,32,0,0,4,4,2
florinpop17/app-ideas,CLOSED,23215.053333333333,2,24,0,0,3,1,1
florinpop17/app-ideas,CLOSED,18476.34138888889,2,3,1,67,1,0,1
florinpop17/app-ideas,CLOSED,2568.3341666666665,1,1,1,41,0,0,1
