repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
flutter/flutter,CLOSED,1.8541666666666667,1,1,1,1576,2,3,1
flutter/flutter,CLOSED,3.2716666666666665,1,1,1,1576,2,5,1
flutter/flutter,CLOSED,1.8772222222222221,1,1,1,1222,2,3,1
flutter/flutter,CLOSED,1.435,1,1,1,977,2,3,1
flutter/flutter,CLOSED,1.5275,1,1,1,860,2,3,1
flutter/flutter,MERGED,2.575277777777778,1,1,1,2215,2,1,1
flutter/flutter,CLOSED,1.1758333333333333,1,1,1,1972,2,3,1
flutter/flutter,MERGED,2.5025,1,1,1,582,2,1,1
flutter/flutter,CLOSED,1.1336111111111111,1,1,1,1873,2,3,1
flutter/flutter,CLOSED,1.4036111111111111,1,1,1,582,2,3,1
flutter/flutter,CLOSED,1.0658333333333334,1,1,1,1756,2,3,1
flutter/flutter,CLOSED,1.933888888888889,1,1,1,1639,2,3,1
flutter/flutter,CLOSED,1.6091666666666666,1,1,1,582,2,3,1
flutter/flutter,MERGED,6.585555555555556,9,189,49,13,2,2,2
flutter/flutter,CLOSED,1.6716666666666666,1,1,1,1567,2,3,1
flutter/flutter,CLOSED,1.353611111111111,1,1,1,1426,2,3,1
flutter/flutter,MERGED,9.25,38,1373,1292,1292,2,1,1
flutter/flutter,CLOSED,1.4319444444444445,1,1,1,1357,2,3,1
flutter/flutter,MERGED,1.4758333333333333,1,1,1,839,2,1,1
flutter/flutter,MERGED,12.408055555555556,1,9,9,691,3,7,2
flutter/flutter,CLOSED,2.8916666666666666,1,1,1,1214,2,4,1
flutter/flutter,CLOSED,1.4027777777777777,1,1,1,980,2,3,1
flutter/flutter,MERGED,2.275,1,1,1,1883,2,1,1
flutter/flutter,CLOSED,1.2669444444444444,1,1,1,1395,2,3,1
flutter/flutter,CLOSED,3.9916666666666667,1,1,1,1395,2,5,1
flutter/flutter,MERGED,22.371388888888887,1,1,1,79,2,0,1
flutter/flutter,CLOSED,3.2025,1,1,1,1395,2,5,1
flutter/flutter,CLOSED,2.8963888888888887,1,1,1,1269,2,3,1
flutter/flutter,MERGED,5.125277777777778,1,1,1,390,2,0,2
flutter/flutter,MERGED,2.674166666666667,1,1,1,583,2,1,1
flutter/flutter,CLOSED,2.3088888888888888,1,1,1,1181,2,3,1
flutter/flutter,MERGED,2.7263888888888888,1,1,1,1083,2,1,1
flutter/flutter,MERGED,13.409444444444444,26,1557,278,537,2,4,9
flutter/flutter,MERGED,25.600555555555555,5,238,11,1593,2,4,2
flutter/flutter,CLOSED,2.9791666666666665,1,1,1,583,2,4,1
flutter/flutter,MERGED,2.508888888888889,1,1,1,819,2,1,1
flutter/flutter,MERGED,4.601666666666667,1,1,1,847,3,3,1
flutter/flutter,MERGED,2.3594444444444442,1,1,1,991,2,1,1
flutter/flutter,CLOSED,3.1675,1,1,1,750,2,5,1
flutter/flutter,CLOSED,3.113888888888889,1,1,1,991,2,5,1
flutter/flutter,MERGED,2.0980555555555553,1,1,1,1114,2,1,1
flutter/flutter,CLOSED,2.681111111111111,1,1,1,869,2,5,1
