repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
getify/You-Dont-Know-JS,MERGED,33.18555555555555,4,5,5,14,4,1,2
getify/You-Dont-Know-JS,MERGED,3894.0905555555555,1,1,1,663,3,0,2
getify/You-Dont-Know-JS,MERGED,968.2233333333334,11,17,17,234,4,1,1
getify/You-Dont-Know-JS,CLOSED,30248.2025,1,1,1,530,4,0,2
getify/You-Dont-Know-JS,CLOSED,32814.86444444444,1,1,1,398,3,2,1
getify/You-Dont-Know-JS,MERGED,17540.792222222222,1,1,1,0,3,0,1
getify/You-Dont-Know-JS,CLOSED,1689.2836111111112,1,7,7,646,3,1,1
getify/You-Dont-Know-JS,CLOSED,37120.21666666667,1,1,1,684,4,1,1
getify/You-Dont-Know-JS,MERGED,29.88388888888889,10,815,810,846,2,2,2
getify/You-Dont-Know-JS,CLOSED,41236.29583333333,1,2,2,501,2,1,1
getify/You-Dont-Know-JS,CLOSED,43316.345555555556,1,1,1,98,3,1,2
getify/You-Dont-Know-JS,CLOSED,43947.46666666667,1,1,1,663,3,0,1
getify/You-Dont-Know-JS,CLOSED,44407.765,1,1,1,689,4,1,2
getify/You-Dont-Know-JS,CLOSED,373.5986111111111,1,1,1,0,2,0,1
getify/You-Dont-Know-JS,CLOSED,642.9480555555556,1,1,1,265,3,0,1
getify/You-Dont-Know-JS,CLOSED,126.13472222222222,1,3,3,196,3,1,1
getify/You-Dont-Know-JS,CLOSED,54906.78888888889,1,1,1,644,3,0,1
getify/You-Dont-Know-JS,CLOSED,4273.063888888889,2,6,4,93,2,2,2
getify/You-Dont-Know-JS,CLOSED,4273.615277777778,1,1,1,157,2,1,2
getify/You-Dont-Know-JS,CLOSED,6074.546666666667,1,1,1,80,3,1,1
getify/You-Dont-Know-JS,CLOSED,59501.030277777776,1,1,3,118,3,3,1
getify/You-Dont-Know-JS,CLOSED,11340.050555555556,1,1,1,374,3,1,1
getify/You-Dont-Know-JS,CLOSED,4331.685833333333,85,0,0,93,3,1,1
getify/You-Dont-Know-JS,MERGED,498.34555555555556,1,1,1,267,2,1,1
getify/You-Dont-Know-JS,CLOSED,14413.113888888889,1,2,2,85,3,1,1
getify/You-Dont-Know-JS,CLOSED,7162.064722222222,1,1,1,85,3,1,1
getify/You-Dont-Know-JS,CLOSED,15512.412222222221,4,10,10,0,3,1,1
getify/You-Dont-Know-JS,MERGED,14.372222222222222,1,1,1,0,3,1,1
getify/You-Dont-Know-JS,CLOSED,18459.92777777778,1,1,1,308,5,8,1
getify/You-Dont-Know-JS,CLOSED,16222.517777777777,1,1,1,108,3,1,1
getify/You-Dont-Know-JS,CLOSED,95.57277777777777,1,1,1,93,2,0,1
getify/You-Dont-Know-JS,CLOSED,59.894444444444446,1,4,4,0,2,0,1
getify/You-Dont-Know-JS,CLOSED,22338.931111111113,1,1,1,726,3,4,1
getify/You-Dont-Know-JS,MERGED,62.02777777777778,1,2,2,245,2,0,3
getify/You-Dont-Know-JS,MERGED,1.3186111111111112,1,8,8,26,2,2,6
getify/You-Dont-Know-JS,CLOSED,632.2463888888889,1,1,1,125,2,1,8
getify/You-Dont-Know-JS,MERGED,387.94666666666666,1,1,1,0,2,2,3
getify/You-Dont-Know-JS,CLOSED,72099.03805555556,1,2,2,93,3,0,1
getify/You-Dont-Know-JS,CLOSED,35.259166666666665,1,1,1,9,2,1,1
getify/You-Dont-Know-JS,CLOSED,965.4933333333333,1,1,1,121,2,0,2
getify/You-Dont-Know-JS,MERGED,95.6125,1,15,15,0,2,1,3
getify/You-Dont-Know-JS,CLOSED,73179.15333333334,1,3,3,10,3,0,1
getify/You-Dont-Know-JS,CLOSED,2652.137777777778,1,5,2,379,4,4,1
getify/You-Dont-Know-JS,MERGED,3663.438611111111,4,6,6,68,3,0,1
getify/You-Dont-Know-JS,CLOSED,577.855,1,18,17,54,3,2,2
getify/You-Dont-Know-JS,CLOSED,5470.459722222222,1,1,1,50,3,0,1
getify/You-Dont-Know-JS,CLOSED,76640.2475,1,1,1,305,3,1,1
getify/You-Dont-Know-JS,CLOSED,6150.855,2,2,2,93,4,1,1
getify/You-Dont-Know-JS,MERGED,2793.0130555555556,66,8296,8372,93,5,14,3
getify/You-Dont-Know-JS,CLOSED,89086.04,1,1,1,22,4,5,1
