repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
gin-gonic/gin,MERGED,2.174722222222222,1,2,2,6453,1,0,1
gin-gonic/gin,MERGED,25.99277777777778,2,28,28,3758,1,0,1
gin-gonic/gin,MERGED,15.39,2,3,3,1496,1,0,1
gin-gonic/gin,MERGED,77.22888888888889,1,1,1,57,2,0,1
gin-gonic/gin,MERGED,2.1286111111111112,2,3,3,1599,1,0,1
gin-gonic/gin,MERGED,19.6125,1,1,1,53,2,0,1
gin-gonic/gin,MERGED,32.895833333333336,2,62,2,763,2,2,1
gin-gonic/gin,MERGED,74.57055555555556,2,3,3,1495,1,0,1
gin-gonic/gin,MERGED,84.85333333333334,1,1,1,0,2,1,1
gin-gonic/gin,MERGED,85.055,1,4,4,104,2,1,1
gin-gonic/gin,MERGED,313.63166666666666,1,2,3,116,2,2,2
gin-gonic/gin,MERGED,121.39805555555556,2,3,3,4624,1,0,1
gin-gonic/gin,MERGED,270.00138888888887,2,3,3,5869,1,0,1
gin-gonic/gin,MERGED,270.6575,2,3,3,1495,1,0,1
gin-gonic/gin,MERGED,448.73305555555555,3,20,26,42,2,1,3
gin-gonic/gin,MERGED,449.98,1,1,1,39,2,4,1
gin-gonic/gin,MERGED,418.1405555555556,2,99,5,3918,4,4,1
gin-gonic/gin,MERGED,915.9172222222222,1,2,4,436,3,2,3
gin-gonic/gin,MERGED,33.24611111111111,2,3,3,4247,1,0,1
gin-gonic/gin,MERGED,43.704166666666666,1,2,2,11,2,1,1
gin-gonic/gin,MERGED,1437.3658333333333,1,3,11,205,2,1,1
gin-gonic/gin,MERGED,80.98055555555555,1,5,0,122,2,1,1
gin-gonic/gin,MERGED,1.761388888888889,1,1,1,0,2,1,1
gin-gonic/gin,MERGED,30.144444444444446,3,110,0,3298,2,1,3
gin-gonic/gin,MERGED,65.77722222222222,2,141,9,144,2,1,1
gin-gonic/gin,MERGED,5.898611111111111,1,1,1,94,2,1,2
gin-gonic/gin,MERGED,23.35,2,2,2,1888,2,0,1
gin-gonic/gin,MERGED,22.662777777777777,1,1,1,956,2,2,1
gin-gonic/gin,MERGED,100.77416666666667,2,18,18,1577,1,0,1
gin-gonic/gin,MERGED,470.1113888888889,2,76,0,1058,2,6,2
gin-gonic/gin,MERGED,236.44472222222223,1,24,0,537,2,6,4
gin-gonic/gin,MERGED,118.85222222222222,2,34,0,58,2,1,2
gin-gonic/gin,MERGED,121.19722222222222,2,3,3,5091,1,0,1
gin-gonic/gin,MERGED,135.6861111111111,1,1,0,30,2,2,1
gin-gonic/gin,MERGED,287.6477777777778,2,3,24,5863,1,0,1
gin-gonic/gin,MERGED,516.0533333333333,1,16,0,313,3,1,2
gin-gonic/gin,MERGED,52.76111111111111,5,14,4,989,2,1,2
gin-gonic/gin,MERGED,1071.2158333333334,1,9,2,899,2,1,1
gin-gonic/gin,MERGED,625.1338888888889,2,5,5,4196,1,0,1
gin-gonic/gin,MERGED,144.82166666666666,1,1,1,391,3,0,2
gin-gonic/gin,MERGED,160.86138888888888,2,18,18,1804,1,0,1
gin-gonic/gin,MERGED,12.470277777777778,1,2,2,67,2,0,1
gin-gonic/gin,MERGED,76.97555555555556,1,6,2,530,2,1,1
gin-gonic/gin,MERGED,1406.0313888888888,2,83,36,413,2,3,1
gin-gonic/gin,MERGED,58.716388888888886,2,11,14,7047,2,3,1
gin-gonic/gin,MERGED,13.992222222222223,2,3,3,6564,1,0,1
gin-gonic/gin,MERGED,26.075,4,8,3,182,2,1,1
gin-gonic/gin,MERGED,29.307777777777776,1,3,0,63,2,1,1
gin-gonic/gin,MERGED,39.34583333333333,27,164,149,255,2,1,5
gin-gonic/gin,MERGED,23.932222222222222,2,15,21,13,2,2,1
gin-gonic/gin,MERGED,50.56638888888889,1,6,6,369,3,1,3
gin-gonic/gin,MERGED,103.12805555555556,3,192,1,749,2,5,8
gin-gonic/gin,MERGED,168.89888888888888,2,5,5,2685,2,5,2
gin-gonic/gin,MERGED,206.42361111111111,1,1,1,130,3,1,1
gin-gonic/gin,MERGED,10.62138888888889,6,8,8,70,2,0,1
gin-gonic/gin,MERGED,77.21305555555556,2,12,1,11,2,0,2
gin-gonic/gin,MERGED,135.89194444444445,2,15,15,1957,1,0,1
gin-gonic/gin,MERGED,703.3430555555556,6,80,24,646,2,10,5
gin-gonic/gin,CLOSED,336.00138888888887,2,15,15,1577,2,2,2
gin-gonic/gin,MERGED,11.624166666666667,1,2,1,190,2,0,1
gin-gonic/gin,MERGED,25.988333333333333,1,1,1,116,2,0,1
gin-gonic/gin,MERGED,88.58583333333333,2,3,3,2105,1,0,1
gin-gonic/gin,MERGED,137.56972222222223,2,6,5,6724,1,0,1
gin-gonic/gin,MERGED,806.7841666666667,2,3,6,3573,1,0,1
gin-gonic/gin,MERGED,104.3275,1,1,0,0,2,0,1
gin-gonic/gin,MERGED,473.3597222222222,2,6,6,5679,1,0,1
gin-gonic/gin,MERGED,260.08222222222224,1,11,11,910,3,0,4
gin-gonic/gin,MERGED,336.5830555555556,2,2,2,106,2,1,1
