repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
github/gitignore,MERGED,13.959722222222222,14,110,110,419,3,3,1
github/gitignore,MERGED,167.53944444444446,1,0,0,418,2,1,2
github/gitignore,CLOSED,106.94694444444444,1,3,0,306,3,2,3
github/gitignore,MERGED,257.62583333333333,1,1,0,333,2,1,2
github/gitignore,MERGED,347.93416666666667,1,13,0,1024,2,0,1
github/gitignore,MERGED,354.1433333333333,1,1,0,448,2,0,2
github/gitignore,MERGED,496.50083333333333,1,39,0,479,2,4,2
github/gitignore,MERGED,891.5944444444444,1,2,1,1158,3,3,2
github/gitignore,MERGED,1101.5430555555556,1,21,21,494,3,0,2
github/gitignore,MERGED,197.65666666666667,1,57,0,1307,3,1,2
github/gitignore,CLOSED,222.3136111111111,1,3,0,353,3,2,1
github/gitignore,MERGED,264.90277777777777,1,15,2,562,2,0,1
github/gitignore,MERGED,21.30388888888889,1,0,7,406,2,0,1
github/gitignore,MERGED,69.41277777777778,1,1,1,324,2,3,1
github/gitignore,MERGED,117.44805555555556,1,0,3,511,2,0,1
github/gitignore,CLOSED,679.3866666666667,1,37,0,1207,2,2,2
github/gitignore,CLOSED,13.925833333333333,1,36,0,353,2,1,1
github/gitignore,MERGED,102.67555555555556,1,3,4,908,2,0,1
github/gitignore,CLOSED,31.86277777777778,1,3,0,83,3,2,1
github/gitignore,MERGED,164.3647222222222,1,2,0,531,2,0,1
github/gitignore,MERGED,6.655277777777778,1,24,0,703,2,0,1
github/gitignore,MERGED,26.61638888888889,1,5,0,841,2,0,1
github/gitignore,MERGED,58.01,1,4,0,932,2,0,1
github/gitignore,MERGED,229.76833333333335,1,50,0,1207,2,3,4
github/gitignore,MERGED,305.73527777777775,1,12,6,746,3,5,13
github/gitignore,MERGED,241.19583333333333,1,32,0,1016,2,1,2
github/gitignore,MERGED,8.939444444444444,1,52,0,1461,2,0,2
github/gitignore,MERGED,47.069722222222225,1,2,1,1182,2,0,1
github/gitignore,MERGED,1.6861111111111111,1,1,1,417,2,0,2
github/gitignore,CLOSED,16.795,1,21,0,353,3,1,1
github/gitignore,MERGED,51.21861111111111,1,1,0,571,2,0,1
github/gitignore,MERGED,30.033333333333335,1,2,0,1406,2,0,3
github/gitignore,MERGED,25.110555555555557,1,0,1,460,2,0,2
github/gitignore,MERGED,3.2830555555555554,1,3,3,375,3,0,3
github/gitignore,MERGED,22.996388888888887,1,32,0,403,2,0,2
github/gitignore,MERGED,14.898888888888889,1,7,0,1225,5,2,3
github/gitignore,MERGED,69.49833333333333,1,7,0,77,2,0,2
github/gitignore,MERGED,508.8644444444444,1,3,0,659,2,1,4
github/gitignore,MERGED,559.2155555555555,1,6,0,498,2,0,2
github/gitignore,MERGED,588.4872222222223,1,1,0,364,2,1,2
github/gitignore,MERGED,46.286944444444444,1,1,1,749,2,4,1
github/gitignore,CLOSED,128.57194444444445,1,3,0,1315,2,1,1
github/gitignore,MERGED,291.1047222222222,1,1,0,930,2,1,1
github/gitignore,MERGED,322.6588888888889,1,1,0,453,2,1,2
github/gitignore,MERGED,434.4025,1,1,0,422,3,1,2
github/gitignore,MERGED,601.6025,1,6,0,616,2,1,1
github/gitignore,MERGED,619.1047222222222,1,1,0,387,2,1,1
github/gitignore,MERGED,724.6519444444444,1,3,0,311,2,1,1
github/gitignore,MERGED,779.2130555555556,1,1,0,392,2,1,1
github/gitignore,MERGED,7.1386111111111115,1,14,10,420,4,1,3
github/gitignore,MERGED,1034.1622222222222,1,39,15,583,2,1,1
github/gitignore,MERGED,1104.3958333333333,1,1,0,596,2,1,1
github/gitignore,MERGED,115.475,1,54,0,820,3,1,2
github/gitignore,MERGED,207.09472222222223,1,14,0,876,2,2,2
github/gitignore,MERGED,1339.2791666666667,1,1,3,1220,3,2,2
github/gitignore,CLOSED,2042.6769444444444,1,5,0,106,3,1,1
github/gitignore,CLOSED,230.35777777777778,1,3,0,271,3,1,1
github/gitignore,MERGED,140.70583333333335,1,16,5,428,3,0,2
github/gitignore,MERGED,2121.38,1,36,0,502,3,0,3
github/gitignore,MERGED,2201.023888888889,1,4,0,452,3,0,2
github/gitignore,MERGED,18.404722222222222,1,1,1,1319,2,0,1
github/gitignore,MERGED,2601.2125,1,1,0,181,2,0,2
github/gitignore,MERGED,2671.0472222222224,1,6,0,280,3,0,2
github/gitignore,MERGED,65.76416666666667,1,3,0,500,2,0,1
github/gitignore,MERGED,134.91722222222222,0,0,0,316,2,1,1
github/gitignore,CLOSED,75.65555555555555,1,144,0,2869,3,1,2
github/gitignore,MERGED,2963.1825,1,4,0,528,2,0,1
github/gitignore,MERGED,650.4183333333333,1,1,0,531,3,1,1
github/gitignore,MERGED,3161.821388888889,1,8,1,968,3,0,2
github/gitignore,MERGED,3162.0191666666665,1,1,1,309,2,0,1
github/gitignore,MERGED,3989.969722222222,1,4,0,667,4,5,1
github/gitignore,CLOSED,3419.883611111111,1,90,0,172,4,1,4
github/gitignore,CLOSED,203.41833333333332,1,1,0,172,3,1,2
github/gitignore,MERGED,3648.7941666666666,1,3,0,506,2,0,1
github/gitignore,CLOSED,7.4494444444444445,1,3,0,174,1,1,1
github/gitignore,CLOSED,3823.329166666667,1,3,0,0,3,3,1
github/gitignore,MERGED,107.0175,1,27,1,500,3,1,1
github/gitignore,MERGED,861.7838888888889,1,6,0,219,5,9,4
github/gitignore,MERGED,386.9161111111111,1,28,0,776,3,2,5
github/gitignore,MERGED,136.9125,1,7,0,250,2,0,3
github/gitignore,MERGED,793.4447222222223,1,42,0,454,3,2,2
github/gitignore,CLOSED,4593.813888888889,1,11,0,91,5,2,2
github/gitignore,MERGED,4949.288333333333,1,28,0,576,2,3,1
github/gitignore,MERGED,4778.594444444445,1,7,1,459,3,4,1
github/gitignore,MERGED,4680.150555555556,1,1,1,624,2,0,1
github/gitignore,MERGED,4826.296388888889,1,7,0,2211,2,1,1
github/gitignore,CLOSED,2398.6530555555555,1,3,0,85,5,7,1
github/gitignore,MERGED,4920.127777777778,1,1,0,1248,2,0,1
github/gitignore,MERGED,2760.3530555555553,1,1,0,86,4,4,1
github/gitignore,MERGED,5234.235555555556,1,4,0,1224,2,1,1
github/gitignore,CLOSED,5249.820555555556,1,78,0,172,6,3,3
github/gitignore,MERGED,823.7363888888889,1,42,0,715,2,0,1
github/gitignore,MERGED,5361.1575,1,4,0,429,2,0,1
github/gitignore,MERGED,5378.024722222222,1,91,0,766,2,0,1
github/gitignore,CLOSED,5386.849444444444,1,2,1,55,4,2,2
github/gitignore,MERGED,8345.896944444445,1,51,0,984,2,4,2
github/gitignore,MERGED,1272.8627777777779,2,2,2,455,3,1,1
github/gitignore,MERGED,6277.306111111111,1,2,0,616,2,2,1
github/gitignore,CLOSED,5926.685277777778,1,1,0,40,4,2,1
github/gitignore,MERGED,6581.056388888889,1,2,2,440,2,3,1
github/gitignore,CLOSED,6054.783611111111,1,1,0,393,2,0,1
github/gitignore,MERGED,57.047222222222224,1,1,3,264,2,8,1
github/gitignore,MERGED,6747.404444444444,1,1,1,274,2,2,1
github/gitignore,MERGED,6341.914722222222,1,5,1,200,2,0,1
github/gitignore,MERGED,6003.763333333333,1,4,1,281,4,0,4
github/gitignore,CLOSED,1030.506388888889,1,6,0,618,4,0,3
github/gitignore,CLOSED,1247.6308333333334,1,173,0,610,2,3,1
github/gitignore,MERGED,1094.0558333333333,1,14,0,276,2,1,5
github/gitignore,CLOSED,1108.161111111111,1,5,0,284,2,0,1
github/gitignore,CLOSED,6406.928611111111,1,5,0,554,4,1,2
github/gitignore,CLOSED,9298.3825,1,2,0,460,4,3,1
github/gitignore,MERGED,8318.530833333334,1,40,0,326,2,2,3
github/gitignore,MERGED,8764.745555555555,1,7,0,1223,2,1,1
