repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
godotengine/godot,MERGED,1.0780555555555555,101,632,2153,456,19,1,1
godotengine/godot,MERGED,2.886388888888889,1,1,0,253,4,4,2
godotengine/godot,MERGED,6.135277777777778,2,7,2,91,3,4,2
godotengine/godot,MERGED,22.496111111111112,4,17,3,448,3,1,3
godotengine/godot,MERGED,18.0425,16,203,49,165,2,0,2
godotengine/godot,MERGED,18.850833333333334,1,1,2,200,5,1,3
godotengine/godot,MERGED,20.824166666666667,2,8,4,321,3,1,1
godotengine/godot,MERGED,21.06222222222222,3,33,51,344,3,1,2
godotengine/godot,MERGED,18.249444444444446,55,220,147,1310,2,2,1
godotengine/godot,MERGED,30.094444444444445,1,15,4,121,3,2,1
godotengine/godot,MERGED,32.111666666666665,2,11,15,488,3,2,2
godotengine/godot,MERGED,26.878333333333334,2,66,7,13,2,2,1
godotengine/godot,MERGED,17.43611111111111,1,2,2,283,4,1,2
godotengine/godot,MERGED,49.58111111111111,1,0,3,211,3,2,1
godotengine/godot,MERGED,17.587777777777777,3,9,4,159,3,1,1
godotengine/godot,MERGED,23.41027777777778,1,1,1,933,5,1,1
godotengine/godot,MERGED,17.035833333333333,1,2,2,79,3,2,1
godotengine/godot,MERGED,17.157777777777778,1,4,8,206,3,2,2
godotengine/godot,MERGED,25.310555555555556,34,41,6,297,3,1,15
godotengine/godot,MERGED,23.245277777777776,1,6,5,38,3,1,1
godotengine/godot,MERGED,22.128611111111113,2,4,1,445,3,5,1
godotengine/godot,MERGED,57.626666666666665,1,69,45,15,3,1,10
godotengine/godot,MERGED,30.05361111111111,35,38,2,246,4,1,2
godotengine/godot,MERGED,57.45361111111111,1,29,0,13,4,1,7
godotengine/godot,MERGED,32.80416666666667,27,28,1,166,3,1,2
godotengine/godot,MERGED,45.8525,1,6,2,13,3,1,2
godotengine/godot,MERGED,43.64138888888889,1,1,1,191,3,1,1
godotengine/godot,MERGED,71.77194444444444,2,132,85,206,5,1,11
godotengine/godot,MERGED,47.22,13,15,2,222,4,2,5
godotengine/godot,MERGED,47.97611111111111,1,0,0,236,3,1,2
godotengine/godot,MERGED,78.45166666666667,1,1,1,80,4,1,3
godotengine/godot,MERGED,84.01055555555556,2,29,55,424,3,2,4
godotengine/godot,MERGED,52.44444444444444,1,7,5,1215,3,1,4
godotengine/godot,MERGED,58.50472222222222,7,10,4,349,2,2,3
godotengine/godot,MERGED,85.75583333333333,6,18,17,14,4,1,4
godotengine/godot,MERGED,53.92777777777778,3,6,102,299,4,1,1
godotengine/godot,CLOSED,9.153333333333334,1,2,2,952,3,2,1
godotengine/godot,MERGED,53.1175,1,2,2,2422,2,0,1
godotengine/godot,MERGED,91.37722222222222,1,2,0,178,4,1,1
godotengine/godot,MERGED,98.55055555555556,3,21,10,226,7,16,4
godotengine/godot,MERGED,68.11055555555555,40,69,66,678,4,1,3
godotengine/godot,MERGED,74.27638888888889,2,21,22,503,3,2,2
godotengine/godot,MERGED,76.09222222222222,1,1,1,209,4,1,2
godotengine/godot,MERGED,75.69888888888889,3,24,6,20,3,1,1
godotengine/godot,MERGED,1.3527777777777779,2,11,8,46,3,2,2
godotengine/godot,MERGED,9.948333333333334,3,3,0,117,4,2,1
godotengine/godot,MERGED,101.94472222222223,1,6,0,342,3,2,1
godotengine/godot,MERGED,11.019166666666667,1,9,3,189,3,2,1
godotengine/godot,MERGED,122.11638888888889,2,12,0,40,5,1,18
godotengine/godot,MERGED,24.144166666666667,8,81,10,200,4,1,3
godotengine/godot,MERGED,8.84361111111111,4,23,1,300,3,1,4
godotengine/godot,MERGED,29.75611111111111,2,10,31,0,4,1,2
godotengine/godot,MERGED,11.349722222222223,2,10,7,74,3,1,1
godotengine/godot,MERGED,11.424166666666666,3,9,4,29,5,4,2
godotengine/godot,MERGED,13.739166666666666,11,1,1787,117,5,7,2
godotengine/godot,CLOSED,6.439166666666667,1,7,1,286,3,1,1
godotengine/godot,MERGED,20.179166666666667,5,9,2,208,4,2,2
godotengine/godot,MERGED,134.97194444444443,1,3,1,13,3,3,1
godotengine/godot,MERGED,16.063333333333333,1,1,1,128,4,2,1
godotengine/godot,MERGED,24.52861111111111,1,2,2,106,5,1,1
godotengine/godot,MERGED,26.611666666666668,1,3,3,561,3,1,3
godotengine/godot,MERGED,115.04,2,2,2,99,6,4,1
godotengine/godot,MERGED,6.866666666666666,1,1,1,13,4,2,1
godotengine/godot,MERGED,125.15416666666667,5,68,13,81,4,1,2
godotengine/godot,MERGED,121.27416666666667,3,98,27,686,6,3,6
godotengine/godot,MERGED,5.858055555555556,1,1,1,3086,4,4,6
godotengine/godot,MERGED,57.68194444444445,4,79,79,568,4,2,2
godotengine/godot,MERGED,1.2397222222222222,7,269,30,146,2,1,1
godotengine/godot,MERGED,159.01111111111112,2,2,2,240,7,6,2
godotengine/godot,MERGED,48.37777777777778,4,33,5,1839,4,4,9
godotengine/godot,MERGED,28.09111111111111,1,15,2,189,5,4,1
godotengine/godot,MERGED,28.63138888888889,1,1,1,73,3,1,1
godotengine/godot,MERGED,5.2619444444444445,1,5,2,284,2,1,1
godotengine/godot,MERGED,16.323611111111113,1,0,2,38,2,1,1
godotengine/godot,MERGED,137.0361111111111,328,108802,39010,164,12,9,3
godotengine/godot,MERGED,168.06694444444443,1,12,2,720,2,2,1
godotengine/godot,MERGED,35.04083333333333,1,0,2,246,5,5,2
godotengine/godot,MERGED,146.44,2,59,70,549,4,3,1
godotengine/godot,MERGED,8.935555555555556,5,36,4,171,6,11,6
godotengine/godot,MERGED,41.50611111111111,1,2,2,228,4,1,1
godotengine/godot,MERGED,151.70277777777778,1,5,10,276,4,2,1
godotengine/godot,MERGED,16.260833333333334,4,10,10,131,4,4,3
godotengine/godot,MERGED,25.288055555555555,3,15,15,36,4,1,2
godotengine/godot,MERGED,29.55666666666667,2,0,25,0,4,3,1
godotengine/godot,CLOSED,26.907777777777778,7,48,15,271,10,6,11
godotengine/godot,MERGED,27.881944444444443,1,4,1,206,4,3,1
godotengine/godot,MERGED,49.196666666666665,1,4,3,63,5,1,3
godotengine/godot,MERGED,51.35027777777778,1,7,2,13,3,2,1
godotengine/godot,MERGED,74.00888888888889,12,425,391,1927,5,1,2
godotengine/godot,MERGED,58.13194444444444,1,9,7,286,5,1,3
godotengine/godot,MERGED,214.42694444444444,2,7,2,13,2,2,1
godotengine/godot,MERGED,68.61833333333334,2,7,7,135,4,2,1
godotengine/godot,MERGED,228.82361111111112,1,1,1,301,2,2,1
godotengine/godot,MERGED,68.95861111111111,19,80,80,1175,3,1,2
godotengine/godot,MERGED,2.7494444444444444,1,1,1,13,2,0,1
godotengine/godot,MERGED,244.5388888888889,84,1633,227,501,5,19,3
godotengine/godot,MERGED,85.57277777777777,1,4,0,582,4,2,2
godotengine/godot,MERGED,86.03138888888888,14,35,60,517,3,1,3
godotengine/godot,MERGED,93.26416666666667,16,36,36,1091,3,1,1
godotengine/godot,MERGED,87.295,36,183,185,1125,4,1,7
godotengine/godot,MERGED,99.75833333333334,2,15,1,1029,3,1,1
godotengine/godot,MERGED,104.80194444444444,1,2,2,13,4,2,1
godotengine/godot,MERGED,239.38944444444445,1,6,0,298,4,1,4
