repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
gohugoio/hugo,MERGED,1.0827777777777778,4,99,1,12,1,0,1
gohugoio/hugo,MERGED,3.683611111111111,6,59,9,151,1,0,1
gohugoio/hugo,CLOSED,142.19333333333333,6,84,0,33,2,1,1
gohugoio/hugo,MERGED,22.384444444444444,2,14,1,13,2,0,2
gohugoio/hugo,MERGED,348.675,7,122,25,445,2,6,5
gohugoio/hugo,MERGED,37.67027777777778,3,78,4,25,2,0,4
gohugoio/hugo,CLOSED,61.969722222222224,12,563,85,2334,1,1,1
gohugoio/hugo,MERGED,209.16222222222223,5,198,5,465,4,4,9
gohugoio/hugo,MERGED,69.7213888888889,5,89,5,12,2,0,2
gohugoio/hugo,MERGED,51.801944444444445,3,39,6,164,2,0,1
gohugoio/hugo,MERGED,779.4319444444444,3,6,29,137,4,4,2
gohugoio/hugo,MERGED,18.530833333333334,3,14,10,12,2,3,1
gohugoio/hugo,MERGED,5.110277777777778,4,123,163,128,2,0,1
gohugoio/hugo,MERGED,146.41944444444445,2,54,38,311,2,0,2
gohugoio/hugo,MERGED,347.56388888888887,9,293,35,103,2,2,2
gohugoio/hugo,MERGED,11.136111111111111,4,6,6,536,2,0,2
gohugoio/hugo,MERGED,31.39,10,76,15,10,2,7,1
gohugoio/hugo,MERGED,42.765277777777776,3,176,0,66,2,1,1
gohugoio/hugo,MERGED,2.4347222222222222,7,82,72,12,2,0,1
gohugoio/hugo,MERGED,7.6975,1,3,0,12,1,0,1
gohugoio/hugo,MERGED,49.06305555555556,6,187,30,76,1,0,1
